21-48-01.005000,----------
21-48-12.759000,[R]: 1 
21-48-12.762000,S 1 	RSSI: 44
21-48-12.762000,[R]: 2 
21-48-12.762000,[R]: 50 
21-48-12.763000,[R]: 1 
21-48-12.763000,S 1 	RSSI: 44
21-48-12.764000,[R]: 2 
21-48-12.765000,[R]: 50 
21-48-12.765000,[R]: 1 
21-48-12.765000,S 1 	RSSI: 44
21-48-12.766000,[R]: 2 
21-48-12.766000,[R]: 50 
21-48-12.767000,[R]: 1 
21-48-12.771000,S 1 	RSSI: 44
21-48-12.772000,[R]: 2 
21-48-12.773000,[R]: 50 
21-48-12.773000,[R]: 1 
21-48-12.774000,S 1 	RSSI: 44
21-48-12.774000,[R]: 2 
21-48-12.775000,[R]: 50 
21-48-12.775000,[R]: 1 
21-48-12.776000,S 1 	RSSI: 44
21-48-12.776000,[R]: 2 
21-48-12.777000,[R]: 50 
21-48-12.777000,[R]: 1 
21-48-12.777000,S 1 	RSSI: 44
21-48-12.778000,[R]: 2 
21-48-12.778000,[R]: 50 
21-48-12.778000,[R]: 1 
21-48-12.779000,S 1 	RSSI: 44
21-48-12.783000,[R]: 2 
21-48-12.783000,[R]: 50 
21-48-12.784000,[R]: 1 
21-48-12.784000,S 1 	RSSI: 44
21-48-12.785000,[R]: 2 
21-48-12.785000,[R]: 50 
21-48-12.785000,[R]: 1 
21-48-12.786000,S 1 	RSSI: 44
21-48-12.796000,[R]: 2 
21-48-12.796000,[R]: 50 
21-48-12.796000,[R]: 1 
21-48-12.799000,S 1 	RSSI: 44
21-48-12.801000,[R]: 2 
21-48-12.801000,[R]: 50 
21-48-12.802000,[R]: 1 
21-48-12.806000,S 1 	RSSI: 44
21-48-12.806000,[R]: 2 
21-48-12.807000,[R]: 50 
21-48-12.807000,[R]: 1 
21-48-12.807000,S 1 	RSSI: 44
21-48-12.808000,[R]: 2 
21-48-12.810000,[R]: 50 
21-48-12.813000,[R]: 1 
21-48-12.813000,S 1 	RSSI: 44
21-48-12.816000,[R]: 2 
21-48-12.816000,[R]: 50 
21-48-12.817000,[R]: 1 
21-48-12.817000,S 1 	RSSI: 44
21-48-12.818000,[R]: 2 
21-48-12.818000,[R]: 50 
21-48-12.822000,[R]: 20 
21-48-12.823000,[R]: 1 
21-48-12.823000,S 1 	RSSI: 44
21-48-12.824000,[R]: 2 
21-48-12.828000,[R]: 50 
21-48-12.829000,[R]: 1 
21-48-12.829000,S 1 	RSSI: 44
21-48-12.830000,[R]: 2 
21-48-12.830000,[R]: 50 
21-48-12.835000,[R]: 1 
21-48-12.835000,S 1 	RSSI: 44
21-48-12.836000,[R]: 2 
21-48-12.836000,[R]: 50 
21-48-12.838000,[R]: 1 
21-48-12.839000,S 1 	RSSI: 44
21-48-12.839000,[R]: 2 
21-48-12.840000,[R]: 50 
21-48-12.840000,[R]: 1 
21-48-12.841000,S 1 	RSSI: 44
21-48-12.841000,[R]: 2 
21-48-12.842000,[R]: 50 
21-48-12.842000,[R]: 1 
21-48-12.842000,S 1 	RSSI: 44
21-48-12.843000,[R]: 2 
21-48-12.845000,[R]: 50 
21-48-12.846000,[R]: 1 
21-48-12.846000,S 1 	RSSI: 44
21-48-12.846000,[R]: 2 
21-48-12.849000,[R]: 50 
21-48-12.849000,[R]: 1 
21-48-12.850000,S 1 	RSSI: 44
21-48-12.850000,[R]: 2 
21-48-12.851000,[R]: 50 
21-48-12.851000,[R]: 1 
21-48-12.852000,S 1 	RSSI: 44
21-48-12.852000,[R]: 2 
21-48-12.852000,[R]: 50 
21-48-12.859000,[R]: 1 
21-48-12.860000,S 1 	RSSI: 44
21-48-12.860000,[R]: 2 
21-48-12.860000,[R]: 50 
21-48-12.861000,[R]: 1 
21-48-12.861000,S 1 	RSSI: 44
21-48-12.862000,[R]: 2 
21-48-12.862000,[R]: 50 
21-48-12.863000,[R]: 1 
21-48-12.863000,S 1 	RSSI: 44
21-48-12.867000,[R]: 2 
21-48-12.867000,[R]: 50 
21-48-12.869000,[R]: 1 
21-48-12.871000,S 1 	RSSI: 44
21-48-12.872000,[R]: 2 
21-48-12.873000,[R]: 50 
21-48-12.873000,[R]: 1 
21-48-12.897000,S 1 	RSSI: 44
21-48-12.899000,[R]: 2 
21-48-12.899000,[R]: 50 
21-48-12.900000,[R]: 1 
21-48-12.900000,S 1 	RSSI: 44
21-48-12.901000,[R]: 2 
21-48-12.902000,[R]: 50 
21-48-12.902000,[R]: 1 
21-48-12.903000,S 1 	RSSI: 44
21-48-12.907000,[R]: 2 
21-48-12.909000,[R]: 50 
21-48-12.910000,[R]: 1 
21-48-12.911000,S 1 	RSSI: 44
21-48-12.912000,[R]: 2 
21-48-12.917000,[R]: 50 
21-48-12.917000,[R]: 1 
21-48-12.919000,S 1 	RSSI: 44
21-48-12.919000,[R]: 2 
21-48-12.921000,[R]: 50 
21-48-12.922000,[R]: 1 
21-48-12.922000,S 1 	RSSI: 44
21-48-12.927000,[R]: 2 
21-48-12.927000,[R]: 50 
21-48-12.947000,[R]: 1 
21-48-12.947000,S 1 	RSSI: 44
21-48-12.948000,[R]: 2 
21-48-12.948000,[R]: 50 
21-48-12.949000,[R]: 1 
21-48-12.949000,S 1 	RSSI: 44
21-48-12.950000,[R]: 2 
21-48-12.950000,[R]: 50 
21-48-12.951000,[R]: 1 
21-48-12.952000,S 1 	RSSI: 44
21-48-12.958000,[R]: 2 
21-48-12.958000,[R]: 50 
21-48-12.959000,[R]: 1 
21-48-12.979000,S 1 	RSSI: 44
21-48-12.980000,[R]: 2 
21-48-12.980000,[R]: 50 
21-48-12.980000,[R]: 1 
21-48-12.981000,S 1 	RSSI: 44
21-48-12.982000,[R]: 2 
21-48-12.983000,[R]: 50 
21-48-12.984000,[R]: 1 
21-48-12.993000,S 1 	RSSI: 44
21-48-12.993000,[R]: 2 
21-48-12.994000,[R]: 50 
21-48-12.994000,[R]: 1 
21-48-12.995000,S 1 	RSSI: 44
21-48-12.995000,[R]: 2 
21-48-12.996000,[R]: 50 
21-48-12.997000,[R]: 1 
21-48-12.997000,S 1 	RSSI: 44
21-48-12.998000,[R]: 2 
21-48-12.998000,[R]: 50 
21-48-13.001000,[R]: 1 
21-48-13.002000,S 1 	RSSI: 44
21-48-13.003000,[R]: 2 
21-48-13.011000,[R]: 50 
21-48-13.014000,[R]: 1 
21-48-13.023000,S 1 	RSSI: 44
21-48-13.023000,[R]: 2 
21-48-13.024000,[R]: 50 
21-48-13.057000,[R]: 1 
21-48-13.058000,S 1 	RSSI: 44
21-48-13.059000,[R]: 2 
21-48-13.060000,[R]: 50 
21-48-13.061000,[R]: 1 
21-48-13.062000,S 1 	RSSI: 44
21-48-13.063000,[R]: 2 
21-48-13.064000,[R]: 50 
21-48-13.064000,[R]: 1 
21-48-13.068000,S 1 	RSSI: 44
21-48-13.068000,[R]: 2 
21-48-13.069000,[R]: 50 
21-48-13.069000,[R]: 1 
21-48-13.073000,S 1 	RSSI: 44
21-48-13.074000,[R]: 2 
21-48-13.074000,[R]: 50 
21-48-13.075000,[R]: 1 
21-48-13.075000,S 1 	RSSI: 44
21-48-13.076000,[R]: 2 
21-48-13.090000,[R]: 50 
21-48-13.091000,S 1 	RSSI: 44
21-48-13.092000,[R]: 1 
21-48-13.093000,[R]: 2 
21-48-13.094000,[R]: 50 
21-48-13.095000,S 1 	RSSI: 44
21-48-13.095000,[R]: 1 
21-48-13.096000,[R]: 2 
21-48-13.096000,[R]: 50 
21-48-13.097000,S 1 	RSSI: 44
21-48-13.097000,[R]: 1 
21-48-13.098000,[R]: 2 
21-48-13.114000,[R]: 50 
21-48-13.115000,S 1 	RSSI: 44
21-48-13.115000,[R]: 1 
21-48-13.116000,[R]: 2 
21-48-13.116000,[R]: 50 
21-48-13.117000,S 1 	RSSI: 44
21-48-13.118000,[R]: 1 
21-48-13.124000,[R]: 20 
21-48-13.128000,[R]: 1 
21-48-13.128000,S 1 	RSSI: 44
21-48-13.129000,[R]: 2 
21-48-13.129000,[R]: 50 
21-48-13.130000,[R]: 1 
21-48-13.130000,[R]: 2 
21-48-13.131000,[R]: 50 
21-48-13.131000,[R]: 1 
21-48-13.133000,S 1 	RSSI: 44
21-48-13.134000,[R]: 2 
21-48-13.134000,[R]: 50 
21-48-13.135000,[R]: 1 
21-48-13.135000,S 1 	RSSI: 44
21-48-13.135000,[R]: 2 
21-48-13.150000,[R]: 50 
21-48-13.159000,[R]: 1 
21-48-13.160000,S 1 	RSSI: 44
21-48-13.161000,[R]: 2 
21-48-13.164000,[R]: 50 
21-48-13.165000,[R]: 1 
21-48-13.166000,S 1 	RSSI: 44
21-48-13.166000,[R]: 2 
21-48-13.167000,[R]: 50 
21-48-13.168000,[R]: 1 
21-48-13.169000,S 1 	RSSI: 44
21-48-13.170000,[R]: 2 
21-48-13.176000,[R]: 50 
21-48-13.181000,[R]: 1 
21-48-13.182000,S 1 	RSSI: 44
21-48-13.182000,[R]: 2 
21-48-13.184000,[R]: 50 
21-48-13.185000,[R]: 1 
21-48-13.185000,S 1 	RSSI: 44
21-48-13.186000,[R]: 2 
21-48-13.186000,[R]: 50 
21-48-13.188000,[R]: 1 
21-48-13.189000,S 1 	RSSI: 44
21-48-13.189000,[R]: 2 
21-48-13.190000,[R]: 50 
21-48-13.215000,[R]: 1 
21-48-13.263000,S 1 	RSSI: 44
21-48-13.263000,[R]: 2 
21-48-13.264000,[R]: 50 
21-48-13.265000,[R]: 1 
21-48-13.265000,S 1 	RSSI: 44
21-48-13.266000,[R]: 2 
21-48-13.267000,[R]: 50 
21-48-13.267000,[R]: 1 
21-48-13.268000,S 1 	RSSI: 44
21-48-13.268000,[R]: 2 
21-48-13.274000,[R]: 50 
21-48-13.277000,[R]: 1 
21-48-13.278000,S 1 	RSSI: 44
21-48-13.278000,[R]: 2 
21-48-13.279000,[R]: 50 
21-48-13.279000,[R]: 1 
21-48-13.280000,S 1 	RSSI: 44
21-48-13.281000,[R]: 2 
21-48-13.281000,[R]: 50 
21-48-13.282000,[R]: 1 
21-48-13.282000,S 1 	RSSI: 44
21-48-13.285000,[R]: 2 
21-48-13.285000,[R]: 50 
21-48-13.286000,[R]: 1 
21-48-13.286000,S 1 	RSSI: 44
21-48-13.287000,[R]: 2 
21-48-13.287000,[R]: 50 
21-48-13.289000,[R]: 1 
21-48-13.290000,S 1 	RSSI: 44
21-48-13.291000,[R]: 2 
21-48-13.295000,[R]: 50 
21-48-13.296000,[R]: 20 
21-48-13.296000,[R]: 1 
21-48-13.297000,S 1 	RSSI: 44
21-48-13.297000,[R]: 2 
21-48-13.301000,[R]: 50 
21-48-13.301000,[R]: 1 
21-48-13.302000,S 1 	RSSI: 44
21-48-13.303000,[R]: 2 
21-48-13.303000,[R]: 50 
