23-06-25.343000,[R]: 50 
23-06-25.347000,[R]: 0 
23-06-25.350000,[R]: 50 
23-06-25.361000,[R]: 50 
23-06-25.372000,[R]: 50 
23-06-25.375000,[R]: 0 
23-06-25.383000,[R]: 50 
23-06-25.384000,[R]: 0 
23-06-25.390000,[R]: 50 
23-06-25.401000,[R]: 50 
23-06-25.412000,[R]: 50 
23-06-25.415000,[R]: 0 
23-06-25.423000,[R]: 50 
23-06-25.424000,[R]: 0 
23-06-25.430000,[R]: 50 
23-06-25.442000,[R]: 50 
23-06-25.452000,[R]: 50 
23-06-25.455000,[R]: 0 
23-06-25.463000,[R]: 50 
23-06-25.464000,[R]: 0 
23-06-25.471000,[R]: 50 
23-06-25.482000,[R]: 50 
23-06-25.493000,[R]: 50 
23-06-25.495000,[R]: 0 
23-06-25.504000,[R]: 50 
23-06-25.505000,[R]: 0 
