21-45-04.871000,------------------------
21-45-39.663000,S 1 	RSSI: 46
21-45-39.686000,[R]: 50 
21-45-39.704000,S 1 	RSSI: 46
21-45-39.787000,[R]: 50 
21-45-39.806000,S 1 	RSSI: 46
21-45-39.891000,[R]: 50 
21-45-39.909000,S 1 	RSSI: 46
21-45-39.994000,[R]: 50 
21-45-40.012000,S 1 	RSSI: 46
21-45-40.070000,S 1 	RSSI: 46
21-45-40.098000,[R]: 50 
21-45-40.172000,S 1 	RSSI: 46
21-45-40.179000,[R]: 0 
21-45-40.188000,[R]: 50 
21-45-40.276000,S 1 	RSSI: 46
21-45-40.291000,[R]: 50 
21-45-40.379000,S 1 	RSSI: 46
21-45-40.394000,[R]: 50 
21-45-40.482000,S 1 	RSSI: 46
21-45-40.497000,[R]: 50 
21-45-40.551000,S 1 	RSSI: 46
21-45-40.599000,[R]: 50 
21-45-40.654000,S 1 	RSSI: 46
21-45-40.703000,[R]: 50 
21-45-40.758000,S 1 	RSSI: 46
21-45-40.806000,[R]: 50 
21-45-40.861000,S 1 	RSSI: 46
21-45-40.908000,[R]: 50 
21-45-40.963000,S 1 	RSSI: 46
21-45-41.011000,[R]: 50 
21-45-41.067000,S 1 	RSSI: 46
21-45-41.114000,[R]: 50 
21-45-41.169000,S 1 	RSSI: 46
21-45-41.217000,[R]: 50 
21-45-41.272000,S 1 	RSSI: 46
21-45-41.320000,[R]: 50 
21-45-41.375000,S 1 	RSSI: 46
21-45-41.423000,[R]: 50 
21-45-41.479000,S 1 	RSSI: 46
21-45-41.522000,[R]: 0 
21-45-41.530000,[R]: 50 
21-45-41.581000,S 1 	RSSI: 46
21-45-41.632000,[R]: 50 
21-45-41.642000,S 1 	RSSI: 46
21-45-41.735000,[R]: 50 
21-45-41.746000,S 1 	RSSI: 46
21-45-41.839000,[R]: 50 
21-45-41.849000,S 1 	RSSI: 46
21-45-41.942000,[R]: 50 
21-45-41.952000,S 1 	RSSI: 46
21-45-42.044000,[R]: 50 
21-45-42.054000,S 1 	RSSI: 46
21-45-42.148000,[R]: 50 
21-45-42.157000,S 1 	RSSI: 46
21-45-42.250000,[R]: 50 
21-45-42.261000,S 1 	RSSI: 46
21-45-42.293000,S 1 	RSSI: 46
21-45-42.343000,S 1 	RSSI: 46
21-45-42.354000,[R]: 50 
21-45-42.445000,S 1 	RSSI: 46
21-45-42.456000,[R]: 50 
21-45-42.548000,S 1 	RSSI: 46
21-45-42.560000,[R]: 50 
21-45-42.652000,S 1 	RSSI: 46
21-45-42.663000,[R]: 50 
21-45-42.754000,S 1 	RSSI: 46
21-45-42.765000,[R]: 50 
21-45-42.857000,S 1 	RSSI: 46
21-45-42.868000,[R]: 50 
21-45-42.960000,S 1 	RSSI: 46
21-45-42.971000,[R]: 50 
21-45-43.063000,S 1 	RSSI: 46
21-45-43.074000,[R]: 50 
21-45-43.165000,S 1 	RSSI: 46
21-45-43.177000,[R]: 50 
21-45-43.269000,S 1 	RSSI: 46
21-45-43.280000,[R]: 50 
21-45-43.372000,S 1 	RSSI: 46
21-45-43.383000,[R]: 50 
21-45-43.429000,[R]: 0 
21-45-43.436000,[R]: 50 
21-45-43.475000,S 1 	RSSI: 46
21-45-43.552000,[R]: 50 
21-45-43.578000,S 1 	RSSI: 46
21-45-43.642000,[R]: 50 
21-45-43.681000,S 1 	RSSI: 46
21-45-43.745000,[R]: 50 
21-45-43.784000,S 1 	RSSI: 46
21-45-43.848000,[R]: 50 
21-45-43.886000,S 1 	RSSI: 46
21-45-43.950000,[R]: 50 
21-45-43.989000,S 1 	RSSI: 46
21-45-44.054000,[R]: 50 
21-45-44.093000,S 1 	RSSI: 46
21-45-44.150000,S 1 	RSSI: 46
21-45-44.157000,[R]: 50 
21-45-44.253000,S 1 	RSSI: 46
21-45-44.259000,[R]: 50 
21-45-44.356000,S 1 	RSSI: 46
21-45-44.362000,[R]: 50 
21-45-44.459000,S 1 	RSSI: 46
21-45-44.466000,[R]: 50 
21-45-44.507000,[R]: 0 
21-45-44.515000,[R]: 50 
21-45-44.562000,S 1 	RSSI: 46
21-45-44.618000,[R]: 50 
21-45-44.652000,S 1 	RSSI: 46
21-45-44.720000,[R]: 50 
21-45-44.755000,S 1 	RSSI: 46
21-45-44.824000,[R]: 50 
21-45-44.858000,S 1 	RSSI: 46
21-45-44.927000,[R]: 50 
21-45-44.961000,S 1 	RSSI: 46
21-45-45.029000,[R]: 50 
21-45-45.064000,S 1 	RSSI: 46
21-45-45.132000,[R]: 50 
21-45-45.167000,S 1 	RSSI: 46
21-45-45.235000,[R]: 50 
21-45-45.270000,S 1 	RSSI: 46
21-45-45.323000,[R]: 0 
21-45-45.328000,S 1 	RSSI: 46
21-45-45.331000,[R]: 50 
21-45-45.471000,S 1 	RSSI: 46
21-45-45.575000,S 1 	RSSI: 46
21-45-45.594000,[R]: 0 
21-45-45.602000,[R]: 50 
21-45-45.678000,S 1 	RSSI: 46
21-45-45.705000,[R]: 50 
21-45-45.720000,S 1 	RSSI: 46
21-45-45.807000,[R]: 50 
21-45-45.821000,S 1 	RSSI: 46
21-45-45.910000,[R]: 50 
