23-18-15.625,"""Scanner enabled\r\n"""
23-20-32.834,0 0 0 0 0 0 0 47
23-20-32.835,"0 0 47 0 0 0 0""1 46"""
23-20-32.836,"2 46"""
23-20-32.838,"4 51"""
23-20-32.839,"3 61"""
23-20-32.839,"8 53"""
23-20-32.840,"7 51"""
23-20-32.840,"6 49"""
23-20-32.854,"1 46"""
23-20-32.864, 0 0 0 60 0 0 45 56
23-20-32.865,0 0 0 0 0 0 0 0
23-20-32.865,0 0 0 0 0 0 0 0
23-20-32.866,0 0 0 0 0 0 0 0
23-20-32.866,0 0 0 0 0 0 0 0
23-20-32.870,51 44 0 0 0 0 0 0
23-20-32.871,0 0 0 0 0 0 0 47
23-20-32.872,"0 0 47 0 0 0 0 ""8 53"""
23-20-32.872,"3 60"""
23-20-32.881,"6 49"""
23-20-32.887,"1 46"""
23-20-32.903, 0 0 0 0 0 0 0 56
23-20-32.904,0 0 0 0 0 0 0 0
23-20-32.910,0 0 0 0 0 62 0 0
23-20-32.912,0 0 0 0 0 0 0 0
23-20-32.914,0 0 0 0 0 0 0 0
23-20-32.917,0 0 0 0 0 0 0 0
23-20-32.919,0 0 0 0 0 0 0 0
23-20-32.920,0 0 0 0 0 0 0 0
23-20-32.921,"""1 45"""
23-20-32.927,"3 61"""
23-20-32.928,"7 51"""
23-20-32.930,"2 46"""
23-20-32.931,"6 49"""
23-20-32.932,"4 51"""
23-20-32.933,"1 45"""
23-20-32.940,"3 60"""
23-20-32.944, 0 46 0 0 0 0 0 0
23-20-32.957,0 0 0 0 0 0 0 0
23-20-32.973,0 0 0 0 0 63 0 0
23-20-32.975,60 44 0 0 0 0 44 0
23-20-32.976,0 0 0 0 0 0 0 0
23-20-32.977,0 0 0 0 0 0 0 0
23-20-32.978,0 0 0 0 0 0 0 0
23-20-32.979,"0 0 0 0 0 0 0 0""6 49"""
23-20-32.987,"4 51"""
23-20-32.989,"8 55"""
23-20-33.008,"1 46"""
23-20-33.010,"3 60"""
23-20-33.016,"7 51"""
23-20-33.022,"2 46"""
23-20-33.036, 0 0 56 0 0 51 0 0
23-20-33.039,46 0 0 0 0 0 0 0
23-20-33.044,0 0 0 0 0 63 0 0
23-20-33.045,60 44 0 0 0 0 44 0
23-20-33.059,0 0 0 0 0 0 0 0
23-20-33.063,0 0 0 0 0 0 0 0
23-20-33.074,0 44 0 0 0 0 0 48
23-20-33.075,"55 44 0 0 0 ""3 60"""
23-20-33.076,"4 51"""
23-20-33.076,"8 57"""
23-20-33.077,"1 46"""
23-20-33.077,"7 51"""
23-20-33.078,"2 46"""
23-20-33.078, 0 0 57 0 0 0 0 0
23-20-33.079,46 0 44 0 0 0 0 0
23-20-33.080,0 0 0 0 0 0 0 0
23-20-33.080,0 0 0 0 0 0 0 0
23-20-33.081,0 0 0 0 0 0 0 0
23-20-33.081,0 0 0 0 0 0 0 0
23-20-33.082,0 44 0 0 0 0 0 49
23-20-33.082,"55 44 0 0 0 0 0 ""1 46"""
23-20-33.087,"4 51"""
23-20-33.088,"2 46"""
23-20-33.089,"8 57"""
23-20-33.089,"3 60"""
23-20-33.090,"7 51"""
23-20-33.091,"6 49"""
23-20-33.091,"1 46"""
23-20-33.092,"4 51"""
23-20-33.093, 0 0 0 0 0 51 0 0
23-20-33.093,0 0 0 0 0 0 0 0
23-20-33.099,0 0 0 0 0 0 0 0
23-20-33.099,0 0 0 0 0 0 44 48
23-20-33.100,0 0 0 0 0 0 0 0
23-20-33.100,0 0 0 0 0 0 0 0
23-20-33.101,0 0 0 0 0 0 0 50
23-20-33.101,0 0 0 0 0 0 0 0
23-20-33.102,"8 57"""
23-20-33.102,"3 60"""
23-20-33.103,"7 51"""
23-20-33.109,"6 48"""
23-20-33.110,"1 46"""
23-20-33.110,"4 51"""
23-20-33.111,"2 46"""
23-20-33.111,"8 57"""
23-20-33.112,"3 60"""
23-20-33.112, 0 0 55 0 0 0 0 0
23-20-33.113,46 0 44 0 0 44 0 0
23-20-33.114,55 0 0 44 0 0 44 0
23-20-33.114,0 0 0 0 0 0 44 48
23-20-33.115,0 0 0 0 0 0 0 0
23-20-33.115,0 0 62 0 0 0 0 0
23-20-33.116,0 0 0 0 0 0 0 0
23-20-33.116,"0 0 0 0 0 0""1 46"""
23-20-33.122,"6 48"""
23-20-33.122,"4 51"""
23-20-33.123,"2 46"""
23-20-33.124,"7 51"""
23-20-33.128,"3 60"""
23-20-33.130,"8 57"""
23-20-33.137,"1 46"""
23-20-33.146, 0 0 0 0 0 0 0 48
23-20-33.146,0 0 44 0 0 44 0 0
23-20-33.147,0 0 0 44 0 0 44 0
23-20-33.148,60 0 0 0 0 0 0 49
23-20-33.149,0 0 0 0 0 0 0 0
23-20-33.149,0 0 62 0 0 0 0 0
23-20-33.150,45 0 0 0 0 0 0 51
23-20-33.151,"0 0 0 0 0 0""6 48"""
23-20-33.157,"2 46"""
23-20-33.161,"3 61"""
