23-12-26.858000,"""Scanner enabled\r\n"""
23-14-53.063000,0 0 44 0 0 44 0 0
23-14-53.064000,54 44 44 44 0 0 0 0
23-14-53.065000,0 0 0 0 0 0 0 0
23-14-53.068000,"0 0 62 0""2 45"""
23-14-53.069000,"6 48"""
23-14-53.069000,"4 48"""
23-14-53.074000,"1 45"""
23-14-53.075000,"8 52"""
23-14-53.080000,"3 47"""
23-14-53.098000, 0 48 0 0 0 0 0 0
23-14-53.101000,0 0 0 0 0 0 0 44
23-14-53.102000,0 0 0 44 0 0 0 0
23-14-53.103000,0 44 0 0 0 0 44 0
23-14-53.103000,0 0 0 0 0 0 0 0
23-14-53.104000,0 0 44 44 0 0 0 0
23-14-53.105000,0 0 0 0 0 0 0 0
23-14-53.105000,"0 0 61 0 0 44 ""2 45"""
23-14-53.106000,"6 48"""
23-14-53.108000,"4 48"""
23-14-53.112000,"1 45"""
23-14-53.113000,"3 47"""
23-14-53.125000,"2 45"""
23-14-53.126000,"6 48"""
23-14-53.139000, 0 48 0 0 0 0 0 54
23-14-53.140000,47 0 44 0 0 0 0 44
23-14-53.146000,0 0 0 44 0 0 0 0
23-14-53.146000,60 0 0 0 0 0 0 0
23-14-53.147000,0 0 0 0 0 0 0 0
23-14-53.147000,0 0 44 44 0 0 0 0
23-14-53.148000,0 0 0 0 0 0 0 0
23-14-53.148000,"0 0 0 0 0 0 ""1 45"""
23-14-53.150000,"2 45"""
23-14-53.151000,"4 48"""
23-14-53.151000,"8 52"""
23-14-53.152000,"3 47"""
23-14-53.154000,"6 48"""
23-14-53.167000,"1 45"""
23-14-53.181000, 0 48 0 59 0 0 0 0
23-14-53.181000,47 0 0 44 0 0 0 0
23-14-53.182000,0 0 0 0 0 0 0 0
23-14-53.183000,0 0 0 0 0 0 0 0
23-14-53.183000,0 0 0 0 0 0 0 0
23-14-53.184000,0 0 44 44 0 0 0 0
23-14-53.184000,0 0 0 0 0 0 0 0
23-14-53.192000,"0 0 0 0 0 0 0 0""2 45"""
23-14-53.192000,"4 48"""
23-14-53.193000,"3 47"""
23-14-53.193000,"5 51"""
23-14-53.195000,"6 48"""
23-14-53.198000,"7 53"""
23-14-53.202000,"8 52"""
23-14-53.204000,"2 45"""
23-14-53.205000,"4 48"""
23-14-53.207000,"3 47"""
23-14-53.220000, 0 0 0 0 0 0 0 0
23-14-53.225000,48 0 0 44 0 0 0 0
23-14-53.225000,60 44 0 44 0 0 0 0
23-14-53.226000,0 0 0 0 45 0 44 0
23-14-53.226000,0 0 0 0 0 0 0 0
23-14-53.227000,54 0 44 0 0 0 0 0
23-14-53.228000,0 0 53 0 0 44 0 0
23-14-53.228000,"0 0 62 0 0""6 48"""
23-14-53.230000,"5 51"""
23-14-53.234000,"1 45"""
23-14-53.242000,"3 47"""
23-14-53.243000,"8 52"""
23-14-53.259000, 0 0 0 59 62 0 0 0
23-14-53.260000,0 0 0 0 0 0 0 0
23-14-53.265000,0 0 0 0 0 0 0 0
23-14-53.265000,0 0 0 0 0 0 0 0
23-14-53.269000,0 0 0 0 0 44 44 55
23-14-53.269000,54 44 44 44 0 0 0 0
23-14-53.270000,0 0 0 0 0 0 0 0
23-14-53.270000,"0 0 62 0 0 4""6 48"""
23-14-53.271000,"5 51"""
23-14-53.271000,"4 48"""
23-14-53.275000,"1 45"""
23-14-53.276000,"7 53"""
23-14-53.276000,"3 47"""
23-14-53.277000,"8 52"""
23-14-53.307000, 0 0 0 0 62 0 49 49
23-14-53.312000,47 0 0 0 44 0 44 44
23-14-53.313000,0 44 0 44 0 0 0 0
23-14-53.322000,0 44 0 0 45 0 44 0
23-14-53.325000,0 0 0 0 0 0 44 55
23-14-53.345000,0 0 0 0 0 0 0 0
23-14-53.346000,0 0 53 0 0 44 0 51
23-14-53.346000,"0 0 ""2 45"""
23-14-53.347000,"5 51"""
23-14-53.347000,"1 45"""
23-14-53.348000,"3 47"""
23-14-53.349000,"7 53"""
23-14-53.350000,"4 48"""
23-14-53.351000,"8 52"""
23-14-53.351000,"6 48"""
23-14-53.352000,"2 45"""
23-14-53.352000,"5 51"""
23-14-53.355000, 0 0 0 0 0 0 0 0
23-14-53.356000,47 0 0 0 44 0 44 44
23-14-53.356000,0 0 0 0 0 0 0 0
23-14-53.356000,0 0 0 0 0 0 0 0
23-14-53.357000,61 0 0 0 0 44 44 55
23-14-53.357000,0 0 44 44 0 0 0 0
23-14-53.358000,49 0 0 0 0 44 0 0
23-14-53.358000,"0 0 62 0 ""1 45"""
23-14-53.359000,"7 53"""
23-14-53.359000,"4 48"""
23-14-53.359000,"3 47"""
23-14-53.360000,"6 48"""
23-14-53.360000,"2 45"""
23-14-53.361000,"5 51"""
23-14-53.368000,"1 45"""
23-14-53.380000, 0 0 60 0 0 53 0 0
23-14-53.381000,48 0 44 0 44 44 0 0
23-14-53.382000,0 0 0 0 0 0 0 0
23-14-53.383000,0 0 0 0 45 0 0 0
23-14-53.384000,62 44 0 0 0 44 44 0
23-14-53.385000,0 0 44 44 0 0 0 0
23-14-53.385000,0 0 0 0 0 0 0 0
23-14-53.387000,"0 0 0 0 ""4 48"""
23-14-53.390000,"3 47"""
23-14-53.391000,"6 48"""
23-14-53.391000,"5 51"""
23-14-53.400000,"7 53"""
23-14-53.403000,"1 45"""
23-14-53.404000,"8 52"""
23-14-53.404000,"4 48"""
23-14-53.408000,"3 47"""
23-14-53.420000, 0 0 60 0 0 53 0 0
23-14-53.421000,0 0 0 0 0 0 0 0
23-14-53.422000,0 0 0 44 0 0 0 0
23-14-53.423000,0 0 0 0 44 0 0 0
23-14-53.424000,61 0 0 0 0 44 44 0
23-14-53.424000,0 0 44 44 0 0 0 0
23-14-53.426000,0 0 0 0 0 44 0 0
23-14-53.426000,"49 0 61 0 0""6 48"""
23-14-53.427000,"2 45"""
23-14-53.427000,"4 48"""
23-14-53.433000,"1 45"""
23-14-53.435000,"8 52"""
23-14-53.441000,"3 47"""
23-14-53.458000, 0 0 0 60 0 0 0 0
23-14-53.460000,0 0 0 0 0 0 0 0
23-14-53.461000,60 0 0 44 0 0 0 0
23-14-53.461000,0 0 0 0 0 0 0 0
23-14-53.462000,0 0 0 0 0 0 0 0
23-14-53.462000,54 0 44 44 0 0 0 0
23-14-53.463000,0 0 0 0 0 0 0 0
23-14-53.464000,"0 44 61 0 0 45 ""6 48"""
23-14-53.465000,"2 45"""
23-14-53.466000,"3 47"""
23-14-53.467000,"4 48"""
23-14-53.468000,"8 52"""
23-14-53.485000,"6 48"""
23-14-53.486000,"1 45"""
23-14-53.497000, 0 0 0 59 0 0 0 0
23-14-53.500000,0 0 0 0 0 0 0 0
23-14-53.500000,0 0 0 0 0 0 0 0
23-14-53.504000,0 0 0 0 0 0 0 0
23-14-53.504000,0 0 0 0 0 0 0 0
23-14-53.505000,0 44 44 44 0 0 0 0
23-14-53.505000,0 0 0 0 0 0 0 0
23-14-53.506000,"0 0 62 0 0 45 0 0""3 47"""
23-14-53.507000,"4 49"""
23-14-53.509000,"8 52"""
23-14-53.518000,"6 48"""
23-14-53.522000,"1 45"""
23-14-53.526000,"2 45"""
23-14-53.527000,"3 47"""
23-14-53.540000, 0 0 0 0 0 0 0 0
23-14-53.542000,48 0 0 44 0 0 0 0
23-14-53.544000,60 44 0 44 0 0 0 0
23-14-53.544000,61 0 0 0 0 0 0 0
23-14-53.545000,0 0 0 0 0 0 0 0
23-14-53.545000,54 44 44 44 0 0 0 0
23-14-53.546000,0 0 0 0 0 0 0 0
23-14-53.546000,"0 0 0 0 0 0""4 48"""
23-14-53.550000,"5 51"""
23-14-53.553000,"1 45"""
23-14-53.559000,"6 48"""
23-14-53.560000,"2 45"""
23-14-53.561000,"7 53"""
23-14-53.561000,"3 47"""
23-14-53.562000,"8 52"""
23-14-53.564000,"4 48"""
23-14-53.583000, 0 0 0 0 62 0 0 0
23-14-53.584000,0 0 0 0 44 0 0 0
23-14-53.584000,60 0 0 44 0 0 0 0
23-14-53.585000,61 44 0 0 45 0 0 0
23-14-53.585000,0 0 0 0 0 0 0 0
23-14-53.586000,54 44 44 0 0 0 0 0
23-14-53.587000,0 0 0 0 0 44 0 0
23-14-53.587000,"0 0 62 0 0""1 45"""
23-14-53.588000,"2 45"""
23-14-53.589000,"6 48"""
23-14-53.590000,"5 51"""
23-14-53.592000,"3 47"""
23-14-53.597000,"4 48"""
23-14-53.598000,"7 53"""
23-14-53.603000,"8 52"""
23-14-53.607000,"1 45"""
23-14-53.622000, 0 0 0 0 62 0 49 50
23-14-53.623000,0 0 0 0 0 0 0 0
23-14-53.623000,0 0 0 44 0 0 0 0
23-14-53.624000,61 44 0 0 45 0 0 0
23-14-53.625000,0 0 0 0 0 44 44 55
23-14-53.625000,0 0 44 44 0 0 0 0
23-14-53.626000,0 0 0 0 0 44 0 49
23-14-53.626000,"0 0 62 ""6 48"""
23-14-53.628000,"5 51"""
23-14-53.630000,"3 47"""
23-14-53.630000,"4 48"""
23-14-53.631000,"7 53"""
23-14-53.636000,"8 52"""
23-14-53.641000,"1 45"""
23-14-53.645000,"2 45"""
23-14-53.660000, 0 0 61 0 0 53 0 0
23-14-53.661000,48 0 44 0 0 44 0 0
23-14-53.662000,0 0 0 0 0 0 0 0
23-14-53.663000,0 0 0 0 0 0 0 0
23-14-53.663000,0 0 0 0 0 0 0 0
23-14-53.664000,0 0 0 0 0 0 0 0
23-14-53.664000,0 0 0 0 0 44 0 49
23-14-53.665000,"0 0 62 0 0 46 ""1 45"""
23-14-53.669000,"5 51"""
23-14-53.669000,"2 45"""
23-14-53.669000,"3 47"""
23-14-53.670000,"7 53"""
23-14-53.671000,"4 48"""
23-14-53.671000,"8 52"""
23-14-53.674000,"6 48"""
23-14-53.686000,"1 45"""
23-14-53.688000,"5 51"""
23-14-53.700000, 0 0 60 60 0 0 0 0
23-14-53.711000,0 0 0 0 0 0 0 0
23-14-53.714000,0 0 0 0 0 0 0 0
23-14-53.714000,0 0 0 0 45 0 0 0
23-14-53.716000,0 0 0 0 0 44 44 54
23-14-53.717000,54 44 44 44 0 0 0 0
23-14-53.718000,0 0 0 0 0 44 0 0
23-14-53.723000,"50 44 62 0""3 47"""
23-14-53.725000,"7 53"""
23-14-53.727000,"4 48"""
23-14-53.735000,"8 52"""
23-14-53.737000,"6 48"""
23-14-53.738000,"1 45"""
23-14-53.740000,"5 51"""
23-14-53.748000,"2 45"""
23-14-53.751000,"3 47"""
23-14-53.757000, 0 0 0 60 0 0 0 0
23-14-53.759000,48 0 0 44 0 0 0 0
23-14-53.763000,60 44 0 44 0 0 0 0
23-14-53.769000,0 0 0 0 45 0 0 0
23-14-53.774000,0 0 0 0 0 44 44 54
23-14-53.779000,53 44 44 44 0 0 0 0
23-14-53.781000,0 0 0 0 0 0 0 0
23-14-53.795000,"0 0 0 0""4 48"""
23-14-53.795000,"5 51"""
23-14-53.796000,"1 45"""
23-14-53.797000,"2 45"""
23-14-53.797000,"7 53"""
23-14-53.798000,"3 47"""
23-14-53.800000,"8 52"""
23-14-53.801000,"4 48"""
23-14-53.802000, 0 0 0 60 62 0 0 0
23-14-53.802000,48 0 0 44 0 0 0 0
23-14-53.809000,60 44 0 44 0 0 0 0
23-14-53.810000,62 0 0 0 45 0 0 0
23-14-53.810000,0 0 0 0 0 44 44 0
23-14-53.811000,0 44 44 44 0 0 0 0
23-14-53.814000,0 0 0 0 0 0 0 0
23-14-53.815000,"0 0 62 ""6 48"""
23-14-53.815000,"1 45"""
23-14-53.817000,"2 45"""
23-14-53.818000,"4 48"""
23-14-53.827000,"5 51"""
23-14-53.828000,"3 47"""
23-14-53.829000,"8 52"""
23-14-53.829000,"7 53"""
23-14-53.830000,"6 48"""
23-14-53.831000,"1 45"""
23-14-53.831000, 0 0 0 0 0 53 49 49
23-14-53.832000,48 0 0 0 44 44 44 44
23-14-53.833000,0 44 0 44 0 0 0 0
23-14-53.840000,0 0 0 0 0 0 0 0
23-14-53.842000,61 0 0 0 0 0 44 54
23-14-53.843000,0 0 44 44 0 0 0 0
23-14-53.845000,0 0 0 0 0 0 0 49
23-14-53.847000,"0 0 6""2 45"""
23-14-53.848000,"3 47"""
23-14-53.852000,"5 51"""
23-14-53.853000,"4 48"""
23-14-53.854000,"8 52"""
23-14-53.854000,"7 53"""
23-14-53.855000,"6 48"""
23-14-53.855000,"1 45"""
23-14-53.856000,"2 45"""
23-14-53.862000, 0 48 60 60 0 0 0 0
23-14-53.862000,47 0 44 44 0 0 0 0
23-14-53.863000,0 0 0 0 0 0 0 0
23-14-53.864000,0 0 0 0 0 0 0 0
23-14-53.865000,0 0 0 0 0 0 0 0
23-14-53.866000,0 0 44 44 0 0 0 0
23-14-53.868000,49 44 0 0 0 44 0 50
23-14-53.871000,"50 44 62 ""1 45"""
23-14-53.872000,"5 51"""
23-14-53.872000,"2 45"""
23-14-53.873000,"4 48"""
23-14-53.874000,"8 52"""
23-14-53.875000,"3 47"""
23-14-53.875000,"7 53"""
23-14-53.876000,"6 48"""
23-14-53.887000,"1 45"""
23-14-53.889000,"5 51"""
23-14-53.900000, 0 0 0 60 0 0 0 0
23-14-53.901000,48 0 0 44 0 0 0 0
23-14-53.902000,0 0 0 0 0 0 0 0
23-14-53.903000,0 0 0 0 0 0 0 0
23-14-53.905000,0 0 0 0 0 44 44 53
23-14-53.906000,54 44 44 44 0 0 0 0
23-14-53.906000,0 0 0 0 0 0 0 0
23-14-53.909000,"0 0 0 0 0 0""2 45"""
23-14-53.923000,"3 47"""
23-14-53.924000,"6 48"""
23-14-53.925000,"7 53"""
23-14-53.925000,"1 45"""
23-14-53.926000,"5 51"""
23-14-53.927000,"8 52"""
23-14-53.927000,"2 45"""
23-14-53.928000,"3 47"""
23-14-53.939000, 0 0 0 60 0 0 0 0
23-14-53.942000,47 0 0 0 0 0 0 0
23-14-53.957000,60 44 0 0 0 0 0 0
23-14-53.957000,0 0 0 0 0 0 0 0
23-14-53.957000,0 0 0 0 0 44 44 0
23-14-53.958000,54 0 44 0 0 0 0 0
23-14-53.959000,0 0 0 0 0 44 0 0
23-14-53.960000,"0 0 62 0 0 4""1 45"""
23-14-53.960000,"6 48"""
23-14-53.961000,"5 51"""
23-14-53.961000,"8 52"""
23-14-53.964000,"4 48"""
23-14-53.964000,"2 45"""
23-14-53.970000,"7 53"""
23-14-53.970000,"3 47"""
23-14-53.971000,"1 45"""
23-14-53.983000, 0 0 0 0 62 0 49 49
23-14-53.984000,48 0 0 0 44 0 0 0
23-14-53.991000,0 44 0 44 0 0 0 0
23-14-53.991000,62 0 0 0 45 0 0 0
23-14-53.992000,0 0 0 0 0 44 0 53
23-14-53.993000,53 44 44 0 0 0 0 0
23-14-53.993000,0 0 0 0 0 44 0 50
23-14-53.994000,"0 0 6""2 45"""
23-14-53.995000,"6 48"""
23-14-53.995000,"3 47"""
23-14-53.996000,"5 51"""
23-14-53.997000,"4 48"""
23-14-53.997000,"8 52"""
23-14-53.998000,"7 53"""
23-14-54.001000,"1 45"""
23-14-54.022000, 0 0 0 0 0 53 0 49
23-14-54.025000,47 0 0 0 44 0 44 44
23-14-54.026000,0 0 0 0 0 0 0 0
23-14-54.026000,0 0 0 0 0 0 0 0
23-14-54.027000,0 0 0 0 0 0 0 0
23-14-54.028000,0 0 0 0 0 0 0 0
23-14-54.028000,0 0 0 0 0 44 0 50
23-14-54.029000,"0 0 62 0 0 46""2 45"""
23-14-54.029000,"5 51"""
23-14-54.030000,"4 48"""
23-14-54.043000,"8 52"""
23-14-54.044000,"3 47"""
23-14-54.045000,"7 53"""
23-14-54.046000,"2 45"""
23-14-54.048000,"5 51"""
23-14-54.059000, 0 0 0 0 0 0 0 0
23-14-54.060000,0 0 0 0 0 44 0 44
23-14-54.061000,0 0 0 0 0 0 0 0
23-14-54.062000,0 0 0 0 44 0 44 0
23-14-54.077000,0 44 0 0 0 44 44 53
23-14-54.078000,0 0 0 0 0 0 0 0
23-14-54.079000,0 44 0 0 0 44 0 0
23-14-54.079000,"0 0 0 0 0 0""4 48"""
23-14-54.080000,"1 45"""
23-14-54.081000,"7 53"""
23-14-54.083000,"2 45"""
23-14-54.083000,"6 48"""
23-14-54.084000,"5 51"""
23-14-54.084000,"8 51"""
23-14-54.090000,"4 48"""
23-14-54.090000,"1 45"""
23-14-54.100000, 0 0 0 62 0 0 0 0
23-14-54.114000,0 0 0 0 0 0 0 0
23-14-54.126000,0 0 0 0 0 0 0 0
23-14-54.130000,0 0 0 0 45 0 44 0
23-14-54.131000,0 44 0 0 0 44 44 0
23-14-54.136000,53 0 44 0 0 0 0 0
23-14-54.139000,0 0 0 0 0 0 0 0
23-14-54.145000,"50 44 0 0 0 4""6 48"""
23-14-54.147000,"5 52"""
23-14-54.157000,"8 51"""
23-14-54.162000,"4 48"""
23-14-54.164000,"7 53"""
23-14-54.167000,"2 45"""
23-14-54.169000, 0 0 0 0 0 0 0 0
23-14-54.174000,0 0 44 44 0 44 0 0
23-14-54.177000,0 0 0 0 0 0 0 0
23-14-54.179000,0 0 0 0 45 0 44 0
23-14-54.195000,0 44 0 0 0 44 44 53
23-14-54.195000,0 0 0 44 0 0 0 0
23-14-54.196000,0 44 0 0 0 44 0 51
23-14-54.197000,"50 44 0 ""4 48"""
23-14-54.198000,"8 52"""
23-14-54.199000,"5 51"""
23-14-54.200000,"3 47"""
23-14-54.201000,"1 45"""
23-14-54.201000,"2 45"""
23-14-54.202000,"7 53"""
23-14-54.207000, 0 0 0 62 62 0 0 0
23-14-54.208000,47 0 44 44 0 0 0 0
23-14-54.208000,0 0 0 44 0 0 0 0
23-14-54.209000,0 0 0 0 0 0 44 0
23-14-54.209000,0 0 0 0 0 0 44 51
23-14-54.210000,0 44 44 44 0 0 0 0
23-14-54.211000,0 0 0 0 0 0 0 53
23-14-54.211000,"0 44 0 0""6 48"""
23-14-54.214000,"2 45"""
23-14-54.215000,"3 47"""
23-14-54.227000,"4 48"""
23-14-54.228000,"1 45"""
23-14-54.228000,"7 53"""
23-14-54.229000,"6 48"""
23-14-54.230000, 0 0 0 0 0 0 50 0
23-14-54.230000,47 0 0 0 44 0 44 0
23-14-54.231000,0 0 0 0 0 0 0 0
23-14-54.232000,62 0 0 0 45 0 44 0
23-14-54.233000,0 0 0 0 0 0 0 0
23-14-54.234000,0 44 44 44 0 0 0 0
23-14-54.239000,0 0 0 0 0 44 0 0
23-14-54.240000,"0 0 0 0 0 ""2 45"""
23-14-54.240000,"8 56"""
23-14-54.241000,"5 52"""
23-14-54.241000,"4 48"""
23-14-54.243000,"1 45"""
23-14-54.243000,"3 47"""
23-14-54.244000,"7 53"""
23-14-54.244000,"6 48"""
23-14-54.245000,"2 45"""
23-14-54.249000,"5 52"""
23-14-54.260000, 0 0 0 0 0 0 0 0
23-14-54.261000,47 0 0 0 0 44 44 44
23-14-54.261000,0 0 0 0 0 0 0 0
23-14-54.262000,62 0 0 0 45 0 44 0
23-14-54.262000,60 44 0 0 0 44 44 0
23-14-54.263000,0 0 44 44 0 0 0 0
23-14-54.263000,0 0 0 0 0 0 0 0
23-14-54.264000,"0 0 0 0 ""4 48"""
23-14-54.265000,"1 45"""
23-14-54.266000,"3 48"""
23-14-54.267000,"2 45"""
23-14-54.279000,"6 48"""
23-14-54.280000,"7 53"""
23-14-54.281000,"5 52"""
23-14-54.282000,"8 51"""
23-14-54.284000,"4 48"""
23-14-54.287000,"1 45"""
23-14-54.288000,"3 48"""
23-14-54.301000, 0 0 0 0 0 53 0 0
23-14-54.302000,0 0 0 0 0 0 0 0
23-14-54.306000,0 0 0 44 44 0 0 0
23-14-54.307000,0 0 0 0 45 0 44 0
23-14-54.313000,60 44 0 0 0 44 44 0
23-14-54.315000,0 0 44 0 0 0 0 0
23-14-54.316000,49 44 0 0 0 44 0 0
23-14-54.316000,"51 45 0 ""6 48"""
23-14-54.317000,"7 53"""
23-14-54.317000,"5 52"""
23-14-54.318000,"8 48"""
23-14-54.318000,"4 48"""
23-14-54.319000,"1 45"""
23-14-54.321000,"3 48"""
23-14-54.325000,"2 45"""
23-14-54.344000, 0 0 0 0 0 53 0 0
23-14-54.348000,47 0 0 0 0 44 0 0
23-14-54.348000,0 0 0 44 44 0 0 0
23-14-54.350000,0 0 0 0 44 0 44 0
23-14-54.351000,60 44 0 0 0 44 44 56
23-14-54.352000,0 0 44 44 0 0 0 0
23-14-54.352000,49 44 0 0 0 44 0 53
23-14-54.353000,"52 ""6 48"""
23-14-54.354000,"3 48"""
23-14-54.355000,"7 53"""
23-14-54.355000,"4 48"""
23-14-54.361000,"8 47"""
23-14-54.361000,"5 52"""
23-14-54.362000,"1 45"""
23-14-54.362000,"2 45"""
23-14-54.383000, 0 0 59 64 0 0 0 0
23-14-54.384000,48 0 0 0 0 44 0 0
23-14-54.385000,0 0 0 0 0 0 0 0
23-14-54.385000,0 0 0 0 0 0 0 0
23-14-54.386000,59 44 0 0 0 44 44 52
23-14-54.390000,54 44 44 44 0 0 0 0
23-14-54.391000,0 44 0 0 0 44 0 45
23-14-54.391000,"53 44""6 48"""
23-14-54.392000,"1 45"""
23-14-54.393000,"7 53"""
23-14-54.393000,"2 45"""
23-14-54.394000,"8 46"""
23-14-54.395000,"3 48"""
23-14-54.395000,"5 52"""
23-14-54.406000,"6 48"""
23-14-54.413000,"1 45"""
23-14-54.414000,"7 53"""
23-14-54.419000, 0 0 61 0 0 0 0 0
23-14-54.420000,0 0 0 0 0 0 0 0
23-14-54.424000,0 0 0 0 0 0 0 0
23-14-54.424000,0 0 0 0 0 0 0 0
23-14-54.425000,0 0 0 0 0 0 0 0
23-14-54.426000,54 44 44 44 0 0 0 0
23-14-54.426000,0 0 0 0 0 44 0 44
23-14-54.430000,"0 0 0 0 0 46 0""8 46"""
23-14-54.430000,"3 48"""
23-14-54.432000,"5 49"""
23-14-54.435000,"4 48"""
23-14-54.438000,"6 48"""
23-14-54.441000,"1 45"""
23-14-54.442000,"7 53"""
23-14-54.442000,"2 45"""
23-14-54.445000,"8 46"""
23-14-54.447000,"3 48"""
23-14-54.448000,"5 51"""
23-14-54.463000, 0 0 61 0 0 0 0 0
23-14-54.466000,47 0 44 44 0 0 0 0
23-14-54.467000,0 0 0 0 44 0 51 0
23-14-54.467000,68 0 44 0 45 0 44 0
23-14-54.468000,0 0 0 0 0 44 44 46
23-14-54.468000,53 44 44 44 0 0 0 0
23-14-54.468000,0 0 0 0 0 44 0 44
23-14-54.474000,"0 ""4 48"""
23-14-54.475000,"1 45"""
23-14-54.475000,"6 48"""
23-14-54.476000,"2 45"""
23-14-54.477000,"7 53"""
23-14-54.483000,"8 46"""
23-14-54.484000,"4 48"""
23-14-54.486000,"1 45"""
23-14-54.500000, 0 0 0 0 0 52 0 51
23-14-54.508000,0 0 44 44 0 0 0 0
23-14-54.509000,0 0 0 0 0 0 0 0
23-14-54.510000,0 0 44 0 45 0 44 0
23-14-54.511000,0 0 0 0 0 0 0 0
23-14-54.511000,53 44 0 44 0 0 0 0
23-14-54.512000,51 0 0 0 0 44 0 45
23-14-54.512000,"0 0 0 0 ""3 48"""
23-14-54.513000,"6 48"""
23-14-54.513000,"2 45"""
23-14-54.514000,"5 51"""
23-14-54.515000,"8 46"""
23-14-54.517000,"4 48"""
23-14-54.520000,"7 53"""
23-14-54.539000, 0 0 0 0 0 0 0 0
23-14-54.543000,0 0 44 44 0 0 0 0
23-14-54.544000,0 0 0 0 0 0 0 0
23-14-54.545000,0 0 44 0 45 0 0 0
