20-03-50.643000,-------------------------
20-03-54.216000,[R]: 50 
20-03-54.229000,[R]: 2 
20-03-54.231000,[R]: 1 
20-03-54.231000,[R]: 50 
20-03-54.232000,[R]: 20 
20-03-54.232000,[R]: 1 
20-03-54.244000,[R]: 50 
20-03-54.246000,[R]: 2 
20-03-54.247000,[R]: 1 
20-03-54.276000,[R]: 50 
20-03-54.281000,[R]: 2 
20-03-54.281000,[R]: 1 
20-03-54.282000,[R]: 50 
20-03-54.282000,[R]: 2 
20-03-54.284000,[R]: 1 
20-03-54.285000,[R]: 50 
20-03-54.285000,[R]: 2 
20-03-54.286000,[R]: 1 
20-03-54.286000,[R]: 50 
20-03-54.289000,[R]: 2 
20-03-54.289000,[R]: 1 
20-03-54.296000,[R]: 50 
20-03-54.296000,[R]: 2 
20-03-54.301000,[R]: 20 
20-03-54.302000,[R]: 1 
20-03-54.302000,[R]: 50 
20-03-54.303000,[R]: 2 
20-03-54.303000,[R]: 1 
20-03-54.304000,[R]: 50 
20-03-54.304000,[R]: 2 
20-03-54.305000,[R]: 1 
20-03-54.305000,[R]: 50 
20-03-54.306000,[R]: 2 
20-03-54.306000,[R]: 1 
20-03-54.309000,[R]: 50 
20-03-54.314000,[R]: 2 
20-03-54.314000,[R]: 1 
20-03-54.315000,[R]: 50 
20-03-54.315000,[R]: 2 
20-03-54.316000,[R]: 1 
20-03-54.317000,[R]: 50 
20-03-54.318000,[R]: 2 
20-03-54.319000,[R]: 20 
20-03-54.320000,[R]: 1 
20-03-54.326000,[R]: 50 
20-03-54.327000,[R]: 2 
20-03-54.328000,[R]: 1 
20-03-54.329000,[R]: 50 
20-03-54.330000,[R]: 2 
20-03-54.330000,[R]: 1 
20-03-54.336000,[R]: 50 
20-03-54.337000,[R]: 2 
20-03-54.338000,[R]: 1 
20-03-54.338000,[R]: 50 
20-03-54.340000,[R]: 2 
20-03-54.342000,[R]: 1 
20-03-54.343000,[R]: 50 
20-03-54.343000,[R]: 2 
20-03-54.347000,[R]: 1 
20-03-54.350000,[R]: 50 
20-03-54.352000,[R]: 2 
20-03-54.353000,[R]: 20 
20-03-54.353000,[R]: 1 
20-03-54.354000,[R]: 50 
20-03-54.354000,[R]: 2 
20-03-54.358000,[R]: 1 
20-03-54.358000,[R]: 50 
20-03-54.364000,[R]: 2 
20-03-54.365000,[R]: 1 
20-03-54.365000,[R]: 50 
20-03-54.366000,[R]: 2 
20-03-54.366000,[R]: 1 
20-03-54.367000,[R]: 50 
20-03-54.368000,[R]: 2 
20-03-54.368000,[R]: 1 
20-03-54.370000,[R]: 50 
20-03-54.371000,[R]: 2 
20-03-54.371000,[R]: 1 
20-03-54.372000,[R]: 50 
20-03-54.372000,[R]: 2 
20-03-54.373000,[R]: 20 
20-03-54.376000,[R]: 1 
20-03-54.376000,[R]: 50 
20-03-54.377000,[R]: 2 
20-03-54.377000,[R]: 1 
20-03-54.378000,[R]: 50 
20-03-54.378000,[R]: 2 
20-03-54.379000,[R]: 1 
20-03-54.380000,[R]: 50 
20-03-54.383000,[R]: 2 
20-03-54.385000,[R]: 1 
20-03-54.386000,[R]: 50 
20-03-54.386000,[R]: 2 
20-03-54.387000,[R]: 1 
20-03-54.388000,[R]: 50 
20-03-54.388000,[R]: 2 
20-03-54.396000,[R]: 1 
20-03-54.396000,[R]: 50 
20-03-54.397000,[R]: 2 
20-03-54.398000,[R]: 20 
20-03-54.398000,[R]: 1 
20-03-54.399000,[R]: 50 
20-03-54.402000,[R]: 2 
20-03-54.403000,[R]: 1 
20-03-54.403000,[R]: 50 
20-03-54.404000,[R]: 2 
20-03-54.406000,[R]: 1 
20-03-54.406000,[R]: 50 
20-03-54.407000,[R]: 2 
20-03-54.412000,[R]: 1 
20-03-54.412000,[R]: 50 
20-03-54.413000,[R]: 2 
20-03-54.413000,[R]: 1 
20-03-54.414000,[R]: 50 
20-03-54.417000,[R]: 2 
20-03-54.418000,[R]: 1 
20-03-54.418000,[R]: 50 
20-03-54.425000,[R]: 2 
20-03-54.426000,[R]: 20 
20-03-54.426000,[R]: 1 
20-03-54.427000,[R]: 50 
20-03-54.427000,[R]: 2 
20-03-54.428000,[R]: 1 
20-03-54.429000,[R]: 50 
20-03-54.431000,[R]: 2 
20-03-54.432000,[R]: 1 
20-03-54.432000,[R]: 50 
20-03-54.433000,[R]: 2 
20-03-54.434000,[R]: 1 
20-03-54.436000,[R]: 50 
20-03-54.436000,[R]: 2 
20-03-54.437000,[R]: 1 
20-03-54.438000,[R]: 50 
20-03-54.438000,[R]: 2 
20-03-54.451000,[R]: 1 
20-03-54.451000,[R]: 50 
20-03-54.451000,[R]: 2 
20-03-54.452000,[R]: 1 
20-03-54.453000,[R]: 50 
20-03-54.453000,[R]: 2 
20-03-54.455000,[R]: 1 
20-03-54.455000,[R]: 50 
20-03-54.463000,[R]: 2 
20-03-54.464000,[R]: 1 
20-03-54.465000,[R]: 50 
20-03-54.465000,[R]: 20 
