22-41-32.858000,--------------------------
22-43-46.388000,[R]: 3 
22-43-46.425000,[R]: 4 
22-43-46.462000,S 4 	RSSI: 44
22-43-46.463000,[R]: 5 
22-43-46.463000,[R]: 6 
22-43-46.464000,[R]: 7 
22-43-46.465000,S 7 	RSSI: 44
22-43-46.482000,[R]: 8 
22-43-46.484000,[R]: 1 
22-43-46.497000,[R]: 2 
22-43-46.501000,[R]: 50 
22-43-46.502000,[R]: 3 
22-43-46.502000,[R]: 4 
22-43-46.515000,S 4 	RSSI: 44
22-43-46.516000,[R]: 5 
22-43-46.520000,[R]: 6 
22-43-46.530000,[R]: 7 
22-43-46.531000,[R]: 8 
22-43-46.531000,[R]: 1 
22-43-46.534000,[R]: 2 
22-43-46.537000,[R]: 50 
22-43-46.538000,[R]: 3 
22-43-46.552000,[R]: 4 
22-43-46.559000,S 4 	RSSI: 44
22-43-46.560000,[R]: 5 
22-43-46.561000,[R]: 6 
22-43-46.562000,[R]: 7 
22-43-46.567000,S 7 	RSSI: 44
22-43-46.567000,[R]: 8 
22-43-46.602000,[R]: 1 
22-43-46.602000,[R]: 2 
22-43-46.608000,[R]: 50 
22-43-46.628000,[R]: 3 
22-43-46.629000,[R]: 4 
22-43-46.629000,S 4 	RSSI: 44
22-43-46.630000,[R]: 5 
22-43-46.630000,[R]: 6 
22-43-46.631000,[R]: 7 
22-43-46.631000,[R]: 8 
22-43-46.632000,S 1 	RSSI: 54
22-43-46.650000,[R]: 1 
22-43-46.661000,S 4 	RSSI: 44
22-43-46.662000,[R]: 2 
22-43-46.662000,[R]: 50 
22-43-46.663000,[R]: 3 
22-43-46.663000,[R]: 4 
22-43-46.664000,S 7 	RSSI: 44
22-43-46.664000,[R]: 5 
22-43-46.664000,[R]: 6 
22-43-46.669000,[R]: 7 
22-43-46.669000,[R]: 20 
22-43-46.673000,[R]: 1 
22-43-46.673000,S 1 	RSSI: 54
22-43-46.674000,[R]: 2 
22-43-46.682000,[R]: 50 
22-43-46.683000,[R]: 3 
22-43-46.683000,[R]: 4 
22-43-46.684000,S 4 	RSSI: 44
22-43-46.685000,[R]: 5 
22-43-46.685000,[R]: 6 
22-43-46.686000,[R]: 7 
22-43-46.718000,S 7 	RSSI: 44
22-43-46.718000,[R]: 8 
22-43-46.724000,[R]: 1 
22-43-46.725000,S 1 	RSSI: 54
22-43-46.725000,[R]: 2 
22-43-46.748000,[R]: 50 
22-43-46.750000,[R]: 3 
22-43-46.750000,S 5 	RSSI: 44
22-43-46.752000,[R]: 4 
22-43-46.762000,[R]: 5 
22-43-46.762000,[R]: 6 
22-43-46.763000,[R]: 7 
22-43-46.775000,[R]: 8 
22-43-46.776000,[R]: 1 
22-43-46.777000,S 1 	RSSI: 54
22-43-46.777000,[R]: 2 
22-43-46.778000,[R]: 50 
22-43-46.778000,[R]: 3 
22-43-46.781000,S 5 	RSSI: 44
22-43-46.781000,[R]: 4 
22-43-46.782000,[R]: 5 
22-43-46.783000,[R]: 6 
22-43-46.783000,[R]: 7 
22-43-46.795000,[R]: 8 
22-43-46.796000,S 5 	RSSI: 44
22-43-46.809000,[R]: 1 
22-43-46.810000,S 1 	RSSI: 55
22-43-46.811000,[R]: 2 
22-43-46.812000,[R]: 50 
22-43-46.821000,[R]: 3 
22-43-46.823000,[R]: 4 
