22-54-04.044000,"""Scanner enabled\r\n""" 
22-56-36.809000,0] 0 0 0 0 0 0 0 0
22-56-36.809000,1] 52 0 44 0 44 0 0 0
22-56-36.811000,2] 0 0 0 0 0 51 0 0
22-56-36.812000,3] 0 44 0 0 0 0 44 0
22-56-36.813000,4] 0 44 44 0 0 0 0 0
22-56-36.815000,"5] 0 0 0 0 0 0 ""S 2. R: 46"""
22-56-36.816000,"S 5. R: 44"""
22-56-36.816000,"S 3. R: 60"""
22-56-36.818000,"S 4. R: 48"""
22-56-36.818000,"S 6. R: 56"""
22-56-36.823000,"S 7. R: 48"""
22-56-36.830000,"S 1. R: 59"""
22-56-36.834000,"S 5. R: 44"""
22-56-36.849000,C 1 1 1 1 2 1 1 0
22-56-36.850000,0] 0 0 55 0 0 53 0 0
22-56-36.851000,1] 0 0 0 0 0 0 0 0
22-56-36.851000,2] 0 0 0 0 0 0 0 0
22-56-36.852000,3] 0 0 0 0 0 0 44 0
22-56-36.853000,4] 66 44 44 0 0 44 0 0
22-56-36.854000,"5] 0 0 51 44 0 0""S 1. R: 58"""
22-56-36.854000,"S 2. R: 46"""
22-56-36.855000,"S 4. R: 48"""
22-56-36.856000,"S 3. R: 61"""
22-56-36.857000,"S 7. R: 48"""
22-56-36.859000,"S 6. R: 56"""
22-56-36.866000,"S 5. R: 44"""
22-56-36.872000,"S 1. R: 58"""
22-56-36.891000,C 2 1 1 1 1 1 1 0
22-56-36.892000,0] 0 0 0 51 0 0 56 0
22-56-36.893000,1] 52 0 44 0 0 44 0 0
22-56-36.895000,2] 56 44 0 44 0 0 54 0
22-56-36.896000,3] 0 0 0 0 0 0 44 0
22-56-36.896000,4] 66 44 44 0 0 44 0 0
22-56-36.899000,"5] 0 0 51""S 2. R: 46"""
22-56-36.899000,"S 4. R: 49"""
22-56-36.900000,"S 3. R: 60"""
22-56-36.900000,"S 7. R: 48"""
22-56-36.902000,"S 6. R: 56"""
22-56-36.903000,"S 5. R: 44"""
22-56-36.905000,"S 1. R: 58"""
22-56-36.909000,"S 2. R: 46"""
22-56-36.910000,"S 4. R: 48"""
22-56-36.913000,"S 3. R: 60"""
22-56-36.930000,C 1 2 2 2 1 1 1 0
22-56-36.931000,0] 0 0 0 51 0 0 56 0
22-56-36.931000,1] 54 0 0 44 0 0 44 0
22-56-36.932000,2] 58 44 0 44 0 0 54 0
22-56-36.934000,3] 0 0 0 0 0 0 44 0
22-56-36.934000,4] 0 0 44 0 0 44 0 0
22-56-36.935000,"5] 0 0 0 0 ""S 5. R: 44"""
22-56-36.935000,"S 4. R: 49"""
22-56-36.939000,"S 1. R: 58"""
22-56-36.941000,"S 2. R: 46"""
22-56-36.942000,"S 7. R: 48"""
22-56-36.945000,"S 3. R: 60"""
22-56-36.968000,C 1 1 1 1 1 0 1 0
22-56-36.971000,0] 0 0 0 51 0 0 0 0
22-56-36.971000,1] 52 0 0 44 0 0 0 0
22-56-36.972000,2] 56 44 0 44 0 0 55 0
22-56-36.972000,3] 0 0 0 0 0 0 0 0
22-56-36.973000,4] 0 0 44 0 0 44 0 0
22-56-36.973000,"5] 0 0 0 0 0 0""S 1. R: 58"""
22-56-36.974000,"S 5. R: 44"""
22-56-36.974000,"S 2. R: 46"""
22-56-36.975000,"S 4. R: 49"""
22-56-36.978000,"S 3. R: 61"""
22-56-36.983000,"S 7. R: 48"""
22-56-36.990000,"S 6. R: 55"""
22-56-36.991000,"S 1. R: 58"""
22-56-36.993000,"S 5. R: 44"""
22-56-37.009000,C 2 1 1 1 2 1 1 0
22-56-37.010000,0] 0 0 0 0 0 0 0 0
22-56-37.011000,1] 0 0 0 0 0 0 0 0
22-56-37.011000,2] 56 44 0 44 0 0 0 0
22-56-37.012000,2] 56 44 0 44 0 0 0 0
22-56-37.013000,3] 51 0 0 0 0 0 44 0
22-56-37.013000,4] 0 0 44 0 0 44 0 0
22-56-37.014000,"5] 54 44 51 44 0""S 4. R: 49"""
22-56-37.015000,"S 3. R: 61"""
22-56-37.016000,"S 7. R: 48"""
22-56-37.022000,"S 6. R: 55"""
22-56-37.025000,"S 1. R: 58"""
22-56-37.028000,"S 2. R: 46"""
22-56-37.049000,C 1 1 1 1 0 1 1 0
22-56-37.050000,0] 0 0 0 0 70 0 0 0
22-56-37.051000,1] 52 0 0 44 0 0 44 0
22-56-37.052000,2] 0 0 0 0 0 0 0 0
22-56-37.052000,3] 51 44 0 0 0 0 44 0
22-56-37.053000,4] 0 0 0 0 0 0 0 0
22-56-37.054000,"5] 0 44 51 44 0 ""S 4. R: 48"""
22-56-37.054000,"S 3. R: 60"""
22-56-37.055000,"S 7. R: 48"""
22-56-37.056000,"S 5. R: 44"""
22-56-37.058000,"S 1. R: 58"""
22-56-37.060000,"S 6. R: 55"""
22-56-37.061000,"S 2. R: 46"""
22-56-37.069000,"S 4. R: 49"""
22-56-37.089000,C 1 1 1 2 1 1 1 0
22-56-37.090000,0] 0 0 0 0 69 0 0 0
22-56-37.091000,1] 52 0 0 0 44 0 0 0
22-56-37.092000,2] 0 0 0 44 0 0 55 0
22-56-37.093000,3] 51 44 0 0 0 0 44 0
22-56-37.094000,4] 0 0 44 0 0 0 0 0
22-56-37.095000,"5] 0 0 51 0 0 ""S 3. R: 61"""
22-56-37.096000,"S 7. R: 48"""
22-56-37.096000,"S 2. R: 46"""
22-56-37.097000,"S 5. R: 44"""
22-56-37.101000,"S 4. R: 49"""
22-56-37.109000,"S 3. R: 60"""
22-56-37.114000,"S 7. R: 50"""
22-56-37.127000,C 0 1 2 1 1 0 2 0
22-56-37.128000,0] 0 0 0 0 0 0 0 0
22-56-37.130000,1] 0 0 0 0 0 0 0 0
22-56-37.131000,2] 0 0 0 44 0 0 55 0
22-56-37.131000,3] 0 44 0 0 0 0 44 0
22-56-37.132000,4] 0 0 0 0 0 44 0 0
22-56-37.132000,"5] 0 0 0 0 0 0 0 0""S 5. R: 44"""
22-56-37.142000,"S 3. R: 60"""
22-56-37.147000,"S 7. R: 48"""
22-56-37.148000,"S 2. R: 46"""
22-56-37.166000,C 0 1 1 0 1 0 1 0
22-56-37.168000,0] 0 0 0 0 0 0 0 0
22-56-37.169000,1] 0 0 0 0 44 0 0 0
22-56-37.170000,2] 0 0 0 44 0 0 55 0
22-56-37.170000,3] 0 0 0 0 0 0 0 0
22-56-37.171000,4] 0 0 44 0 0 0 0 0
22-56-37.172000,"5] 0 0 0 0 0 0 0 0""S 1. R: 58"""
22-56-37.172000,"S 5. R: 44"""
22-56-37.173000,"S 3. R: 60"""
22-56-37.173000,"S 4. R: 49"""
22-56-37.178000,"S 6. R: 55"""
22-56-37.180000,"S 2. R: 46"""
22-56-37.183000,"S 7. R: 48"""
22-56-37.191000,"S 1. R: 58"""
22-56-37.194000,"S 5. R: 44"""
22-56-37.209000,C 2 1 1 1 2 1 1 0
22-56-37.209000,0] 0 0 0 51 0 0 57 0
22-56-37.210000,1] 0 0 0 0 44 0 0 0
22-56-37.211000,2] 0 0 0 0 0 0 0 0
22-56-37.212000,3] 0 44 0 0 0 0 44 0
22-56-37.213000,4] 0 0 0 0 0 44 0 0
22-56-37.214000,"5] 54 0 51 44 0 0""S 4. R: 49"""
22-56-37.215000,"S 3. R: 60"""
22-56-37.215000,"S 2. R: 46"""
22-56-37.216000,"S 7. R: 48"""
22-56-37.219000,"S 6. R: 55"""
22-56-37.224000,"S 1. R: 59"""
22-56-37.226000,"S 5. R: 44"""
22-56-37.249000,C 1 1 1 1 1 1 1 0
22-56-37.250000,0] 0 0 0 51 0 0 57 0
22-56-37.251000,1] 0 0 0 0 44 0 0 0
22-56-37.251000,2] 0 0 0 0 0 0 0 0
22-56-37.252000,3] 0 44 0 0 0 0 44 0
22-56-37.253000,4] 0 0 0 0 0 44 0 0
22-56-37.254000,"5] 54 0 51 44 0 0""S 4. R: 48"""
22-56-37.255000,"S 3. R: 60"""
22-56-37.255000,"S 2. R: 46"""
22-56-37.256000,"S 7. R: 48"""
22-56-37.257000,"S 6. R: 55"""
22-56-37.262000,"S 5. R: 44"""
22-56-37.270000,"S 4. R: 48"""
22-56-37.273000,"S 3. R: 60"""
22-56-37.289000,C 0 1 2 2 1 1 1 0
22-56-37.290000,0] 0 0 0 0 0 0 0 0
22-56-37.291000,1] 0 0 44 0 0 44 0 0
22-56-37.291000,2] 0 0 0 44 0 0 55 0
22-56-37.292000,3] 51 0 0 0 0 0 44 0
22-56-37.293000,4] 0 0 0 0 0 44 0 0
22-56-37.294000,"5] 55 0 51 44 0 ""S 2. R: 46"""
22-56-37.294000,"S 1. R: 58"""
22-56-37.295000,"S 5. R: 44"""
22-56-37.306000,"S 3. R: 60"""
22-56-37.310000,"S 2. R: 46"""
22-56-37.312000,"S 1. R: 58"""
22-56-37.326000,C 2 2 1 0 1 0 0 0
22-56-37.327000,0] 0 0 0 0 68 0 0 0
22-56-37.327000,1] 0 0 0 0 0 44 44 0
22-56-37.328000,2] 56 0 0 44 0 0 0 0
22-56-37.328000,3] 0 0 0 0 0 0 0 0
22-56-37.330000,4] 0 0 0 0 0 0 0 0
22-56-37.330000,"5] 0 0 0 0 0 0 0 0""S 2. R: 46"""
22-56-37.333000,"S 3. R: 61"""
22-56-37.334000,"S 4. R: 49"""
22-56-37.343000,"S 7. R: 48"""
22-56-37.350000,"S 6. R: 55"""
22-56-37.353000,"S 5. R: 44"""
22-56-37.366000,C 0 1 1 1 1 1 1 0
22-56-37.367000,0] 0 0 0 0 0 0 0 0
22-56-37.368000,1] 0 0 0 0 0 0 0 0
22-56-37.369000,2] 0 0 0 0 0 0 0 0
22-56-37.370000,3] 51 0 0 0 0 0 0 0
22-56-37.370000,4] 0 0 0 0 0 44 0 0
22-56-37.371000,"5] 0 44 51 44 0 0 44 ""S 3. R: 61"""
22-56-37.373000,"S 4. R: 49"""
22-56-37.376000,"S 7. R: 48"""
22-56-37.379000,"S 1. R: 59"""
22-56-37.388000,"S 2. R: 46"""
22-56-37.392000,"S 3. R: 61"""
22-56-37.408000,C 1 1 2 1 0 0 1 0
22-56-37.408000,0] 0 0 55 51 0 53 57 0
22-56-37.409000,1] 0 0 0 44 0 0 44 0
22-56-37.410000,2] 0 44 0 44 0 0 55 0
22-56-37.411000,3] 0 0 0 0 0 0 0 0
22-56-37.413000,4] 0 0 0 0 0 0 0 0
22-56-37.416000,"5] 0 0 0 0 0 0""S 7. R: 48"""
22-56-37.416000,"S 1. R: 58"""
22-56-37.417000,"S 5. R: 44"""
22-56-37.420000,"S 6. R: 55"""
22-56-37.420000,"S 2. R: 46"""
22-56-37.448000,C 1 1 0 0 1 1 1 0
22-56-37.449000,0] 0 52 55 51 0 0 57 0
22-56-37.450000,1] 0 0 0 44 0 0 44 0
22-56-37.451000,2] 0 0 0 0 0 0 0 0
22-56-37.451000,3] 0 0 0 0 0 0 0 0
22-56-37.452000,4] 0 0 0 0 0 0 0 0
22-56-37.453000,"5] 55 44 51 0 0 0""S 7. R: 48"""
22-56-37.453000,"S 1. R: 58"""
22-56-37.456000,"S 6. R: 55"""
22-56-37.456000,"S 2. R: 46"""
22-56-37.457000,"S 5. R: 44"""
22-56-37.458000,"S 3. R: 61"""
22-56-37.461000,"S 4. R: 49"""
22-56-37.474000,"S 7. R: 48"""
22-56-37.490000,C 1 1 1 1 1 1 2 0
22-56-37.491000,0] 0 0 0 0 0 0 0 0
22-56-37.492000,1] 0 0 0 44 0 0 44 0
22-56-37.493000,2] 56 44 0 44 0 0 55 0
22-56-37.494000,3] 0 0 0 0 0 0 44 0
22-56-37.494000,4] 0 0 0 0 0 44 0 0
22-56-37.495000,"5] 55 44 51 44 ""S 1. R: 58"""
22-56-37.495000,"S 2. R: 46"""
22-56-37.496000,"S 6. R: 55"""
22-56-37.497000,"S 5. R: 44"""
22-56-37.498000,"S 3. R: 61"""
22-56-37.502000,"S 7. R: 48"""
22-56-37.512000,"S 1. R: 58"""
22-56-37.527000,C 2 1 1 0 1 1 1 0
22-56-37.528000,0] 0 0 0 0 70 0 0 0
22-56-37.529000,1] 51 0 0 0 44 0 0 0
22-56-37.530000,2] 0 0 0 0 0 0 0 0
22-56-37.531000,3] 0 0 0 0 0 0 0 0
22-56-37.531000,4] 0 0 0 0 0 44 0 0
22-56-37.533000,"5] 0 0 51 0 0 0 44 ""S 2. R: 46"""
22-56-37.533000,"S 6. R: 55"""
22-56-37.533000,"S 5. R: 44"""
22-56-37.534000,"S 3. R: 61"""
22-56-37.535000,"S 4. R: 49"""
22-56-37.543000,"S 7. R: 48"""
22-56-37.544000,"S 1. R: 58"""
22-56-37.548000,"S 2. R: 46"""
22-56-37.550000,"S 6. R: 55"""
22-56-37.553000,"S 5. R: 44"""
22-56-37.568000,C 1 2 1 1 2 2 1 0
22-56-37.569000,0] 0 0 0 0 0 0 0 0
22-56-37.569000,1] 52 0 0 0 44 0 0 0
22-56-37.570000,2] 0 0 0 0 0 0 0 0
22-56-37.571000,3] 51 0 0 0 0 0 44 0
22-56-37.572000,4] 0 0 0 0 0 44 0 0
22-56-37.573000,"5] 0 0 51 44 0 0 4""S 1. R: 59"""
22-56-37.574000,"S 4. R: 49"""
22-56-37.576000,"S 7. R: 48"""
22-56-37.579000,"S 6. R: 55"""
22-56-37.581000,"S 2. R: 46"""
22-56-37.586000,"S 5. R: 44"""
22-56-37.608000,C 1 1 0 1 1 1 1 0
22-56-37.609000,0] 0 0 0 0 0 0 0 0
22-56-37.611000,1] 0 0 0 0 44 0 0 0
22-56-37.613000,2] 0 0 0 0 0 0 0 0
22-56-37.613000,3] 0 44 0 0 0 0 44 0
22-56-37.614000,4] 72 0 0 0 0 44 0 0
22-56-37.614000,"5] 0 0 51 44 0 0 4""S 4. R: 49"""
22-56-37.615000,"S 7. R: 48"""
22-56-37.615000,"S 6. R: 55"""
22-56-37.616000,"S 2. R: 46"""
22-56-37.616000,"S 5. R: 44"""
22-56-37.625000,"S 3. R: 61"""
22-56-37.626000,"S 1. R: 59"""
22-56-37.629000,"S 4. R: 49"""
22-56-37.651000,C 1 1 1 2 1 1 1 0
22-56-37.652000,0] 0 52 0 51 0 0 57 0
22-56-37.652000,1] 0 0 0 0 44 0 0 0
22-56-37.653000,2] 0 44 0 44 0 0 55 0
22-56-37.654000,3] 51 44 0 0 0 0 44 0
22-56-37.655000,4] 0 0 0 0 0 44 0 0
22-56-37.656000,"5] 0 0 51 44""S 1. R: 59"""
22-56-37.656000,"S 7. R: 48"""
22-56-37.657000,"S 2. R: 46"""
22-56-37.658000,"S 6. R: 56"""
22-56-37.659000,"S 5. R: 44"""
22-56-37.661000,"S 3. R: 61"""
22-56-37.662000,"S 4. R: 49"""
22-56-37.671000,"S 1. R: 59"""
22-56-37.689000,C 2 1 1 1 1 1 1 0
22-56-37.689000,0] 0 52 0 0 73 0 0 0
22-56-37.689000,1] 0 0 0 0 0 0 0 0
22-56-37.690000,2] 56 44 0 44 0 0 55 0
22-56-37.691000,3] 51 44 0 0 0 0 44 0
22-56-37.692000,4] 0 0 0 0 0 44 0 0
22-56-37.693000,"5] 0 0 0 0 0 ""S 5. R: 44"""
22-56-37.693000,"S 3. R: 60"""
22-56-37.694000,"S 4. R: 49"""
22-56-37.703000,"S 1. R: 59"""
22-56-37.707000,"S 2. R: 46"""
22-56-37.709000,"S 6. R: 56"""
22-56-37.727000,C 1 1 1 1 1 1 0 0
22-56-37.728000,0] 0 0 0 0 73 0 0 0
22-56-37.728000,1] 51 0 0 0 44 0 0 0
22-56-37.729000,2] 0 0 0 0 0 0 0 0
22-56-37.730000,3] 51 0 0 0 0 0 44 0
22-56-37.731000,4] 0 0 0 0 0 44 0 0
22-56-37.732000,"5] 0 0 51 44 0 0 ""S 5. R: 44"""
22-56-37.733000,"S 3. R: 60"""
22-56-37.738000,"S 1. R: 60"""
22-56-37.739000,"S 7. R: 48"""
22-56-37.741000,"S 2. R: 46"""
22-56-37.754000,"S 5. R: 44"""
22-56-37.766000,C 1 1 1 0 2 0 1 0
22-56-37.767000,0] 0 0 0 0 0 54 0 0
22-56-37.768000,1] 51 0 0 0 44 0 0 0
22-56-37.769000,2] 0 0 0 0 0 0 0 0
22-56-37.769000,3] 0 0 0 0 0 0 0 0
22-56-37.770000,4] 74 0 0 0 0 44 0 0
22-56-37.772000,"5] 0 0 0 0 0 0 0 0""S 1. R: 59"""
22-56-37.773000,"S 3. R: 61"""
22-56-37.773000,"S 2. R: 46"""
22-56-37.774000,"S 4. R: 49"""
22-56-37.775000,"S 7. R: 48"""
22-56-37.776000,"S 5. R: 44"""
22-56-37.779000,"S 6. R: 57"""
22-56-37.791000,"S 1. R: 60"""
22-56-37.793000,"S 3. R: 61"""
22-56-37.807000,C 2 1 2 1 1 1 1 0
22-56-37.808000,0] 0 0 0 0 0 54 0 0
22-56-37.809000,1] 0 0 0 0 0 0 0 0
22-56-37.810000,2] 0 0 0 0 0 0 0 0
22-56-37.810000,3] 0 0 0 0 0 0 0 0
22-56-37.811000,4] 74 44 0 0 0 0 0 0
22-56-37.812000,"5] 0 0 51 44 0 0 44 ""S 7. R: 48"""
22-56-37.813000,"S 5. R: 44"""
22-56-37.813000,"S 6. R: 57"""
22-56-37.824000,"S 1. R: 60"""
22-56-37.825000,"S 3. R: 60"""
22-56-37.827000,"S 2. R: 46"""
22-56-37.829000,"S 4. R: 50"""
22-56-37.849000,C 1 1 1 1 1 1 1 0
22-56-37.850000,0] 0 0 0 0 0 54 0 0
22-56-37.851000,1] 52 0 0 0 0 44 0 0
22-56-37.852000,2] 0 0 0 0 0 0 0 0
22-56-37.852000,3] 0 0 44 0 0 0 44 0
22-56-37.853000,4] 72 44 0 0 0 44 0 0
22-56-37.854000,"5] 0 0 51 44 0 ""S 5. R: 44"""
22-56-37.854000,"S 6. R: 60"""
22-56-37.855000,"S 3. R: 61"""
22-56-37.856000,"S 4. R: 50"""
22-56-37.858000,"S 1. R: 60"""
22-56-37.861000,"S 2. R: 46"""
22-56-37.864000,"S 7. R: 48"""
22-56-37.872000,"S 5. R: 44"""
22-56-37.889000,C 1 1 1 1 2 1 1 0
22-56-37.890000,0] 0 0 55 51 0 0 0 0
22-56-37.891000,1] 52 0 0 0 0 44 0 0
22-56-37.891000,2] 0 0 0 0 0 0 0 0
22-56-37.893000,3] 0 0 0 0 0 0 0 0
22-56-37.894000,4] 0 44 0 0 0 44 0 0
22-56-37.895000,"5] 55 44 50 44 0 ""S 6. R: 58"""
22-56-37.895000,"S 1. R: 60"""
22-56-37.896000,"S 2. R: 46"""
22-56-37.897000,"S 4. R: 50"""
22-56-37.904000,"S 7. R: 48"""
22-56-37.905000,"S 5. R: 44"""
22-56-37.910000,"S 6. R: 58"""
22-56-37.911000,"S 1. R: 60"""
22-56-37.928000,C 2 1 0 1 1 2 1 0
22-56-37.930000,0] 0 0 0 51 0 0 56 0
22-56-37.931000,1] 0 0 0 0 0 0 0 0
22-56-37.931000,2] 0 0 0 0 0 0 0 0
22-56-37.932000,3] 0 0 0 0 0 0 0 0
22-56-37.933000,4] 0 0 0 0 0 44 0 0
22-56-37.935000,"5] 55 44 0 44 0 0 44""S 3. R: 60"""
22-56-37.935000,"S 4. R: 50"""
22-56-37.936000,"S 7. R: 48"""
22-56-37.938000,"S 5. R: 44"""
22-56-37.944000,"S 6. R: 59"""
22-56-37.945000,"S 1. R: 61"""
22-56-37.948000,"S 2. R: 47"""
22-56-37.953000,"S 3. R: 60"""
22-56-37.970000,C 1 1 2 1 1 1 1 0
22-56-37.972000,0] 0 0 55 51 0 0 55 0
22-56-37.974000,1] 52 0 44 44 0 0 44 0
22-56-37.974000,2] 0 0 0 0 44 0 0 0
22-56-37.975000,3] 0 0 0 0 0 0 0 0
22-56-37.976000,4] 0 0 0 0 0 44 0 0
22-56-37.976000,"5] 55 44 0 44 ""S 7. R: 48"""
22-56-37.977000,"S 5. R: 44"""
22-56-37.979000,"S 1. R: 60"""
22-56-37.982000,"S 2. R: 46"""
22-56-37.986000,"S 3. R: 60"""
22-56-37.989000,"S 4. R: 50"""
22-56-38.011000,C 1 1 1 1 1 0 1 0
22-56-38.012000,0] 0 0 55 0 66 0 0 0
22-56-38.013000,1] 52 0 44 0 0 0 44 0
22-56-38.014000,2] 56 0 0 0 44 0 0 0
22-56-38.015000,3] 51 44 44 0 0 0 44 0
22-56-38.016000,4] 0 0 0 0 0 44 0 0
22-56-38.017000,"5] 0 0 0 0 ""S 1. R: 61"""
22-56-38.019000,"S 7. R: 48"""
22-56-38.020000,"S 2. R: 46"""
22-56-38.021000,"S 3. R: 60"""
22-56-38.022000,"S 6. R: 59"""
22-56-38.023000,"S 5. R: 44"""
22-56-38.024000,"S 4. R: 50"""
22-56-38.032000,"S 1. R: 61"""
22-56-38.049000,C 2 1 1 1 1 1 1 0
22-56-38.050000,0] 0 0 0 0 67 0 0 0
22-56-38.050000,1] 0 0 0 0 0 0 0 0
22-56-38.051000,2] 0 44 0 0 44 0 0 0
22-56-38.052000,3] 51 44 44 0 0 0 44 0
22-56-38.053000,4] 0 0 0 0 0 44 0 0
22-56-38.055000,"5] 0 0 0 44 0 0""S 3. R: 60"""
22-56-38.055000,"S 6. R: 59"""
22-56-38.056000,"S 5. R: 44"""
22-56-38.057000,"S 4. R: 50"""
22-56-38.067000,"S 2. R: 46"""
22-56-38.071000,"S 3. R: 60"""
22-56-38.074000,"S 6. R: 59"""
22-56-38.088000,C 0 1 2 1 1 2 0 0
22-56-38.089000,0] 0 0 0 0 0 0 0 0
22-56-38.090000,1] 0 0 0 0 44 0 0 0
22-56-38.090000,2] 0 44 0 0 44 0 0 0
22-56-38.091000,3] 51 44 44 0 0 0 44 0
22-56-38.092000,4] 0 0 0 0 0 44 0 0
22-56-38.093000,"5] 0 0 0 44 0 0""S 5. R: 44"""
22-56-38.093000,"S 4. R: 50"""
22-56-38.100000,"S 2. R: 47"""
22-56-38.103000,"S 7. R: 48"""
22-56-38.114000,"S 5. R: 44"""
22-56-38.126000,C 0 1 0 1 2 0 1 0
22-56-38.127000,0] 0 0 0 0 0 0 0 0
22-56-38.127000,1] 0 0 0 0 44 0 0 0
22-56-38.128000,2] 0 0 0 0 0 0 0 0
22-56-38.129000,3] 0 44 44 0 0 0 44 0
22-56-38.131000,4] 0 0 0 0 0 0 0 0
22-56-38.131000,"5] 0 0 0 0 0 0 0 0""S 1. R: 62"""
22-56-38.132000,"S 4. R: 50"""
22-56-38.134000,"S 2. R: 46"""
22-56-38.134000,"S 5. R: 44"""
22-56-38.136000,"S 7. R: 48"""
22-56-38.137000,"S 3. R: 60"""
22-56-38.139000,"S 6. R: 59"""
22-56-38.169000,C 1 1 1 1 1 1 1 0
22-56-38.169000,0] 0 0 0 0 0 0 0 0
22-56-38.170000,1] 0 0 0 0 44 0 0 0
22-56-38.171000,2] 0 45 0 0 44 0 0 0
22-56-38.172000,3] 0 44 44 0 0 0 44 0
22-56-38.173000,4] 66 0 0 0 0 0 0 0
22-56-38.174000,"5] 0 0 0 44 0 0 ""S 4. R: 50"""
22-56-38.174000,"S 2. R: 47"""
22-56-38.175000,"S 7. R: 48"""
22-56-38.176000,"S 3. R: 61"""
22-56-38.177000,"S 6. R: 58"""
22-56-38.179000,"S 5. R: 44"""
22-56-38.186000,"S 1. R: 61"""
22-56-38.189000,"S 4. R: 50"""
22-56-38.210000,C 1 1 1 2 1 1 1 0
22-56-38.211000,0] 0 51 0 0 65 0 0 0
22-56-38.212000,1] 0 0 0 0 0 0 0 0
22-56-38.212000,2] 0 0 0 0 0 0 0 0
22-56-38.214000,3] 51 44 44 0 0 0 44 0
22-56-38.215000,4] 0 0 0 0 0 44 0 0
22-56-38.216000,"5] 0 0 0 44 0 0 ""S 7. R: 48"""
22-56-38.217000,"S 3. R: 60"""
22-56-38.217000,"S 6. R: 59"""
22-56-38.218000,"S 5. R: 44"""
22-56-38.220000,"S 1. R: 62"""
22-56-38.223000,"S 4. R: 50"""
22-56-38.228000,"S 2. R: 47"""
22-56-38.249000,C 1 1 1 1 1 1 1 0
22-56-38.253000,0] 0 51 0 0 64 0 0 0
22-56-38.253000,1] 0 0 0 0 0 44 0 0
22-56-38.254000,2] 0 0 0 0 0 0 0 0
22-56-38.255000,3] 51 44 44 0 0 0 44 0
22-56-38.256000,4] 0 44 0 0 0 44 0 0
22-56-38.257000,"5] 0 0 0 44 0 ""S 6. R: 58"""
22-56-38.258000,"S 5. R: 44"""
22-56-38.259000,"S 1. R: 62"""
22-56-38.261000,"S 4. R: 50"""
22-56-38.262000,"S 2. R: 47"""
22-56-38.264000,"S 7. R: 48"""
22-56-38.268000,"S 3. R: 60"""
22-56-38.270000,"S 6. R: 58"""
22-56-38.273000,"S 5. R: 44"""
22-56-38.289000,C 1 1 1 1 2 2 1 0
22-56-38.290000,0] 0 51 0 0 64 0 0 0
22-56-38.291000,1] 0 0 0 0 0 44 0 0
22-56-38.292000,2] 57 45 0 0 44 0 0 0
22-56-38.293000,3] 0 0 0 0 0 0 44 0
22-56-38.294000,4] 0 44 0 0 0 44 0 0
22-56-38.295000,"5] 0 0 0 44 0 ""S 1. R: 62"""
22-56-38.296000,"S 2. R: 47"""
22-56-38.297000,"S 4. R: 50"""
22-56-38.298000,"S 7. R: 48"""
22-56-38.300000,"S 6. R: 58"""
22-56-38.307000,"S 5. R: 44"""
22-56-38.312000,"S 1. R: 62"""
22-56-38.330000,C 2 1 0 1 1 1 1 0
22-56-38.332000,0] 0 0 0 51 0 0 54 0
22-56-38.333000,1] 51 0 0 44 0 0 44 0
22-56-38.333000,2] 0 0 0 0 0 0 0 0
22-56-38.334000,3] 0 0 44 0 0 0 44 0
22-56-38.335000,4] 65 44 0 0 0 44 0 0
22-56-38.336000,"5] 0 0 0 44 0""S 2. R: 47"""
22-56-38.337000,"S 4. R: 50"""
22-56-38.337000,"S 7. R: 48"""
22-56-38.338000,"S 3. R: 60"""
22-56-38.340000,"S 5. R: 44"""
22-56-38.341000,"S 6. R: 59"""
22-56-38.346000,"S 1. R: 62"""
22-56-38.349000,"S 2. R: 47"""
22-56-38.353000,"S 4. R: 50"""
22-56-38.370000,C 1 2 1 2 1 1 1 0
22-56-38.371000,0] 0 0 56 51 0 0 54 0
22-56-38.372000,1] 51 0 0 44 0 0 44 0
22-56-38.373000,2] 0 0 0 0 44 0 0 0
22-56-38.373000,3] 51 0 44 0 0 0 44 0
22-56-38.374000,4] 0 0 0 0 0 0 0 0
22-56-38.375000,"5] 55 0 0 44 ""S 7. R: 48"""
22-56-38.376000,"S 6. R: 58"""
22-56-38.376000,"S 5. R: 44"""
22-56-38.379000,"S 1. R: 62"""
22-56-38.382000,"S 2. R: 47"""
22-56-38.387000,"S 4. R: 50"""
22-56-38.408000,C 1 1 0 1 1 1 1 0
22-56-38.409000,0] 0 0 0 0 65 0 0 0
22-56-38.409000,1] 51 0 0 44 0 0 44 0
22-56-38.410000,2] 0 0 0 0 0 0 0 0
22-56-38.411000,3] 51 44 0 0 0 0 44 0
22-56-38.412000,4] 0 0 0 0 0 44 0 0
22-56-38.413000,"5] 0 0 0 0 0 0 ""S 6. R: 58"""
22-56-38.415000,"S 3. R: 60"""
22-56-38.416000,"S 5. R: 44"""
22-56-38.416000,"S 1. R: 62"""
22-56-38.418000,"S 2. R: 47"""
22-56-38.419000,"S 4. R: 50"""
22-56-38.428000,"S 7. R: 48"""
22-56-38.450000,C 1 1 1 1 1 1 1 0
22-56-38.451000,0] 0 0 0 0 65 0 0 0
22-56-38.451000,1] 53 0 44 0 44 0 0 0
22-56-38.452000,2] 0 0 0 0 0 0 0 0
22-56-38.453000,3] 51 44 44 0 0 0 44 0
22-56-38.453000,4] 0 0 0 0 0 0 0 0
22-56-38.455000,"5] 0 0 0 0 0 0 ""S 3. R: 60"""
22-56-38.455000,"S 5. R: 44"""
