09-19-40.999000,[R]: 6 
09-19-41.001000,S 5 	RSSI: 54
09-19-41.003000,[R]: 20 
09-19-41.016000,[R]: 1 
09-19-41.017000,[R]: 50 
09-19-41.017000,[R]: 2 
09-19-41.018000,S 2 	RSSI: 44
09-19-41.018000,S 3 	RSSI: 51
09-19-41.019000,[R]: 3 
09-19-41.030000,[R]: 4 
09-19-41.030000,S 6 	RSSI: 48
09-19-41.032000,[R]: 5 
09-19-41.036000,S 5 	RSSI: 54
09-19-41.037000,S 8 	RSSI: 50
09-19-41.038000,[R]: 6 
09-19-41.051000,[R]: 20 
09-19-41.051000,[R]: 1 
09-19-41.053000,[R]: 50 
09-19-41.054000,[R]: 2 
09-19-41.055000,S 2 	RSSI: 44
09-19-41.058000,S 3 	RSSI: 51
09-19-41.061000,S 7 	RSSI: 44
09-19-41.061000,[R]: 3 
09-19-41.062000,S 5 	RSSI: 54
09-19-41.066000,[R]: 4 
09-19-41.073000,[R]: 5 
09-19-41.078000,S 4 	RSSI: 51
09-19-41.079000,[R]: 6 
09-19-41.098000,[R]: 20 
09-19-41.098000,[R]: 1 
09-19-41.099000,[R]: 50 
09-19-41.099000,S 3 	RSSI: 51
09-19-41.099000,S 7 	RSSI: 44
09-19-41.100000,[R]: 2 
09-19-41.100000,S 2 	RSSI: 44
09-19-41.101000,[R]: 3 
09-19-41.104000,S 5 	RSSI: 54
09-19-41.107000,[R]: 4 
09-19-41.110000,S 4 	RSSI: 52
09-19-41.112000,[R]: 5 
09-19-41.119000,[R]: 6 
09-19-41.121000,S 3 	RSSI: 51
09-19-41.123000,S 7 	RSSI: 45
09-19-41.125000,[R]: 20 
09-19-41.126000,[R]: 1 
09-19-41.127000,[R]: 50 
09-19-41.133000,[R]: 2 
09-19-41.136000,S 2 	RSSI: 44
09-19-41.137000,S 5 	RSSI: 54
09-19-41.139000,[R]: 3 
09-19-41.147000,[R]: 4 
09-19-41.159000,[R]: 5 
09-19-41.160000,S 3 	RSSI: 51
09-19-41.161000,[R]: 6 
09-19-41.163000,[R]: 20 
09-19-41.166000,[R]: 1 
09-19-41.169000,[R]: 50 
09-19-41.197000,S 5 	RSSI: 54
09-19-41.198000,[R]: 2 
09-19-41.199000,S 2 	RSSI: 44
09-19-41.199000,S 3 	RSSI: 51
09-19-41.200000,[R]: 3 
09-19-41.200000,[R]: 4 
09-19-41.201000,[R]: 5 
09-19-41.201000,S 8 	RSSI: 50
09-19-41.202000,[R]: 6 
09-19-41.203000,[R]: 20 
09-19-41.206000,[R]: 1 
09-19-41.207000,[R]: 50 
09-19-41.215000,[R]: 2 
09-19-41.220000,S 2 	RSSI: 44
09-19-41.220000,S 3 	RSSI: 51
09-19-41.226000,[R]: 3 
09-19-41.227000,[R]: 4 
09-19-41.227000,S 6 	RSSI: 51
09-19-41.232000,[R]: 5 
09-19-41.235000,S 5 	RSSI: 54
09-19-41.236000,S 8 	RSSI: 50
09-19-41.240000,[R]: 6 
09-19-41.246000,[R]: 20 
09-19-41.249000,[R]: 1 
09-19-41.253000,[R]: 50 
09-19-41.253000,S 3 	RSSI: 51
