09-46-23.294000,------------------------------------
09-46-25.543000,[R]: 10 
09-46-25.549000,[R]: 10 
09-46-25.556000,[R]: 10 
09-46-25.564000,[R]: 10 
09-46-25.571000,[R]: 10 
09-46-25.578000,[R]: 10 
09-46-25.585000,[R]: 10 
09-46-25.592000,[R]: 10 
09-46-25.600000,[R]: 10 
09-46-25.607000,[R]: 10 
09-46-25.614000,[R]: 10 
09-46-25.621000,[R]: 10 
09-46-25.629000,[R]: 10 
09-46-25.636000,[R]: 10 
09-46-25.643000,[R]: 10 
09-46-25.650000,[R]: 10 
09-46-25.657000,[R]: 10 
09-46-25.665000,[R]: 10 
09-46-25.672000,[R]: 10 
09-46-25.679000,[R]: 10 
09-46-25.686000,[R]: 10 
09-46-25.694000,[R]: 10 
09-46-25.701000,[R]: 10 
09-46-25.708000,[R]: 10 
09-46-25.715000,[R]: 10 
09-46-25.723000,[R]: 10 
09-46-25.730000,[R]: 10 
09-46-25.737000,[R]: 10 
09-46-25.744000,[R]: 10 
09-46-25.752000,[R]: 10 
09-46-25.759000,[R]: 10 
09-46-25.766000,[R]: 10 
09-46-25.773000,[R]: 10 
09-46-25.781000,[R]: 10 
09-46-25.788000,[R]: 10 
09-46-25.796000,[R]: 10 
09-46-25.803000,[R]: 10 
09-46-25.810000,[R]: 10 
09-46-25.817000,[R]: 10 
09-46-25.825000,[R]: 10 
09-46-25.832000,[R]: 10 
09-46-25.839000,[R]: 10 
09-46-25.847000,[R]: 10 
09-46-25.854000,[R]: 10 
09-46-25.861000,[R]: 10 
09-46-25.868000,[R]: 10 
09-46-25.875000,[R]: 10 
09-46-25.884000,[R]: 10 
09-46-25.890000,[R]: 10 
09-46-25.897000,[R]: 10 
09-46-25.904000,[R]: 10 
09-46-25.912000,[R]: 10 
09-46-25.919000,[R]: 10 
09-46-25.925000,[R]: 10 
09-46-25.932000,[R]: 10 
09-46-25.939000,[R]: 10 
09-46-25.947000,[R]: 10 
09-46-25.954000,[R]: 10 
09-46-25.961000,[R]: 10 
09-46-25.968000,[R]: 10 
09-46-25.976000,[R]: 10 
09-46-25.983000,[R]: 10 
09-46-25.990000,[R]: 10 
09-46-25.997000,[R]: 10 
09-46-26.004000,[R]: 10 
09-46-26.012000,[R]: 10 
09-46-26.019000,[R]: 10 
09-46-26.026000,[R]: 10 
09-46-26.034000,[R]: 10 
09-46-26.041000,[R]: 10 
09-46-26.048000,[R]: 10 
09-46-26.055000,[R]: 10 
09-46-26.063000,[R]: 10 
09-46-26.070000,[R]: 10 
09-46-26.077000,[R]: 10 
09-46-26.084000,[R]: 10 
09-46-26.091000,[R]: 10 
09-46-26.099000,[R]: 10 
09-46-26.106000,[R]: 10 
09-46-26.113000,[R]: 10 
09-46-26.120000,[R]: 10 
09-46-26.128000,[R]: 10 
09-46-26.135000,[R]: 10 
09-46-26.142000,[R]: 10 
09-46-26.150000,[R]: 10 
09-46-26.157000,[R]: 10 
09-46-26.164000,[R]: 10 
09-46-26.171000,[R]: 10 
09-46-26.179000,[R]: 10 
09-46-26.186000,[R]: 10 
09-46-26.193000,[R]: 10 
09-46-26.201000,[R]: 10 
09-46-26.208000,[R]: 10 
09-46-26.215000,[R]: 10 
09-46-26.222000,[R]: 10 
09-46-26.230000,[R]: 10 
09-46-26.237000,[R]: 10 
09-46-26.244000,[R]: 10 
09-46-26.252000,[R]: 10 
09-46-26.259000,[R]: 10 
09-46-26.266000,[R]: 10 
09-46-26.273000,[R]: 10 
09-46-26.281000,[R]: 10 
09-46-26.288000,[R]: 10 
09-46-26.295000,[R]: 10 
09-46-26.301000,[R]: 10 
09-46-26.308000,[R]: 10 
09-46-26.316000,[R]: 10 
09-46-26.323000,[R]: 10 
09-46-26.330000,[R]: 10 
09-46-26.337000,[R]: 10 
09-46-26.345000,[R]: 10 
09-46-26.352000,[R]: 10 
09-46-26.359000,[R]: 10 
09-46-26.366000,[R]: 10 
09-46-26.373000,[R]: 10 
09-46-26.381000,[R]: 10 
09-46-26.388000,[R]: 10 
09-46-26.395000,[R]: 10 
09-46-26.402000,[R]: 10 
09-46-26.410000,[R]: 10 
09-46-26.417000,[R]: 10 
09-46-26.424000,[R]: 10 
09-46-26.431000,[R]: 10 
09-46-26.439000,[R]: 10 
09-46-26.446000,[R]: 10 
09-46-26.453000,[R]: 10 
09-46-26.460000,[R]: 10 
09-46-26.468000,[R]: 10 
09-46-26.475000,[R]: 10 
09-46-26.482000,[R]: 10 
09-46-26.489000,[R]: 10 
09-46-26.497000,[R]: 10 
09-46-26.504000,[R]: 10 
09-46-26.511000,[R]: 10 
09-46-26.519000,[R]: 10 
09-46-26.526000,[R]: 10 
09-46-26.533000,[R]: 10 
09-46-26.540000,[R]: 10 
09-46-26.547000,[R]: 10 
09-46-26.555000,[R]: 10 
09-46-26.562000,[R]: 10 
09-46-26.569000,[R]: 10 
09-46-26.577000,[R]: 10 
09-46-26.584000,[R]: 10 
09-46-26.591000,[R]: 10 
09-46-26.599000,[R]: 10 
09-46-26.606000,[R]: 10 
09-46-26.613000,[R]: 10 
09-46-26.620000,[R]: 10 
09-46-26.628000,[R]: 10 
09-46-26.635000,[R]: 10 
09-46-26.642000,[R]: 10 
09-46-26.649000,[R]: 10 
09-46-26.657000,[R]: 10 
09-46-26.664000,[R]: 10 
09-46-26.670000,[R]: 10 
09-46-26.677000,[R]: 10 
09-46-26.685000,[R]: 10 
09-46-26.693000,[R]: 10 
09-46-26.699000,[R]: 10 
09-46-26.706000,[R]: 10 
09-46-26.713000,[R]: 10 
09-46-26.721000,[R]: 10 
09-46-26.728000,[R]: 10 
09-46-26.735000,[R]: 10 
09-46-26.742000,[R]: 10 
09-46-26.750000,[R]: 10 
09-46-26.757000,[R]: 10 
09-46-26.764000,[R]: 10 
09-46-26.771000,[R]: 10 
09-46-26.778000,[R]: 10 
09-46-26.786000,[R]: 10 
09-46-26.793000,[R]: 10 
09-46-26.800000,[R]: 10 
09-46-26.807000,[R]: 10 
09-46-26.815000,[R]: 10 
09-46-26.822000,[R]: 10 
09-46-26.829000,[R]: 10 
09-46-26.836000,[R]: 10 
09-46-26.845000,[R]: 10 
09-46-26.851000,[R]: 10 
09-46-26.858000,[R]: 10 
09-46-26.865000,[R]: 10 
09-46-26.873000,[R]: 10 
09-46-26.880000,[R]: 10 
09-46-26.887000,[R]: 10 
09-46-26.895000,[R]: 10 
09-46-26.902000,[R]: 10 
09-46-26.909000,[R]: 10 
09-46-26.916000,[R]: 10 
09-46-26.924000,[R]: 10 
09-46-26.931000,[R]: 10 
09-46-26.938000,[R]: 10 
09-46-26.945000,[R]: 10 
09-46-26.953000,[R]: 10 
09-46-26.960000,[R]: 10 
09-46-26.968000,[R]: 10 
09-46-26.975000,[R]: 10 
09-46-26.982000,[R]: 10 
09-46-26.989000,[R]: 10 
09-46-26.996000,[R]: 10 
09-46-27.003000,[R]: 10 
09-46-27.011000,[R]: 10 
09-46-27.018000,[R]: 10 
09-46-27.025000,[R]: 10 
09-46-27.032000,[R]: 10 
09-46-27.040000,[R]: 10 
09-46-27.046000,[R]: 10 
09-46-27.053000,[R]: 10 
09-46-27.061000,[R]: 10 
09-46-27.068000,[R]: 10 
09-46-27.075000,[R]: 10 
09-46-27.082000,[R]: 10 
09-46-27.089000,[R]: 10 
09-46-27.097000,[R]: 10 
09-46-27.104000,[R]: 10 
09-46-27.111000,[R]: 10 
09-46-27.119000,[R]: 10 
09-46-27.125000,[R]: 10 
09-46-27.133000,[R]: 10 
09-46-27.140000,[R]: 10 
09-46-27.147000,[R]: 10 
09-46-27.155000,[R]: 10 
09-46-27.162000,[R]: 10 
09-46-27.169000,[R]: 10 
09-46-27.176000,[R]: 10 
09-46-27.184000,[R]: 10 
09-46-27.191000,[R]: 10 
09-46-27.198000,[R]: 10 
09-46-27.206000,[R]: 10 
09-46-27.213000,[R]: 10 
09-46-27.220000,[R]: 10 
09-46-27.227000,[R]: 10 
09-46-27.234000,[R]: 10 
09-46-27.242000,[R]: 10 
09-46-27.249000,[R]: 10 
09-46-27.256000,[R]: 10 
09-46-27.263000,[R]: 10 
09-46-27.271000,[R]: 10 
09-46-27.278000,[R]: 10 
09-46-27.286000,[R]: 10 
09-46-27.292000,[R]: 10 
09-46-27.299000,[R]: 10 
09-46-27.307000,[R]: 10 
09-46-27.315000,[R]: 10 
09-46-27.322000,[R]: 10 
09-46-27.329000,[R]: 10 
09-46-27.336000,[R]: 10 
09-46-27.344000,[R]: 10 
09-46-27.351000,[R]: 10 
09-46-27.358000,[R]: 10 
09-46-27.365000,[R]: 10 
09-46-27.374000,[R]: 10 
09-46-27.389000,[R]: 10 
09-46-27.389000,[R]: 10 
09-46-27.394000,[R]: 10 
09-46-27.402000,[R]: 10 
09-46-27.409000,[R]: 10 
09-46-27.416000,[R]: 10 
09-46-27.422000,[R]: 10 
