14-30-08.758000,"ÿ""Scanner enabled\r\n"""
14-30-21.030000,"""type 4, info: sync"""
14-30-21.030000,"""Sensor: 2. RSSI: 68"""
14-30-21.031000,"""Sensor: 1. RSSI: 61"""
14-30-21.031000,"""COUNT 1 1"
14-30-21.032000,[0] 0 0
14-30-21.032000,[1] 0 0
14-30-21.039000,""""
14-30-21.040000,"""type 4, info: sync"""
14-30-21.041000,"""Sensor: 1. RSSI: 60"""
14-30-21.041000,"""Sensor: 2. RSSI: 68"""
14-30-21.042000,"""COUNT 1 1"
14-30-21.042000,[0] 0 0
14-30-21.043000,[1] 0 0
14-30-21.043000,""""
14-30-21.043000,"""type 4, info: sync"""
14-30-21.044000,"""Sensor: 1. RSSI: 60"""
14-30-21.044000,"""COUNT 1 0"
14-30-21.045000,[0] 0 0
14-30-21.045000,[1] 0 0
14-30-21.046000,""""
14-30-21.047000,"""type 4, info: sync"""
14-30-21.047000,"""COUNT 0 0"
14-30-21.047000,[0] 0 0
14-30-21.056000,[1] 0 0
14-30-21.058000,""""
14-30-21.059000,"""type 4, info: sync"""
14-30-21.060000,"""Sensor: 1. RSSI: 61"""
14-30-21.060000,"""Sensor: 2. RSSI: 68"""
14-30-21.061000,"""COUNT 1 1"
14-30-21.062000,[0] 0 0
14-30-21.064000,[1] 0 0
14-30-21.071000,""""
14-30-21.072000,"""type 4, info: sync"""
14-30-21.073000,"""Sensor: 1. RSSI: 60"""
14-30-21.074000,"""Sensor: 2. RSSI: 68"""
14-30-21.074000,"""COUNT 1 1"
14-30-21.075000,[0] 0 0
14-30-21.075000,[1] 0 0
14-30-21.076000,""""
14-30-21.076000,"""type 4, info: sync"""
14-30-21.077000,"""Sensor: 1. RSSI: 60"""
14-30-21.080000,"""COUNT 1 0"
14-30-21.081000,[0] 0 0
14-30-21.081000,[1] 0 0
14-30-21.081000,""""
14-30-21.082000,"""type 4, info: sync"""
14-30-21.082000,"""COUNT 0 0"
14-30-21.083000,[0] 0 0
14-30-21.083000,[1] 0 0
14-30-21.084000,""""
14-30-21.085000,"""type 4, info: sync"""
14-30-21.086000,"""Sensor: 1. RSSI: 60"""
14-30-21.087000,"""Sensor: 2. RSSI: 68"""
14-30-21.087000,"""COUNT 1 1"
14-30-21.092000,[0] 0 0
14-30-21.093000,[1] 0 0
14-30-21.093000,""""
14-30-21.094000,"""type 4, info: sync"""
14-30-21.094000,"""Sensor: 1. RSSI: 60"""
14-30-21.095000,"""Sensor: 2. RSSI: 68"""
14-30-21.095000,"""COUNT 1 1"
14-30-21.097000,[0] 0 0
14-30-21.097000,[1] 0 0
14-30-21.097000,""""
14-30-21.098000,"""type 4, info: sync"""
14-30-21.098000,"""Sensor: 1. RSSI: 60"""
14-30-21.098000,"""COUNT 1 0"
14-30-21.099000,[0] 0 0
14-30-21.099000,[1] 0 0
14-30-21.100000,""""
14-30-21.100000,"""type 4, info: sync"""
14-30-21.104000,"""Sensor: 1. RSSI: 60"""
14-30-21.104000,"""COUNT 1 0"
14-30-21.105000,[0] 0 0
14-30-21.106000,[1] 0 0
14-30-21.106000,""""
14-30-21.107000,"""type 4, info: sync"""
14-30-21.108000,"""Sensor: 2. RSSI: 68"""
14-30-21.108000,"""COUNT 0 1"
14-30-21.109000,[0] 0 0
14-30-21.109000,[1] 0 0
14-30-21.110000,""""
14-30-21.110000,"""type 4, info: sync"""
14-30-21.111000,"""Sensor: 1. RSSI: 60"""
14-30-21.111000,"""COUNT 1 0"
14-30-21.114000,[0] 0 0
14-30-21.114000,[1] 0 0
14-30-21.115000,""""
14-30-21.115000,"""type 4, info: sync"""
14-30-21.116000,"""Sensor: 2. RSSI: 68"""
14-30-21.117000,"""Sensor: 1. RSSI: 60"""
14-30-21.118000,"""COUNT 1 1"
14-30-21.121000,[0] 0 0
14-30-21.122000,[1] 0 0
14-30-21.122000,""""
14-30-21.125000,"""type 4, info: sync"""
14-30-21.126000,"""Sensor: 2. RSSI: 68"""
14-30-21.127000,"""Sensor: 1. RSSI: 60"""
14-30-21.127000,"""COUNT 1 1"
14-30-21.127000,[0] 0 0
14-30-21.128000,[1] 0 0
14-30-21.128000,""""
14-30-21.129000,"""type 4, info: sync"""
14-30-21.133000,"""COUNT 0 0"
14-30-21.133000,[0] 0 0
14-30-21.136000,[1] 0 0
14-30-21.136000,""""
14-30-21.137000,"""type 4, info: sync"""
14-30-21.137000,"""Sensor: 1. RSSI: 60"""
14-30-21.140000,"""Sensor: 2. RSSI: 68"""
14-30-21.142000,"""COUNT 1 1"
14-30-21.143000,[0] 0 0
14-30-21.144000,[1] 0 0
14-30-21.146000,""""
14-30-21.150000,"""type 4, info: sync"""
14-30-21.150000,"""Sensor: 1. RSSI: 60"""
14-30-21.151000,"""COUNT 1 0"
14-30-21.151000,[0] 0 0
14-30-21.152000,[1] 0 0
14-30-21.152000,""""
14-30-21.154000,"""type 4, info: sync"""
14-30-21.154000,"""Sensor: 2. RSSI: 68"""
14-30-21.158000,"""Sensor: 1. RSSI: 60"""
14-30-21.158000,"""COUNT 1 1"
14-30-21.162000,[0] 0 0
14-30-21.162000,[1] 0 0
14-30-21.163000,""""
14-30-21.163000,"""type 4, info: sync"""
14-30-21.164000,"""Sensor: 2. RSSI: 68"""
14-30-21.164000,"""Sensor: 1. RSSI: 60"""
14-30-21.165000,"""COUNT 1 1"
14-30-21.168000,[0] 0 0
14-30-21.168000,[1] 0 0
14-30-21.168000,""""
14-30-21.169000,"""type 4, info: sync"""
14-30-21.173000,"""COUNT 0 0"
14-30-21.174000,[0] 0 0
14-30-21.174000,[1] 0 0
14-30-21.175000,""""
14-30-21.178000,"""type 4, info: sync"""
14-30-21.178000,"""Sensor: 1. RSSI: 60"""
14-30-21.180000,"""Sensor: 2. RSSI: 68"""
14-30-21.183000,"""COUNT 1 1"
14-30-21.183000,[0] 0 0
14-30-21.184000,[1] 0 0
14-30-21.184000,""""
14-30-21.185000,"""type 4, info: sync"""
14-30-21.186000,"""Sensor: 1. RSSI: 60"""
14-30-21.189000,"""COUNT 1 0"
14-30-21.190000,[0] 0 0
14-30-21.195000,[1] 0 0
14-30-21.433000,""""
14-30-21.435000,"""type 4, info: sync"""
14-30-21.436000,"""Sensor: 2. RSSI: 68"""
14-30-21.437000,"""Sensor: 1. RSSI: 61"""
14-30-21.438000,"""COUNT 1 1"
14-30-21.439000,[0] 0 0
14-30-21.440000,[1] 0 0
14-30-21.441000,""""
14-30-21.447000,"""type 4, info: sync"""
14-30-21.448000,"""Sensor: 2. RSSI: 68"""
14-30-21.450000,"""Sensor: 1. RSSI: 61"""
14-30-21.450000,"""COUNT 1 1"
14-30-21.451000,[0] 0 0
14-30-21.451000,[1] 0 0
14-30-21.452000,""""
14-30-21.452000,"""type 4, info: sync"""
14-30-21.459000,"""COUNT 0 0"
14-30-21.460000,[0] 0 0
14-30-21.461000,[1] 0 0
14-30-21.461000,""""
14-30-21.462000,"""type 4, info: sync"""
14-30-21.463000,"""Sensor: 1. RSSI: 61"""
14-30-21.463000,"""Sensor: 2. RSSI: 69"""
14-30-21.464000,"""COUNT 1 1"
14-30-21.466000,[0] 0 0
14-30-21.466000,[1] 0 0
14-30-21.467000,""""
14-30-21.467000,"""type 4, info: sync"""
14-30-21.474000,"""Sensor: 1. RSSI: 61"""
14-30-21.474000,"""COUNT 1 0"
14-30-21.477000,[0] 0 0
14-30-21.477000,[1] 0 0
14-30-21.478000,""""
14-30-21.481000,"""type 4, info: sync"""
14-30-21.481000,"""Sensor: 2. RSSI: 69"""
14-30-21.482000,"""Sensor: 1. RSSI: 60"""
14-30-21.483000,"""COUNT 1 1"
14-30-21.485000,[0] 0 0
14-30-21.485000,[1] 0 0
14-30-21.486000,""""
14-30-21.488000,"""type 4, info: sync"""
14-30-21.491000,"""Sensor: 2. RSSI: 68"""
14-30-21.496000,"""COUNT 0 1"
14-30-21.497000,[0] 0 0
14-30-21.498000,[1] 0 0
14-30-21.498000,""""
14-30-21.499000,"""type 4, info: sync"""
14-30-21.501000,"""Sensor: 1. RSSI: 60"""
14-30-21.505000,"""COUNT 1 0"
14-30-21.506000,[0] 0 0
14-30-21.506000,[1] 0 0
14-30-21.507000,""""
14-30-21.508000,"""type 4, info: sync"""
14-30-21.508000,"""Sensor: 1. RSSI: 60"""
14-30-21.521000,"""COUNT 1 0"
14-30-21.521000,[0] 0 0
14-30-21.522000,[1] 0 0
14-30-21.522000,""""
14-30-21.522000,"""type 4, info: sync"""
14-30-21.523000,"""Sensor: 1. RSSI: 61"""
14-30-21.523000,"""COUNT 1 0"
14-30-21.527000,[0] 0 0
14-30-21.528000,[1] 0 0
14-30-21.529000,""""
14-30-21.548000,"""type 4, info: sync"""
14-30-21.550000,"""Sensor: 1. RSSI: 61"""
14-30-21.550000,"""Sensor: 2. RSSI: 69"""
14-30-21.551000,"""COUNT 1 1"
14-30-21.552000,[0] 0 51
14-30-21.558000,[1] 0 0
14-30-21.559000,""""
14-30-21.560000,"""type 4, info: sync"""
14-30-21.562000,"""COUNT 0 0"
14-30-21.562000,[0] 0 0
14-30-21.563000,[1] 0 0
14-30-21.563000,""""
14-30-21.564000,"""type 4, info: sync"""
14-30-21.564000,"""Sensor: 1. RSSI: 61"""
14-30-21.565000,"""COUNT 1 0"
14-30-21.565000,[0] 0 0
14-30-21.566000,[1] 0 0
14-30-21.567000,""""
14-30-21.567000,"""type 4, info: sync"""
14-30-21.568000,"""Sensor: 1. RSSI: 61"""
14-30-21.579000,"""COUNT 1 0"
14-30-21.582000,[0] 0 0
14-30-21.583000,[1] 0 0
14-30-21.583000,""""
14-30-21.584000,"""type 4, info: sync"""
14-30-21.585000,"""Sensor: 1. RSSI: 61"""
14-30-21.585000,"""COUNT 1 0"
14-30-21.586000,[0] 0 0
14-30-21.587000,[1] 0 0
14-30-21.590000,""""
14-30-21.591000,"""type 4, info: sync"""
14-30-21.591000,"""Sensor: 1. RSSI: 60"""
14-30-21.592000,"""Sensor: 2. RSSI: 69"""
14-30-21.592000,"""COUNT 1 1"
14-30-21.593000,[0] 0 51
14-30-21.596000,[1] 51 0
14-30-21.597000,""""
14-30-21.597000,"""type 4, info: sync"""
14-30-21.608000,"""Sensor: 1. RSSI: 61"""
14-30-21.609000,"""COUNT 1 0"
14-30-21.609000,[0] 0 0
14-30-21.610000,[1] 0 0
14-30-21.610000,""""
14-30-21.610000,"""type 4, info: sync"""
14-30-21.611000,"""Sensor: 2. RSSI: 69"""
14-30-21.612000,"""COUNT 0 1"
14-30-21.612000,[0] 0 0
14-30-21.613000,[1] 0 0
14-30-21.613000,""""
14-30-21.613000,"""type 4, info: sync"""
14-30-21.614000,"""Sensor: 1. RSSI: 61"""
14-30-21.615000,"""Sensor: 2. RSSI: 69"""
14-30-21.615000,"""COUNT 1 1"
14-30-21.621000,[0] 0 0
14-30-21.622000,[1] 51 0
14-30-21.623000,""""
14-30-21.623000,"""type 4, info: sync"""
14-30-21.624000,"""Sensor: 1. RSSI: 61"""
14-30-21.625000,"""COUNT 1 0"
14-30-21.625000,[0] 0 51
14-30-21.628000,[1] 0 0
14-30-21.629000,""""
14-30-21.630000,"""type 4, info: sync"""
14-30-21.632000,"""Sensor: 1. RSSI: 61"""
14-30-21.633000,"""Sensor: 2. RSSI: 69"""
14-30-21.633000,"""COUNT 1 1"
14-30-21.634000,[0] 0 51
14-30-21.634000,[1] 0 0
14-30-21.635000,""""
14-30-21.635000,"""type 4, info: sync"""
14-30-21.635000,"""Sensor: 1. RSSI: 61"""
14-30-21.636000,"""COUNT 1 0"
14-30-21.636000,[0] 0 0
14-30-21.637000,[1] 0 0
14-30-21.639000,""""
14-30-21.640000,"""type 4, info: sync"""
14-30-21.642000,"""Sensor: 2. RSSI: 69"""
14-30-21.643000,"""Sensor: 1. RSSI: 61"""
14-30-21.643000,"""COUNT 1 1"
14-30-21.644000,[0] 0 0
14-30-21.644000,[1] 51 0
14-30-21.645000,""""
14-30-21.646000,"""type 4, info: sync"""
14-30-21.646000,"""Sensor: 2. RSSI: 69"""
14-30-21.650000,"""COUNT 0 1"
14-30-21.654000,[0] 0 0
14-30-21.654000,[1] 51 0
14-30-21.655000,""""
14-30-21.656000,"""type 4, info: sync"""
14-30-21.656000,"""Sensor: 1. RSSI: 61"""
14-30-21.657000,"""COUNT 1 0"
14-30-21.657000,[0] 0 0
14-30-21.658000,[1] 0 0
14-30-21.658000,""""
14-30-21.664000,"""type 4, info: sync"""
14-30-21.664000,"""Sensor: 1. RSSI: 61"""
14-30-21.665000,"""COUNT 1 0"
14-30-21.665000,[0] 0 0
14-30-21.666000,[1] 0 0
14-30-21.667000,""""
14-30-21.667000,"""type 4, info: sync"""
14-30-21.669000,"""Sensor: 1. RSSI: 61"""
14-30-21.670000,"""COUNT 1 0"
14-30-21.670000,[0] 0 0
14-30-21.671000,[1] 0 0
14-30-21.671000,""""
14-30-21.671000,"""type 4, info: sync"""
14-30-21.677000,"""Sensor: 1. RSSI: 61"""
14-30-21.677000,"""COUNT 1 0"
14-30-21.678000,[0] 0 0
14-30-21.679000,[1] 0 0
14-30-21.679000,""""
14-30-21.680000,"""type 4, info: sync"""
14-30-21.680000,"""Sensor: 2. RSSI: 69"""
14-30-21.681000,"""COUNT 0 1"
14-30-21.681000,[0] 0 52
14-30-21.682000,[1] 0 0
14-30-21.682000,""""
14-30-21.683000,"""type 4, info: sync"""
14-30-21.683000,"""Sensor: 1. RSSI: 61"""
14-30-21.684000,"""Sensor: 2. RSSI: 69"""
14-30-21.684000,"""COUNT 1 1"
14-30-21.692000,[0] 0 0
14-30-21.693000,[1] 0 0
14-30-21.693000,""""
14-30-21.694000,"""type 4, info: sync"""
14-30-21.694000,"""Sensor: 1. RSSI: 61"""
14-30-21.698000,"""COUNT 1 0"
14-30-21.699000,[0] 0 51
14-30-21.700000,[1] 0 0
14-30-21.700000,""""
14-30-21.702000,"""type 4, info: sync"""
14-30-21.703000,"""Sensor: 1. RSSI: 61"""
14-30-21.704000,"""Sensor: 2. RSSI: 69"""
14-30-21.704000,"""COUNT 1 1"
14-30-21.705000,[0] 0 52
14-30-21.706000,[1] 51 0
14-30-21.707000,""""
14-30-21.710000,"""type 4, info: sync"""
14-30-21.712000,"""Sensor: 1. RSSI: 61"""
14-30-21.713000,"""COUNT 1 0"
14-30-21.714000,[0] 0 0
14-30-21.714000,[1] 0 0
14-30-21.715000,""""
14-30-21.715000,"""type 4, info: sync"""
14-30-21.716000,"""Sensor: 2. RSSI: 69"""
14-30-21.716000,"""COUNT 0 1"
14-30-21.717000,[0] 0 0
14-30-21.717000,[1] 0 0
14-30-21.718000,""""
14-30-21.720000,"""type 4, info: sync"""
14-30-21.720000,"""Sensor: 1. RSSI: 61"""
14-30-21.725000,"""Sensor: 2. RSSI: 69"""
14-30-21.725000,"""COUNT 1 1"
14-30-21.726000,[0] 0 0
14-30-21.726000,[1] 51 0
14-30-21.727000,""""
14-30-21.727000,"""type 4, info: sync"""
14-30-21.728000,"""Sensor: 1. RSSI: 61"""
14-30-21.729000,"""COUNT 1 0"
14-30-21.729000,[0] 0 0
14-30-21.730000,[1] 0 0
14-30-21.730000,""""
14-30-21.731000,"""type 4, info: sync"""
14-30-21.731000,"""Sensor: 1. RSSI: 60"""
14-30-21.732000,"""Sensor: 2. RSSI: 69"""
14-30-21.732000,"""COUNT 1 1"
14-30-21.735000,[0] 0 52
14-30-21.736000,[1] 51 0
14-30-21.737000,""""
14-30-21.737000,"""type 4, info: sync"""
14-30-21.738000,"""Sensor: 1. RSSI: 61"""
14-30-21.739000,"""COUNT 1 0"
14-30-21.740000,[0] 0 0
14-30-21.740000,[1] 0 0
14-30-21.741000,""""
14-30-21.741000,"""type 4, info: sync"""
14-30-21.742000,"""Sensor: 2. RSSI: 69"""
14-30-21.742000,"""COUNT 0 1"
14-30-21.748000,[0] 0 0
14-30-21.748000,[1] 0 0
14-30-21.748000,""""
14-30-21.750000,"""type 4, info: sync"""
14-30-21.751000,"""Sensor: 1. RSSI: 61"""
14-30-21.752000,"""Sensor: 2. RSSI: 69"""
14-30-21.752000,"""COUNT 1 1"
14-30-21.758000,[0] 0 0
14-30-21.760000,[1] 51 0
14-30-21.760000,""""
14-30-21.761000,"""type 4, info: sync"""
14-30-21.761000,"""Sensor: 1. RSSI: 61"""
14-30-21.762000,"""COUNT 1 0"
14-30-21.762000,[0] 0 52
14-30-21.763000,[1] 0 0
14-30-21.763000,""""
14-30-21.764000,"""type 4, info: sync"""
14-30-21.764000,"""Sensor: 1. RSSI: 61"""
14-30-21.765000,"""COUNT 1 0"
