23-20-32.031000,[R]: 4 
23-20-32.031000,[R]: 5 
23-20-32.037000,[R]: 6 
23-20-32.038000,[R]: 7 
23-20-32.042000,[R]: 8 
23-20-32.046000,[R]: 1 
23-20-32.047000,S 1 	RSSI: 46
23-20-32.049000,[R]: 2 
23-20-32.050000,[R]: 50 
23-20-32.053000,[R]: 3 
23-20-32.058000,[R]: 4 
23-20-32.061000,[R]: 5 
23-20-32.066000,[R]: 6 
23-20-32.070000,[R]: 7 
23-20-32.073000,[R]: 8 
23-20-32.078000,[R]: 1 
23-20-32.080000,S 1 	RSSI: 46
23-20-32.083000,[R]: 2 
23-20-32.083000,[R]: 50 
23-20-32.086000,[R]: 3 
23-20-32.090000,[R]: 4 
23-20-32.094000,[R]: 5 
23-20-32.099000,[R]: 6 
23-20-32.103000,[R]: 7 
23-20-32.107000,[R]: 8 
23-20-32.111000,[R]: 1 
23-20-32.116000,[R]: 2 
23-20-32.118000,[R]: 50 
23-20-32.120000,[R]: 3 
23-20-32.123000,[R]: 4 
23-20-32.128000,[R]: 5 
23-20-32.131000,[R]: 6 
23-20-32.135000,[R]: 7 
23-20-32.139000,[R]: 8 
23-20-32.144000,[R]: 1 
23-20-32.148000,[R]: 2 
23-20-32.149000,[R]: 50 
23-20-32.154000,[R]: 3 
23-20-32.156000,[R]: 4 
23-20-32.160000,[R]: 5 
23-20-32.164000,[R]: 6 
23-20-32.168000,[R]: 7 
23-20-32.173000,[R]: 8 
23-20-32.177000,[R]: 1 
23-20-32.177000,[R]: 20 
23-20-32.180000,[R]: 1 
23-20-32.185000,[R]: 2 
23-20-32.186000,[R]: 50 
23-20-32.189000,[R]: 3 
23-20-32.193000,[R]: 4 
23-20-32.197000,[R]: 5 
23-20-32.201000,[R]: 6 
23-20-32.205000,[R]: 7 
23-20-32.209000,[R]: 8 
23-20-32.213000,[R]: 1 
23-20-32.218000,[R]: 2 
23-20-32.222000,[R]: 50 
23-20-32.222000,[R]: 3 
23-20-32.226000,[R]: 4 
23-20-32.230000,[R]: 5 
23-20-32.234000,[R]: 6 
23-20-32.238000,[R]: 7 
23-20-32.242000,[R]: 8 
23-20-32.246000,[R]: 1 
23-20-32.251000,[R]: 2 
23-20-32.255000,[R]: 50 
23-20-32.256000,[R]: 3 
23-20-32.258000,[R]: 4 
23-20-32.262000,[R]: 5 
23-20-32.266000,[R]: 6 
23-20-32.271000,[R]: 7 
23-20-32.275000,[R]: 8 
23-20-32.279000,[R]: 1 
23-20-32.281000,S 6 	RSSI: 44
23-20-32.285000,[R]: 2 
23-20-32.286000,[R]: 50 
23-20-32.287000,[R]: 3 
23-20-32.291000,[R]: 4 
23-20-32.295000,[R]: 5 
23-20-32.298000,[R]: 20 
23-20-32.300000,[R]: 1 
23-20-32.305000,[R]: 2 
23-20-32.309000,[R]: 50 
