21-21-06.158000,----------------
21-22-12.147000,[R]: 50 
21-22-12.148000,S 1 	RSSI: 48
21-22-12.149000,[R]: 0 
21-22-12.151000,S 1 	RSSI: 48
21-22-12.154000,[R]: 50 
21-22-12.163000,S 4 	RSSI: 51
21-22-12.172000,S 1 	RSSI: 48
21-22-12.173000,[R]: 0 
21-22-12.176000,S 1 	RSSI: 48
21-22-12.179000,[R]: 50 
21-22-12.188000,S 4 	RSSI: 51
21-22-12.196000,S 1 	RSSI: 48
21-22-12.199000,[R]: 50 
21-22-12.212000,S 4 	RSSI: 51
21-22-12.221000,[R]: 50 
21-22-12.223000,S 1 	RSSI: 47
21-22-12.225000,S 1 	RSSI: 48
21-22-12.232000,S 4 	RSSI: 51
21-22-12.240000,[R]: 50 
21-22-12.246000,S 1 	RSSI: 48
21-22-12.261000,[R]: 50 
21-22-12.266000,S 1 	RSSI: 47
21-22-12.281000,[R]: 50 
21-22-12.287000,S 1 	RSSI: 48
21-22-12.302000,[R]: 50 
21-22-12.308000,S 1 	RSSI: 47
21-22-12.323000,[R]: 50 
21-22-12.343000,[R]: 50 
21-22-12.347000,S 1 	RSSI: 48
21-22-12.363000,[R]: 50 
21-22-12.367000,S 1 	RSSI: 47
21-22-12.371000,[R]: 0 
21-22-12.377000,S 1 	RSSI: 47
21-22-12.380000,[R]: 50 
21-22-12.397000,S 1 	RSSI: 48
21-22-12.397000,[R]: 0 
21-22-12.401000,S 1 	RSSI: 47
21-22-12.404000,[R]: 50 
21-22-12.422000,S 1 	RSSI: 48
21-22-12.425000,[R]: 50 
21-22-12.442000,S 1 	RSSI: 47
21-22-12.445000,[R]: 50 
21-22-12.447000,[R]: 0 
21-22-12.453000,[R]: 50 
21-22-12.474000,[R]: 50 
21-22-12.494000,[R]: 50 
21-22-12.508000,S 1 	RSSI: 47
21-22-12.515000,[R]: 50 
21-22-12.528000,S 1 	RSSI: 47
21-22-12.535000,[R]: 50 
21-22-12.556000,[R]: 50 
21-22-12.576000,[R]: 50 
21-22-12.597000,[R]: 50 
21-22-12.618000,[R]: 50 
21-22-12.621000,[R]: 0 
21-22-12.626000,S 1 	RSSI: 48
21-22-12.628000,S 5 	RSSI: 51
21-22-12.631000,[R]: 50 
21-22-12.645000,S 3 	RSSI: 44
21-22-12.651000,[R]: 50 
21-22-12.665000,S 3 	RSSI: 44
21-22-12.669000,S 5 	RSSI: 48
21-22-12.672000,[R]: 50 
21-22-12.686000,S 3 	RSSI: 44
21-22-12.689000,S 5 	RSSI: 46
21-22-12.693000,[R]: 50 
21-22-12.696000,[R]: 0 
21-22-12.708000,[R]: 50 
21-22-12.708000,S 3 	RSSI: 44
21-22-12.718000,S 5 	RSSI: 46
21-22-12.721000,[R]: 0 
21-22-12.729000,[R]: 50 
21-22-12.734000,S 3 	RSSI: 44
21-22-12.741000,S 5 	RSSI: 46
21-22-12.746000,[R]: 0 
21-22-12.754000,[R]: 50 
21-22-12.759000,S 3 	RSSI: 44
21-22-12.771000,[R]: 0 
21-22-12.778000,[R]: 50 
21-22-12.780000,S 4 	RSSI: 50
21-22-12.797000,[R]: 0 
21-22-12.804000,[R]: 50 
21-22-12.813000,S 4 	RSSI: 51
21-22-12.822000,[R]: 0 
21-22-12.828000,[R]: 50 
21-22-12.838000,S 4 	RSSI: 51
21-22-12.850000,[R]: 50 
21-22-12.851000,S 1 	RSSI: 47
21-22-12.863000,S 4 	RSSI: 51
21-22-12.871000,[R]: 50 
21-22-12.871000,S 1 	RSSI: 47
21-22-12.875000,S 1 	RSSI: 47
21-22-12.883000,S 4 	RSSI: 52
21-22-12.890000,[R]: 50 
21-22-12.895000,S 1 	RSSI: 47
21-22-12.903000,S 4 	RSSI: 51
21-22-12.911000,[R]: 50 
21-22-12.916000,S 1 	RSSI: 47
21-22-12.924000,S 4 	RSSI: 51
21-22-12.931000,[R]: 50 
21-22-12.937000,S 1 	RSSI: 47
21-22-12.944000,S 4 	RSSI: 50
21-22-12.952000,[R]: 50 
21-22-12.957000,S 1 	RSSI: 48
21-22-12.972000,[R]: 50 
21-22-12.978000,S 1 	RSSI: 47
21-22-12.993000,[R]: 50 
21-22-12.998000,S 1 	RSSI: 47
21-22-13.013000,[R]: 50 
21-22-13.021000,[R]: 0 
21-22-13.030000,[R]: 50 
21-22-13.051000,[R]: 50 
21-22-13.063000,S 1 	RSSI: 48
21-22-13.071000,[R]: 50 
21-22-13.072000,[R]: 0 
21-22-13.076000,S 1 	RSSI: 48
21-22-13.079000,[R]: 50 
21-22-13.096000,S 1 	RSSI: 48
21-22-13.097000,[R]: 0 
21-22-13.100000,S 1 	RSSI: 48
21-22-13.103000,[R]: 50 
21-22-13.120000,S 1 	RSSI: 48
21-22-13.123000,[R]: 50 
21-22-13.144000,[R]: 50 
21-22-13.165000,[R]: 50 
21-22-13.185000,[R]: 50 
21-22-13.206000,[R]: 50 
21-22-13.226000,[R]: 50 
21-22-13.247000,[R]: 50 
21-22-13.268000,[R]: 50 
21-22-13.271000,[R]: 0 
21-22-13.276000,S 1 	RSSI: 47
21-22-13.279000,[R]: 50 
21-22-13.297000,S 1 	RSSI: 47
21-22-13.298000,[R]: 0 
21-22-13.301000,S 1 	RSSI: 47
21-22-13.304000,[R]: 50 
21-22-13.322000,S 1 	RSSI: 47
21-22-13.323000,[R]: 0 
21-22-13.326000,S 1 	RSSI: 47
21-22-13.329000,[R]: 50 
21-22-13.348000,[R]: 0 
21-22-13.354000,[R]: 50 
21-22-13.360000,S 5 	RSSI: 51
21-22-13.372000,[R]: 0 
21-22-13.379000,[R]: 50 
21-22-13.393000,S 5 	RSSI: 50
21-22-13.397000,[R]: 0 
21-22-13.404000,[R]: 50 
21-22-13.417000,S 5 	RSSI: 48
21-22-13.424000,[R]: 50 
21-22-13.442000,S 5 	RSSI: 48
21-22-13.445000,[R]: 50 
21-22-13.462000,S 5 	RSSI: 47
21-22-13.465000,[R]: 50 
21-22-13.482000,S 5 	RSSI: 47
21-22-13.485000,[R]: 50 
21-22-13.502000,S 5 	RSSI: 47
21-22-13.505000,[R]: 50 
21-22-13.524000,S 5 	RSSI: 47
21-22-13.530000,[R]: 50 
21-22-13.544000,S 5 	RSSI: 47
21-22-13.551000,[R]: 50 
21-22-13.565000,S 5 	RSSI: 48
21-22-13.567000,[R]: 50 
21-22-13.571000,[R]: 0 
21-22-13.576000,S 1 	RSSI: 48
21-22-13.580000,[R]: 50 
21-22-13.585000,S 5 	RSSI: 48
21-22-13.596000,[R]: 0 
21-22-13.609000,[R]: 50 
21-22-13.620000,S 5 	RSSI: 48
21-22-13.624000,[R]: 0 
21-22-13.629000,[R]: 50 
21-22-13.642000,S 5 	RSSI: 48
21-22-13.646000,[R]: 0 
21-22-13.651000,S 3 	RSSI: 44
21-22-13.654000,[R]: 50 
21-22-13.660000,S 1 	RSSI: 48
21-22-13.672000,S 3 	RSSI: 44
21-22-13.675000,[R]: 50 
21-22-13.681000,S 4 	RSSI: 60
21-22-13.693000,S 3 	RSSI: 44
21-22-13.696000,[R]: 50 
21-22-13.697000,[R]: 0 
21-22-13.701000,S 1 	RSSI: 48
21-22-13.705000,[R]: 50 
21-22-13.709000,S 3 	RSSI: 44
21-22-13.713000,S 4 	RSSI: 60
21-22-13.722000,S 1 	RSSI: 49
21-22-13.725000,[R]: 50 
21-22-13.743000,S 1 	RSSI: 48
21-22-13.745000,[R]: 50 
21-22-13.747000,[R]: 0 
21-22-13.751000,S 1 	RSSI: 48
21-22-13.754000,[R]: 50 
21-22-13.772000,S 1 	RSSI: 48
21-22-13.775000,[R]: 50 
21-22-13.776000,S 1 	RSSI: 48
21-22-13.795000,[R]: 50 
21-22-13.815000,[R]: 50 
21-22-13.820000,S 1 	RSSI: 48
21-22-13.836000,[R]: 50 
21-22-13.841000,S 1 	RSSI: 48
21-22-13.855000,[R]: 50 
21-22-13.861000,S 1 	RSSI: 47
21-22-13.876000,[R]: 50 
21-22-13.881000,S 1 	RSSI: 48
21-22-13.897000,[R]: 50 
21-22-13.902000,S 1 	RSSI: 48
21-22-13.917000,[R]: 50 
21-22-13.921000,[R]: 0 
21-22-13.930000,[R]: 50 
21-22-13.946000,[R]: 0 
21-22-13.954000,[R]: 50 
21-22-13.972000,S 1 	RSSI: 48
21-22-13.972000,[R]: 0 
21-22-13.976000,S 1 	RSSI: 48
21-22-13.979000,[R]: 50 
21-22-13.996000,S 1 	RSSI: 48
21-22-13.999000,[R]: 50 
21-22-14.017000,S 1 	RSSI: 48
21-22-14.020000,[R]: 50 
21-22-14.025000,S 1 	RSSI: 48
21-22-14.040000,[R]: 50 
21-22-14.061000,[R]: 50 
21-22-14.069000,S 1 	RSSI: 48
21-22-14.081000,[R]: 50 
21-22-14.090000,S 1 	RSSI: 49
21-22-14.102000,[R]: 50 
21-22-14.111000,S 1 	RSSI: 49
21-22-14.122000,[R]: 50 
21-22-14.131000,S 1 	RSSI: 49
21-22-14.143000,[R]: 50 
21-22-14.163000,[R]: 50 
21-22-14.171000,[R]: 0 
21-22-14.176000,S 1 	RSSI: 48
21-22-14.180000,[R]: 50 
21-22-14.197000,S 1 	RSSI: 48
21-22-14.198000,[R]: 0 
21-22-14.201000,S 1 	RSSI: 48
21-22-14.207000,[R]: 50 
21-22-14.221000,[R]: 0 
21-22-14.229000,[R]: 50 
21-22-14.246000,[R]: 0 
21-22-14.253000,[R]: 50 
21-22-14.259000,S 5 	RSSI: 46
21-22-14.268000,S 1 	RSSI: 49
21-22-14.272000,[R]: 0 
21-22-14.279000,[R]: 50 
