21-48-16.513000,[R]: 2 
21-48-16.514000,S 2 	RSSI: 44
21-48-16.515000,[R]: 1 
21-48-16.533000,[R]: 50 
21-48-16.534000,[R]: 2 
21-48-16.534000,[R]: 1 
21-48-16.558000,[R]: 50 
21-48-16.564000,[R]: 2 
21-48-16.565000,S 2 	RSSI: 44
21-48-16.565000,[R]: 1 
21-48-16.566000,[R]: 50 
21-48-16.566000,[R]: 2 
21-48-16.567000,S 2 	RSSI: 44
21-48-16.582000,[R]: 1 
21-48-16.582000,[R]: 50 
21-48-16.587000,[R]: 2 
21-48-16.589000,S 2 	RSSI: 44
21-48-16.590000,[R]: 1 
21-48-16.590000,[R]: 50 
21-48-16.591000,[R]: 2 
21-48-16.605000,S 2 	RSSI: 44
21-48-16.606000,[R]: 20 
21-48-16.608000,[R]: 1 
21-48-16.608000,[R]: 50 
21-48-16.609000,[R]: 2 
21-48-16.610000,S 2 	RSSI: 44
21-48-16.610000,[R]: 1 
21-48-16.623000,[R]: 50 
21-48-16.624000,[R]: 2 
21-48-16.634000,S 2 	RSSI: 44
21-48-16.649000,[R]: 1 
21-48-16.650000,[R]: 50 
21-48-16.668000,[R]: 2 
21-48-16.668000,[R]: 1 
21-48-16.672000,[R]: 50 
21-48-16.673000,[R]: 2 
21-48-16.694000,S 2 	RSSI: 44
21-48-16.708000,[R]: 1 
21-48-16.719000,[R]: 50 
21-48-16.736000,[R]: 2 
21-48-16.736000,[R]: 1 
21-48-16.752000,[R]: 50 
21-48-16.752000,[R]: 2 
21-48-16.755000,S 2 	RSSI: 44
21-48-16.756000,[R]: 20 
21-48-16.756000,[R]: 1 
21-48-16.757000,[R]: 50 
21-48-16.757000,[R]: 2 
21-48-16.758000,S 2 	RSSI: 44
21-48-16.759000,[R]: 1 
21-48-16.767000,[R]: 50 
21-48-16.778000,[R]: 2 
21-48-16.790000,S 2 	RSSI: 44
21-48-16.809000,[R]: 1 
21-48-16.814000,[R]: 50 
21-48-16.814000,[R]: 2 
21-48-16.815000,S 2 	RSSI: 44
21-48-16.815000,[R]: 1 
21-48-16.816000,[R]: 50 
21-48-16.816000,[R]: 2 
21-48-16.817000,S 2 	RSSI: 44
21-48-16.817000,[R]: 1 
21-48-16.818000,[R]: 50 
21-48-16.818000,[R]: 2 
21-48-16.819000,[R]: 1 
21-48-16.832000,[R]: 50 
21-48-16.833000,[R]: 2 
21-48-16.834000,S 2 	RSSI: 44
21-48-16.834000,[R]: 20 
21-48-16.844000,[R]: 1 
21-48-16.857000,[R]: 50 
21-48-16.858000,[R]: 2 
21-48-16.866000,S 2 	RSSI: 44
21-48-16.866000,[R]: 1 
21-48-16.867000,[R]: 50 
21-48-16.867000,[R]: 2 
21-48-16.868000,S 2 	RSSI: 44
21-48-16.869000,[R]: 1 
21-48-16.877000,[R]: 50 
21-48-16.880000,[R]: 2 
21-48-16.906000,[R]: 1 
21-48-16.908000,[R]: 50 
