20-47-44.849000,"ÿ""Scanner enabled\r\n"""
20-48-38.907000,""""
20-48-38.908000,"""Sensor: 5. RSSI: 55"""
20-48-38.908000,"""Sensor: 2. RSSI: 62"""
20-48-38.910000,"""Sensor: 1. RSSI: 58"""
20-48-38.914000,"""Sensor: 4. RSSI: 57"""
20-48-38.917000,"""Sensor: 5. RSSI: 55"""
20-48-38.925000,"""COUNT 1 1 0 1 2"
20-48-38.926000,[0] 0 0 0 0 0
20-48-38.926000,[1] 0 0 0 0 0
20-48-38.927000,[2] 0 0 0 0 0
20-48-38.928000,[3] 51 0 52 0 0
20-48-38.928000,""""
20-48-38.930000,"""Sensor: 2. RSSI: 62"""
20-48-38.931000,"""Sensor: 1. RSSI: 58"""
20-48-38.934000,"""Sensor: 4. RSSI: 57"""
20-48-38.938000,"""Sensor: 5. RSSI: 55"""
20-48-38.949000,"""COUNT 1 1 0 1 1"
20-48-38.950000,[0] 0 0 0 0 0
20-48-38.952000,[1] 0 0 0 0 0
20-48-38.953000,[2] 0 0 0 0 0
20-48-38.954000,[3] 51 0 53 0 0
20-48-38.954000,""""
20-48-38.955000,"""Sensor: 1. RSSI: 57"""
20-48-38.956000,"""Sensor: 2. RSSI: 62"""
20-48-38.966000,"""Sensor: 4. RSSI: 57"""
20-48-38.967000,"""Sensor: 5. RSSI: 55"""
20-48-38.975000,"""COUNT 1 1 0 1 1"
20-48-38.977000,[0] 0 0 0 0 0
20-48-38.978000,[1] 0 0 0 0 0
20-48-38.978000,[2] 0 0 0 0 0
20-48-38.979000,[3] 50 0 52 0 0
20-48-38.979000,""""
20-48-38.980000,"""Sensor: 3. RSSI: 67"""
20-48-38.987000,"""Sensor: 4. RSSI: 57"""
20-48-38.991000,"""Sensor: 5. RSSI: 55"""
20-48-38.995000,"""Sensor: 2. RSSI: 62"""
20-48-38.999000,"""COUNT 0 1 1 1 1"
20-48-39.000000,[0] 0 0 0 0 0
20-48-39.001000,[1] 0 0 0 0 0
20-48-39.002000,[2] 0 0 0 0 0
20-48-39.003000,[3] 0 0 52 0 0
20-48-39.004000,""""
20-48-39.008000,"""Sensor: 4. RSSI: 57"""
20-48-39.012000,"""Sensor: 5. RSSI: 55"""
20-48-39.014000,"""Sensor: 2. RSSI: 62"""
20-48-39.025000,"""COUNT 0 1 0 1 1"
20-48-39.026000,[0] 0 0 0 0 0
20-48-39.027000,[1] 0 0 0 0 0
20-48-39.028000,[2] 0 0 0 0 0
20-48-39.028000,[3] 51 0 52 0 0
20-48-39.029000,""""
20-48-39.029000,"""Sensor: 1. RSSI: 58"""
20-48-39.033000,"""Sensor: 3. RSSI: 67"""
20-48-39.035000,"""Sensor: 2. RSSI: 62"""
20-48-39.039000,"""Sensor: 4. RSSI: 57"""
20-48-39.041000,"""Sensor: 5. RSSI: 55"""
20-48-39.050000,"""COUNT 1 1 1 1 1"
20-48-39.051000,[0] 0 0 0 0 0
20-48-39.052000,[1] 0 0 0 0 0
20-48-39.054000,[2] 52 0 0 0 0
20-48-39.054000,[3] 51 0 52 0 0
20-48-39.055000,""""
20-48-39.059000,"""Sensor: 1. RSSI: 58"""
20-48-39.061000,"""Sensor: 2. RSSI: 62"""
20-48-39.062000,"""Sensor: 4. RSSI: 57"""
20-48-39.067000,"""Sensor: 3. RSSI: 67"""
20-48-39.067000,"""Sensor: 5. RSSI: 55"""
20-48-39.071000,"""Sensor: 1. RSSI: 58"""
20-48-39.076000,"""COUNT 2 1 1 1 1"
20-48-39.080000,[0] 0 0 0 0 0
20-48-39.085000,[1] 0 0 0 0 0
20-48-39.085000,[2] 53 0 0 0 0
20-48-39.087000,[3] 51 0 0 0 0
20-48-39.089000,""""
20-48-39.090000,"""Sensor: 1. RSSI: 58"""
20-48-39.090000,"""Sensor: 2. RSSI: 62"""
20-48-39.091000,"""Sensor: 4. RSSI: 57"""
20-48-39.091000,"""Sensor: 3. RSSI: 67"""
20-48-39.092000,"""Sensor: 5. RSSI: 55"""
20-48-39.096000,"""Sensor: 1. RSSI: 58"""
20-48-39.100000,"""COUNT 2 1 1 1 1"
20-48-39.102000,[0] 0 0 0 0 0
20-48-39.102000,[1] 0 0 0 0 0
20-48-39.103000,[2] 52 0 0 0 0
20-48-39.104000,[3] 51 0 52 0 0
20-48-39.104000,""""
20-48-39.105000,"""Sensor: 4. RSSI: 57"""
20-48-39.108000,"""Sensor: 3. RSSI: 67"""
20-48-39.109000,"""Sensor: 5. RSSI: 55"""
20-48-39.118000,"""Sensor: 4. RSSI: 57"""
20-48-39.120000,"""Sensor: 3. RSSI: 67"""
20-48-39.124000,"""COUNT 0 0 2 2 1"
20-48-39.125000,[0] 0 0 0 0 0
20-48-39.126000,[1] 0 0 0 0 0
20-48-39.128000,[2] 0 0 0 0 0
20-48-39.129000,[3] 0 0 52 0 0
20-48-39.129000,""""
20-48-39.129000,"""Sensor: 5. RSSI: 55"""
20-48-39.130000,"""Sensor: 2. RSSI: 62"""
20-48-39.140000,"""Sensor: 3. RSSI: 67"""
20-48-39.142000,"""Sensor: 5. RSSI: 55"""
20-48-39.148000,"""COUNT 0 1 1 0 2"
20-48-39.149000,[0] 0 0 0 0 0
20-48-39.150000,[1] 0 0 0 0 0
20-48-39.151000,[2] 0 0 0 0 0
20-48-39.152000,[3] 0 0 0 0 0
20-48-39.152000,""""
20-48-39.153000,"""Sensor: 2. RSSI: 62"""
20-48-39.159000,"""Sensor: 4. RSSI: 57"""
20-48-39.163000,"""Sensor: 5. RSSI: 55"""
20-48-39.174000,"""COUNT 0 1 0 1 1"
20-48-39.177000,[0] 0 0 0 0 0
20-48-39.177000,[1] 0 0 0 0 0
20-48-39.178000,[2] 0 0 0 0 0
20-48-39.178000,[3] 0 0 51 0 0
20-48-39.178000,""""
20-48-39.179000,"""Sensor: 2. RSSI: 62"""
20-48-39.187000,"""Sensor: 4. RSSI: 57"""
20-48-39.192000,"""Sensor: 5. RSSI: 55"""
20-48-39.199000,"""COUNT 0 1 0 1 1"
20-48-39.199000,[0] 0 0 0 0 0
20-48-39.200000,[1] 0 0 0 0 0
20-48-39.201000,[2] 0 0 0 0 0
20-48-39.202000,[3] 0 0 0 0 0
20-48-39.202000,""""
20-48-39.203000,"""Sensor: 2. RSSI: 62"""
20-48-39.208000,"""Sensor: 4. RSSI: 57"""
20-48-39.212000,"""Sensor: 5. RSSI: 55"""
20-48-39.220000,"""Sensor: 2. RSSI: 62"""
20-48-39.225000,"""COUNT 0 2 0 1 1"
20-48-39.226000,[0] 0 0 0 0 0
20-48-39.227000,[1] 0 0 0 44 44
20-48-39.228000,[2] 0 0 0 0 0
20-48-39.229000,[3] 0 0 51 0 0
20-48-39.229000,""""
20-48-39.230000,"""Sensor: 4. RSSI: 57"""
20-48-39.233000,"""Sensor: 5. RSSI: 55"""
20-48-39.240000,"""Sensor: 2. RSSI: 62"""
20-48-39.242000,"""Sensor: 3. RSSI: 68"""
20-48-39.243000,"""Sensor: 1. RSSI: 58"""
20-48-39.250000,"""COUNT 1 1 1 1 1"
20-48-39.251000,[0] 0 0 0 0 0
20-48-39.252000,[1] 0 0 0 44 44
20-48-39.253000,[2] 0 0 0 0 0
20-48-39.253000,[3] 51 0 0 0 0
20-48-39.254000,""""
20-48-39.255000,"""Sensor: 1. RSSI: 58"""
20-48-39.257000,"""Sensor: 2. RSSI: 62"""
20-48-39.258000,"""Sensor: 3. RSSI: 68"""
20-48-39.261000,"""Sensor: 4. RSSI: 57"""
20-48-39.265000,"""Sensor: 5. RSSI: 55"""
20-48-39.276000,"""COUNT 1 1 1 1 1"
20-48-39.277000,[0] 0 0 0 0 0
20-48-39.278000,[1] 47 0 51 0 0
20-48-39.279000,[2] 53 0 0 0 0
20-48-39.280000,[3] 51 44 51 0 0
20-48-39.280000,""""
20-48-39.281000,"""Sensor: 2. RSSI: 63"""
20-48-39.283000,"""Sensor: 3. RSSI: 68"""
20-48-39.284000,"""Sensor: 4. RSSI: 57"""
20-48-39.286000,"""Sensor: 5. RSSI: 55"""
20-48-39.292000,"""Sensor: 1. RSSI: 58"""
20-48-39.295000,"""Sensor: 2. RSSI: 63"""
20-48-39.302000,"""COUNT 1 2 1 1 1"
20-48-39.303000,[0] 0 0 0 0 0
20-48-39.304000,[1] 46 0 0 0 0
20-48-39.304000,[2] 53 52 0 0 0
20-48-39.305000,[3] 0 44 51 0 0
20-48-39.306000,""""
