13-36.188,"S-0 48 0 0 0 0 0 60 0 0 0 0 0 -48 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 71 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 61 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.200,"C-1 52-1 62-0 0-0 0-0 0-0 0-0 0-1 64-0 0-0 0-1 67-0 0-0 0"
13-36.247,"S-0 48 0 0 0 0 0 61 0 0 0 0 0 -48 0 0 0 0 53 0 61 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 72 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 59 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.249,"""14. send_req"""
13-36.256,"C-1 52-1 62-0 0-0 0-0 0-0 0-0 0-0 0-0 0-0 0-1 67-0 0-0 0"
13-36.308,"S-0 48 0 0 0 0 0 61 0 0 0 0 0 -48 0 0 0 0 0 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -52 0 0 0 0 0 0 73 61 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.311,"""B. send_req"""
13-36.318,"C-1 52-1 62-0 0-0 0-0 0-0 0-0 0-1 65-0 0-0 0-1 67-0 0-0 0"
13-36.359,"S-0 48 0 0 0 0 0 61 0 0 0 0 0 -0 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 72 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 73 59 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.367,"C-1 52-1 62-0 0-0 0-0 0-0 0-0 0-1 65-0 0-0 0-1 66-0 0-0 0"
13-36.408,"S-0 48 0 0 0 0 0 61 0 0 0 0 0 -0 0 0 0 0 53 0 62 0 0 54 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 62 0 0 0 0 0 0 0 0 72 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 73 60 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 -0 0 0 0 0 0 0 0 0 0 0 0 0 "
13-36.418,"C-1 51-1 62-0 0-0 0-0 0-0 0-0 0-1 64-0 0-0 0-1 65-0 0-0 0"
