23-03-06.055000,"""Scanner enabled\r\n"""
23-07-23.896000,"8 50"""
23-07-23.896000,"6 50"""
23-07-23.896000,"2 44"""
23-07-23.897000,"7 48"""
23-07-23.897000,"1 55"""
23-07-23.898000,"3 48"""
23-07-23.898000,C 2 1 2 1 1 1 1 1
23-07-23.899000, 0 0 0 0 0 0 0 0
23-07-23.910000, 0 0 0 0 0 44 0 44
23-07-23.910000, 0 44 0 0 0 0 0 53
23-07-23.911000, 0 0 0 0 0 0 0 0
23-07-23.912000, 0 44 44 0 0 0 0 49
23-07-23.912000, 48 0 0 44 0 0 53 0
23-07-23.913000," 46 ""5 56"""
23-07-23.914000,"2 44"""
23-07-23.914000,"8 49"""
23-07-23.915000,"4 44"""
23-07-23.916000,"6 50"""
23-07-23.916000,"7 48"""
23-07-23.917000,"1 55"""
23-07-23.930000,"3 48"""
23-07-23.931000,"5 57"""
23-07-23.932000,C 1 1 1 1 2 1 1 1
23-07-23.933000, 0 0 0 0 63 0 0 0
23-07-23.934000, 64 0 0 44 44 0 44 0
23-07-23.934000, 0 0 0 0 0 0 0 53
23-07-23.935000, 0 0 0 0 0 0 0 0
23-07-23.935000, 0 0 44 0 0 0 0 50
23-07-23.936000, 48 0 0 44 0 0 54 0
23-07-23.937000," 46""2 44"""
23-07-23.937000,"4 44"""
23-07-23.941000,"3 48"""
23-07-23.941000,"6 49"""
23-07-23.942000,"5 57"""
23-07-23.942000,"7 48"""
23-07-23.942000,"1 55"""
23-07-23.952000,"8 49"""
23-07-23.964000,"2 44"""
23-07-23.973000,C 1 2 1 1 1 1 1 1
23-07-23.975000, 0 0 62 0 63 0 0 0
23-07-23.975000, 64 0 44 0 44 0 0 44
23-07-23.976000, 0 0 0 0 0 0 0 0
23-07-23.976000, 52 0 0 0 0 0 44 0
23-07-23.977000, 0 0 44 0 0 0 0 0
23-07-23.977000, 0 0 0 44 0 0 53 0
23-07-23.978000," 46""4 44"""
23-07-23.980000,"1 55"""
23-07-23.980000,"2 44"""
23-07-23.993000,"6 49"""
23-07-23.994000,"7 48"""
23-07-23.994000,"5 56"""
23-07-23.995000,"8 49"""
23-07-23.996000,"4 44"""
23-07-23.996000,"1 55"""
23-07-24.012000,C 2 1 0 2 1 1 1 1
23-07-24.013000, 0 0 0 0 0 0 0 52
23-07-24.014000, 62 0 44 0 0 0 0 44
23-07-24.015000, 62 44 0 0 0 0 0 53
23-07-24.016000, 0 0 0 0 0 0 44 0
23-07-24.016000, 62 44 0 0 0 0 0 49
23-07-24.017000, 0 0 0 0 0 0 0 0
23-07-24.020000," 0 ""2 44"""
23-07-24.021000,"3 48"""
23-07-24.022000,"5 56"""
23-07-24.022000,"8 49"""
23-07-24.025000,"7 48"""
23-07-24.027000,"1 55"""
23-07-24.032000,"2 44"""
23-07-24.032000,"6 50"""
23-07-24.035000,"3 48"""
23-07-24.056000,C 1 2 2 0 1 1 1 1
23-07-24.057000, 0 0 0 0 0 0 0 52
23-07-24.058000, 62 0 0 0 0 0 0 44
23-07-24.058000, 63 44 0 0 0 0 0 53
23-07-24.059000, 0 0 0 0 0 0 0 0
23-07-24.060000, 62 44 44 0 0 0 0 49
23-07-24.061000, 0 0 0 44 0 0 53 0
23-07-24.061000," 0""1 55"""
23-07-24.062000,"5 56"""
23-07-24.062000,"8 49"""
23-07-24.063000,"4 44"""
23-07-24.063000,"6 49"""
23-07-24.068000,"3 47"""
23-07-24.073000,"1 55"""
23-07-24.086000,"5 56"""
23-07-24.089000,C 2 0 1 1 2 1 0 1
23-07-24.090000, 0 0 0 52 0 0 46 0
23-07-24.091000, 0 0 0 0 0 0 0 0
23-07-24.092000, 0 44 0 0 0 0 0 53
23-07-24.097000, 0 0 0 0 0 0 0 0
23-07-24.097000, 0 44 0 0 0 0 0 49
23-07-24.098000, 0 0 0 44 0 0 0 0
23-07-24.098000," 0 0 0 ""2 44"""
23-07-24.099000,"4 44"""
23-07-24.099000,"3 48"""
23-07-24.106000,"6 49"""
23-07-24.107000,"1 55"""
23-07-24.108000,"5 56"""
23-07-24.109000,"8 48"""
23-07-24.133000,C 1 1 1 1 1 1 0 1
23-07-24.135000, 0 0 0 52 0 0 46 0
23-07-24.136000, 64 0 0 44 0 44 44 0
23-07-24.137000, 0 0 0 0 0 0 0 0
23-07-24.137000, 0 0 0 0 0 0 0 0
23-07-24.138000, 0 44 44 0 0 0 0 0
23-07-24.138000, 48 0 0 44 0 0 53 0
23-07-24.139000," 0 ""2 44"""
23-07-24.140000,"3 48"""
23-07-24.140000,"7 48"""
23-07-24.141000,"6 49"""
23-07-24.146000,"5 56"""
23-07-24.146000,"1 55"""
23-07-24.150000,"8 48"""
23-07-24.169000,C 1 1 1 0 1 1 1 1
23-07-24.170000, 0 0 0 0 63 0 0 0
23-07-24.171000, 0 0 0 0 0 0 0 0
23-07-24.172000, 0 0 0 0 0 0 0 0
23-07-24.173000, 0 0 0 0 0 0 0 0
23-07-24.174000, 0 0 44 0 0 0 0 49
23-07-24.177000, 0 0 0 0 0 0 0 0
23-07-24.177000," 46 44 0 0 ""1 55"""
23-07-24.178000,"7 48"""
23-07-24.178000,"6 49"""
23-07-24.181000,"5 57"""
23-07-24.183000,"8 48"""
23-07-24.184000,"4 44"""
23-07-24.186000,"2 44"""
23-07-24.208000,C 1 1 0 1 1 1 1 1
23-07-24.231000, 0 0 0 0 0 0 0 0
23-07-24.232000, 0 0 0 0 44 0 0 0
23-07-24.232000, 0 0 0 0 0 0 0 0
23-07-24.233000, 0 0 0 0 0 0 44 0
23-07-24.233000, 62 0 0 0 0 0 0 49
23-07-24.233000, 0 0 0 0 0 0 0 0
23-07-24.234000," 0 0 0 0 0""2 44"""
23-07-24.234000,"5 57"""
23-07-24.235000,"4 44"""
23-07-24.247000,"8 48"""
23-07-24.256000,"6 49"""
23-07-24.267000,"7 48"""
23-07-24.281000,"3 48"""
23-07-24.298000,"1 55"""
23-07-24.315000,C 1 1 1 1 1 1 1 1
23-07-24.326000, 0 0 0 0 0 47 45 53
23-07-24.327000, 0 0 44 0 44 0 0 44
23-07-24.328000, 0 0 0 0 0 44 0 53
23-07-24.328000, 0 44 0 0 0 0 44 0
23-07-24.332000, 0 44 44 0 0 0 0 49
23-07-24.332000," 0 44 0 44 0 0 53 0""2 44"""
23-07-24.333000,"1 55"""
23-07-24.334000,"5 56"""
23-07-24.334000,"8 48"""
23-07-24.339000,"4 44"""
23-07-24.339000,"3 48"""
23-07-24.340000,"6 49"""
23-07-24.340000,"7 48"""
23-07-24.341000,"2 44"""
23-07-24.342000,"1 55"""
23-07-24.342000,"5 57"""
23-07-24.343000,C 2 2 1 1 2 1 1 1
23-07-24.343000, 0 0 0 52 0 47 45 0
23-07-24.362000, 0 0 44 0 0 0 0 44
23-07-24.363000, 63 0 0 0 0 0 0 53
23-07-24.363000, 0 0 0 0 0 0 0 0
23-07-24.364000, 0 44 44 0 0 0 0 49
23-07-24.364000, 0 0 0 44 0 0 53 0
23-07-24.365000," 0""2 44"""
23-07-24.365000,"4 45"""
23-07-24.366000,"3 48"""
23-07-24.366000,"6 49"""
23-07-24.369000,"7 49"""
23-07-24.370000,C 0 1 1 1 0 1 1 0
23-07-24.377000, 0 0 0 0 0 0 0 0
23-07-24.378000, 0 0 0 0 0 0 0 0
23-07-24.379000, 0 0 0 0 0 0 0 0
23-07-24.379000, 53 0 0 0 0 0 44 0
23-07-24.380000, 0 0 0 0 0 0 0 0
23-07-24.381000, 0 0 0 0 0 0 0 0
23-07-24.381000," 0 0 0 0 0 0""4 44"""
23-07-24.382000,"3 48"""
23-07-24.382000,"6 49"""
23-07-24.382000,"7 49"""
23-07-24.383000,"5 56"""
23-07-24.396000,"1 55"""
23-07-24.397000,"8 48"""
23-07-24.397000,"2 44"""
23-07-24.398000,"3 48"""
23-07-24.399000,C 1 1 2 1 1 1 1 1
23-07-24.399000, 0 0 0 0 63 0 0 0
23-07-24.400000, 0 0 0 44 0 44 44 0
23-07-24.401000, 0 44 0 44 0 44 44 0
23-07-24.402000, 0 0 0 0 0 0 0 0
23-07-24.402000, 0 0 44 0 0 0 0 0
23-07-24.403000, 48 0 0 44 0 0 54 0
23-07-24.403000," 0""6 49"""
23-07-24.414000,"5 56"""
23-07-24.416000,"4 44"""
23-07-24.417000,"1 55"""
23-07-24.417000,"8 48"""
23-07-24.418000,"2 44"""
23-07-24.418000,"6 49"""
23-07-24.419000,C 1 1 0 1 1 2 0 1
23-07-24.419000, 0 0 0 0 0 0 0 0
23-07-24.420000, 0 0 0 44 0 44 0 0
23-07-24.421000, 0 0 0 0 0 0 0 0
23-07-24.421000, 0 0 0 0 0 0 0 0
23-07-24.422000, 62 0 0 0 0 0 0 49
23-07-24.422000, 0 0 0 44 0 0 0 0
23-07-24.427000," 0 0 0 0 ""5 56"""
23-07-24.427000,"1 55"""
23-07-24.427000,"4 44"""
23-07-24.428000,"8 48"""
23-07-24.428000,"3 48"""
23-07-24.429000,"6 49"""
23-07-24.430000,"7 49"""
23-07-24.437000,"5 56"""
23-07-24.451000,C 1 0 1 1 2 1 1 1
23-07-24.452000, 0 0 0 0 0 0 0 0
23-07-24.453000, 0 0 0 0 0 0 0 0
23-07-24.458000, 63 44 0 44 0 44 0 0
23-07-24.459000, 0 0 0 0 0 0 0 0
23-07-24.460000, 62 0 44 0 0 0 0 49
23-07-24.460000, 0 44 0 44 0 0 0 0
23-07-24.461000," 0 0 ""1 55"""
23-07-24.461000,"4 44"""
23-07-24.462000,"8 48"""
23-07-24.462000,"3 48"""
23-07-24.463000,"6 49"""
23-07-24.463000,"7 49"""
23-07-24.468000,"5 57"""
23-07-24.470000,"2 44"""
23-07-24.480000,"1 55"""
23-07-24.491000,C 2 1 1 1 1 1 1 1
23-07-24.492000, 0 63 0 52 0 47 49 0
23-07-24.493000, 0 0 0 44 0 0 44 0
23-07-24.531000, 0 0 0 0 0 0 0 0
23-07-24.532000, 0 0 0 0 0 0 0 0
23-07-24.532000, 0 0 44 0 0 0 0 49
23-07-24.533000, 0 44 0 44 0 0 54 0
23-07-24.533000," 0 ""6 49"""
23-07-24.534000,"3 48"""
23-07-24.535000,"7 49"""
23-07-24.537000,"2 44"""
23-07-24.542000,"1 55"""
23-07-24.543000,"8 48"""
23-07-24.544000,"4 44"""
23-07-24.544000,C 1 1 1 1 0 1 1 1
23-07-24.545000, 0 64 0 52 0 0 45 0
23-07-24.545000, 0 0 0 44 0 0 44 0
23-07-24.547000, 0 44 0 44 0 44 44 0
23-07-24.548000, 0 44 0 0 0 0 44 0
23-07-24.548000, 0 0 0 0 0 0 0 0
23-07-24.549000, 48 44 0 44 0 0 54 0
23-07-24.549000,"6 49"""
23-07-24.553000,"3 48"""
23-07-24.553000,"7 49"""
23-07-24.554000,"2 44"""
23-07-24.554000,"5 57"""
23-07-24.554000,"1 55"""
23-07-24.555000,"8 48"""
23-07-24.555000,"4 44"""
23-07-24.558000,"6 49"""
23-07-24.559000,"3 48"""
23-07-24.559000,"7 49"""
23-07-24.575000,C 1 1 2 1 1 2 2 1
23-07-24.576000, 0 0 0 52 0 0 45 0
23-07-24.577000, 0 0 0 0 0 0 0 0
23-07-24.578000, 63 44 0 44 0 44 44 0
23-07-24.578000, 52 44 0 0 0 0 44 0
23-07-24.579000, 0 0 0 0 0 0 0 0
23-07-24.579000, 48 44 0 44 0 0 54 0
23-07-24.580000,"""1 55"""
23-07-24.582000,"2 44"""
23-07-24.583000,"5 57"""
23-07-24.583000,"4 44"""
23-07-24.583000,"8 48"""
23-07-24.584000,"6 49"""
23-07-24.586000,"7 48"""
23-07-24.596000,"1 55"""
23-07-24.613000,C 2 1 0 1 1 1 1 1
23-07-24.615000, 0 0 62 0 63 0 0 53
23-07-24.617000, 0 0 0 0 0 0 0 0
23-07-24.617000, 0 0 0 0 0 0 0 0
23-07-24.618000, 0 0 0 0 0 0 0 0
23-07-24.619000, 0 0 0 0 0 0 0 0
23-07-24.619000, 48 44 0 44 0 0 55 0
23-07-24.620000," 46 44 ""8 48"""
23-07-24.620000,"3 48"""
23-07-24.621000,"4 44"""
23-07-24.622000,"6 49"""
23-07-24.627000,"7 49"""
23-07-24.630000,"1 55"""
23-07-24.646000,"2 44"""
23-07-24.647000,"5 56"""
23-07-24.652000,C 1 1 1 1 1 1 1 1
23-07-24.668000, 0 0 77 52 0 47 45 0
23-07-24.682000, 0 0 44 0 0 44 44 0
23-07-24.724000, 0 0 0 0 0 0 0 0
23-07-24.725000, 0 0 0 0 0 0 0 0
23-07-24.725000, 0 0 44 0 0 0 0 50
23-07-24.726000, 0 0 0 44 0 0 53 0
23-07-24.726000," 0 ""4 44"""
23-07-24.727000,"3 48"""
23-07-24.727000,"6 49"""
23-07-24.728000,"7 49"""
23-07-24.730000,"1 55"""
23-07-24.730000,"2 44"""
23-07-24.731000,"5 57"""
23-07-24.731000,"8 48"""
23-07-24.732000,C 1 1 1 1 1 1 1 1
23-07-24.732000, 0 63 0 52 0 47 45 0
23-07-24.732000, 63 0 0 44 0 44 44 0
23-07-24.736000, 63 44 0 44 0 44 44 0
23-07-24.737000, 0 0 0 0 0 0 44 0
23-07-24.737000, 0 0 0 0 0 0 0 0
23-07-24.737000," 48 0 0 44 0 0 54 0""4 44"""
23-07-24.738000,"3 48"""
23-07-24.738000,"6 49"""
23-07-24.741000,"7 49"""
23-07-24.742000,"1 55"""
23-07-24.742000,"5 56"""
23-07-24.742000,"2 44"""
23-07-24.743000,"4 44"""
23-07-24.743000,"3 48"""
23-07-24.756000,C 1 1 2 2 1 1 1 0
23-07-24.757000, 0 0 0 0 0 0 0 0
23-07-24.757000, 64 0 0 44 0 44 44 0
23-07-24.758000, 63 44 0 44 0 44 44 0
23-07-24.758000, 0 0 0 0 0 0 44 0
23-07-24.759000, 0 0 0 0 0 0 0 0
23-07-24.759000, 48 44 0 44 0 0 54 0
23-07-24.760000,"""6 49"""
23-07-24.760000,"1 55"""
23-07-24.762000,"2 44"""
23-07-24.763000,"5 56"""
23-07-24.763000,"8 48"""
23-07-24.764000,"3 48"""
23-07-24.764000,"6 49"""
23-07-24.771000,C 1 1 1 0 1 2 0 1
23-07-24.778000, 0 0 0 0 0 0 0 0
23-07-24.779000, 0 0 0 0 0 0 0 0
23-07-24.779000, 64 44 0 44 0 44 0 0
23-07-24.780000, 0 0 0 0 0 0 0 0
23-07-24.780000, 0 0 0 0 0 0 0 48
23-07-24.781000, 48 44 0 44 0 0 0 0
23-07-24.781000," 0 0 0""1 55"""
23-07-24.782000,"2 44"""
23-07-24.782000,"3 48"""
23-07-24.783000,"5 57"""
23-07-24.783000,"4 44"""
23-07-24.783000,"8 48"""
23-07-24.784000,"6 49"""
23-07-24.785000,"7 49"""
23-07-24.796000,"1 55"""
23-07-24.812000,C 2 1 1 1 1 1 1 1
23-07-24.813000, 0 0 0 0 64 0 0 51
23-07-24.814000, 0 0 0 0 0 0 0 0
23-07-24.814000, 0 44 0 44 0 44 44 0
23-07-24.815000, 0 0 0 0 0 0 0 0
23-07-24.815000, 62 0 0 0 0 0 0 49
23-07-24.816000, 48 44 0 44 0 0 0 0
23-07-24.816000," 46""3 48"""
23-07-24.817000,"5 57"""
23-07-24.818000,"4 44"""
