20-01-50.037000,--------------------------------
20-01-54.675000,[R]: 50 
20-01-54.676000,[R]: 1 
20-01-54.676000,S 1 	RSSI: 45
20-01-54.686000,[R]: 2 
20-01-54.687000,[R]: 50 
20-01-54.688000,[R]: 20 
20-01-54.688000,[R]: 1 
20-01-54.689000,S 1 	RSSI: 45
20-01-54.690000,[R]: 2 
20-01-54.691000,[R]: 50 
20-01-54.691000,[R]: 1 
20-01-54.692000,S 1 	RSSI: 45
20-01-54.693000,[R]: 2 
20-01-54.699000,[R]: 50 
20-01-54.701000,[R]: 1 
20-01-54.701000,S 1 	RSSI: 45
20-01-54.702000,[R]: 2 
20-01-54.703000,[R]: 50 
20-01-54.703000,[R]: 1 
20-01-54.708000,S 1 	RSSI: 45
20-01-54.710000,[R]: 2 
20-01-54.711000,[R]: 50 
20-01-54.711000,[R]: 1 
20-01-54.712000,S 1 	RSSI: 45
20-01-54.713000,[R]: 2 
20-01-54.716000,[R]: 50 
20-01-54.720000,[R]: 1 
20-01-54.721000,S 1 	RSSI: 45
20-01-54.721000,[R]: 2 
20-01-54.722000,[R]: 50 
20-01-54.723000,[R]: 1 
20-01-54.723000,S 1 	RSSI: 45
20-01-54.724000,[R]: 2 
20-01-54.724000,[R]: 50 
20-01-54.728000,[R]: 1 
20-01-54.732000,S 1 	RSSI: 45
20-01-54.733000,[R]: 2 
20-01-54.734000,[R]: 50 
20-01-54.737000,[R]: 1 
20-01-54.738000,S 1 	RSSI: 45
20-01-54.738000,[R]: 2 
20-01-54.739000,[R]: 50 
20-01-54.739000,[R]: 1 
20-01-54.743000,S 1 	RSSI: 45
20-01-54.743000,[R]: 2 
20-01-54.744000,[R]: 50 
20-01-54.744000,[R]: 1 
20-01-54.747000,S 1 	RSSI: 45
20-01-54.748000,[R]: 2 
20-01-54.749000,[R]: 50 
20-01-54.750000,[R]: 1 
20-01-54.754000,S 1 	RSSI: 45
20-01-54.754000,[R]: 2 
20-01-54.759000,[R]: 50 
20-01-54.760000,[R]: 20 
20-01-54.761000,[R]: 1 
20-01-54.761000,S 1 	RSSI: 45
20-01-54.771000,[R]: 2 
20-01-54.772000,[R]: 50 
20-01-54.775000,[R]: 1 
20-01-54.775000,S 1 	RSSI: 45
20-01-54.776000,[R]: 2 
20-01-54.777000,[R]: 50 
20-01-54.777000,[R]: 1 
20-01-54.778000,S 1 	RSSI: 45
20-01-54.779000,[R]: 2 
20-01-54.779000,[R]: 50 
20-01-54.782000,[R]: 1 
20-01-54.783000,S 1 	RSSI: 45
20-01-54.785000,[R]: 2 
20-01-54.786000,[R]: 50 
20-01-54.787000,[R]: 1 
20-01-54.787000,S 1 	RSSI: 45
20-01-54.788000,[R]: 2 
20-01-54.788000,[R]: 50 
20-01-54.792000,[R]: 1 
20-01-54.793000,S 1 	RSSI: 45
20-01-54.794000,[R]: 2 
20-01-54.794000,[R]: 50 
20-01-54.801000,[R]: 1 
20-01-54.802000,S 1 	RSSI: 45
20-01-54.803000,[R]: 2 
20-01-54.803000,[R]: 50 
20-01-54.803000,[R]: 1 
20-01-54.804000,S 1 	RSSI: 45
20-01-54.805000,[R]: 2 
20-01-54.805000,[R]: 50 
20-01-54.806000,[R]: 1 
20-01-54.806000,[R]: 2 
20-01-54.806000,[R]: 50 
20-01-54.807000,[R]: 1 
20-01-54.807000,S 1 	RSSI: 45
20-01-54.808000,[R]: 2 
20-01-54.808000,[R]: 50 
20-01-54.809000,[R]: 1 
20-01-54.809000,S 1 	RSSI: 45
20-01-54.812000,[R]: 2 
20-01-54.812000,[R]: 50 
20-01-54.814000,[R]: 1 
20-01-54.815000,S 1 	RSSI: 46
20-01-54.815000,[R]: 2 
20-01-54.817000,[R]: 50 
20-01-54.818000,[R]: 20 
20-01-54.818000,[R]: 1 
20-01-54.825000,S 1 	RSSI: 45
20-01-54.826000,[R]: 2 
20-01-54.826000,[R]: 50 
20-01-54.827000,[R]: 1 
20-01-54.827000,S 1 	RSSI: 45
20-01-54.827000,[R]: 2 
20-01-54.828000,[R]: 50 
20-01-54.828000,[R]: 1 
20-01-54.829000,S 1 	RSSI: 45
20-01-54.833000,[R]: 2 
20-01-54.837000,[R]: 50 
20-01-54.837000,[R]: 1 
20-01-54.837000,S 1 	RSSI: 46
20-01-54.838000,[R]: 2 
20-01-54.838000,[R]: 50 
20-01-54.839000,[R]: 1 
20-01-54.840000,S 1 	RSSI: 46
20-01-54.840000,[R]: 2 
20-01-54.841000,[R]: 50 
20-01-54.842000,[R]: 1 
20-01-54.843000,S 1 	RSSI: 45
20-01-54.843000,[R]: 2 
20-01-54.844000,[R]: 50 
20-01-54.844000,[R]: 1 
20-01-54.854000,S 1 	RSSI: 46
20-01-54.855000,[R]: 2 
20-01-54.855000,[R]: 50 
20-01-54.857000,[R]: 1 
20-01-54.857000,S 1 	RSSI: 45
20-01-54.858000,[R]: 2 
20-01-54.858000,[R]: 50 
20-01-54.859000,[R]: 1 
20-01-54.860000,S 1 	RSSI: 46
20-01-54.867000,[R]: 2 
20-01-54.868000,[R]: 50 
20-01-54.868000,[R]: 1 
20-01-54.869000,S 1 	RSSI: 46
20-01-54.870000,[R]: 2 
20-01-54.871000,[R]: 50 
