09-46-31.936000,-------------------
09-46-33.245000,[R]: 1 
09-46-33.246000,[R]: 50 
09-46-33.246000,[R]: 10 
09-46-33.247000,[R]: 2 
09-46-33.249000,S 2 	RSSI: 45
09-46-33.249000,[R]: 10 
09-46-33.258000,[R]: 1 
09-46-33.281000,[R]: 50 
09-46-33.282000,[R]: 20 
09-46-33.285000,[R]: 10 
09-46-33.285000,[R]: 1 
09-46-33.287000,[R]: 50 
09-46-33.308000,[R]: 10 
09-46-33.308000,[R]: 2 
09-46-33.310000,[R]: 10 
09-46-33.311000,[R]: 1 
09-46-33.312000,[R]: 50 
09-46-33.317000,S 2 	RSSI: 45
09-46-33.318000,[R]: 10 
09-46-33.318000,[R]: 2 
09-46-33.320000,[R]: 20 
09-46-33.325000,[R]: 10 
09-46-33.332000,[R]: 1 
09-46-33.333000,[R]: 50 
09-46-33.333000,[R]: 10 
09-46-33.352000,[R]: 2 
09-46-33.357000,[R]: 10 
09-46-33.375000,[R]: 1 
09-46-33.375000,[R]: 50 
09-46-33.376000,[R]: 20 
09-46-33.376000,[R]: 10 
09-46-33.377000,[R]: 1 
09-46-33.377000,[R]: 50 
09-46-33.378000,[R]: 20 
09-46-33.379000,[R]: 10 
09-46-33.379000,[R]: 1 
09-46-33.382000,[R]: 50 
09-46-33.382000,[R]: 10 
09-46-33.391000,[R]: 2 
09-46-33.392000,S 2 	RSSI: 45
09-46-33.405000,[R]: 10 
09-46-33.405000,[R]: 1 
09-46-33.406000,[R]: 50 
09-46-33.406000,[R]: 20 
09-46-33.407000,[R]: 10 
09-46-33.408000,[R]: 1 
09-46-33.413000,[R]: 50 
09-46-33.414000,[R]: 10 
09-46-33.414000,[R]: 2 
09-46-33.415000,[R]: 10 
09-46-33.415000,[R]: 1 
09-46-33.416000,[R]: 50 
09-46-33.416000,S 2 	RSSI: 46
09-46-33.417000,[R]: 10 
09-46-33.417000,[R]: 2 
09-46-33.418000,[R]: 20 
09-46-33.418000,[R]: 10 
09-46-33.440000,[R]: 1 
09-46-33.448000,[R]: 50 
09-46-33.448000,[R]: 10 
09-46-33.474000,[R]: 2 
09-46-33.571000,[R]: 10 
09-46-33.606000,[R]: 1 
09-46-33.606000,[R]: 50 
09-46-33.616000,[R]: 20 
09-46-33.617000,[R]: 10 
09-46-33.619000,[R]: 1 
09-46-33.627000,[R]: 50 
09-46-33.638000,[R]: 20 
09-46-33.638000,[R]: 10 
09-46-33.639000,[R]: 1 
09-46-33.639000,[R]: 50 
09-46-33.640000,[R]: 10 
09-46-33.640000,[R]: 2 
09-46-33.641000,S 2 	RSSI: 45
09-46-33.641000,[R]: 10 
09-46-33.648000,[R]: 1 
09-46-33.648000,[R]: 50 
09-46-33.651000,[R]: 20 
09-46-33.654000,[R]: 10 
09-46-33.664000,[R]: 1 
09-46-33.678000,[R]: 50 
09-46-33.679000,[R]: 10 
09-46-33.679000,[R]: 2 
09-46-33.688000,[R]: 10 
09-46-33.689000,[R]: 1 
09-46-33.689000,[R]: 50 
09-46-33.690000,S 2 	RSSI: 45
09-46-33.690000,[R]: 10 
09-46-33.691000,[R]: 2 
09-46-33.692000,[R]: 20 
09-46-33.719000,[R]: 10 
09-46-33.719000,[R]: 1 
09-46-33.720000,[R]: 50 
09-46-33.720000,[R]: 10 
09-46-33.721000,[R]: 2 
09-46-33.748000,[R]: 10 
09-46-33.751000,[R]: 1 
09-46-33.752000,[R]: 50 
09-46-33.752000,[R]: 20 
09-46-33.778000,[R]: 10 
09-46-33.779000,[R]: 1 
09-46-33.783000,[R]: 50 
09-46-33.783000,[R]: 20 
09-46-33.798000,[R]: 10 
09-46-33.798000,[R]: 1 
09-46-33.802000,[R]: 50 
09-46-33.802000,[R]: 10 
09-46-33.804000,[R]: 2 
09-46-33.805000,S 2 	RSSI: 46
09-46-33.805000,[R]: 10 
09-46-33.806000,[R]: 1 
09-46-33.810000,[R]: 50 
09-46-33.811000,[R]: 20 
09-46-33.811000,[R]: 10 
09-46-33.812000,[R]: 1 
09-46-33.834000,[R]: 50 
09-46-33.834000,[R]: 10 
09-46-33.841000,[R]: 2 
09-46-33.844000,[R]: 10 
09-46-33.850000,[R]: 1 
09-46-33.853000,[R]: 50 
09-46-33.854000,S 2 	RSSI: 45
09-46-33.855000,[R]: 10 
09-46-33.857000,[R]: 2 
09-46-33.866000,[R]: 20 
09-46-33.866000,[R]: 10 
09-46-33.867000,[R]: 1 
09-46-33.875000,[R]: 50 
09-46-33.886000,[R]: 10 
09-46-33.887000,[R]: 2 
09-46-33.888000,[R]: 10 
09-46-33.888000,[R]: 1 
09-46-33.889000,[R]: 50 
09-46-33.889000,[R]: 20 
09-46-33.890000,[R]: 10 
09-46-33.890000,[R]: 1 
09-46-33.891000,[R]: 50 
09-46-33.892000,[R]: 20 
09-46-33.892000,[R]: 10 
09-46-33.899000,[R]: 1 
09-46-33.900000,[R]: 50 
09-46-33.900000,[R]: 10 
09-46-33.901000,[R]: 2 
09-46-33.901000,S 2 	RSSI: 45
09-46-33.903000,[R]: 10 
09-46-33.926000,[R]: 1 
09-46-33.927000,[R]: 50 
09-46-33.939000,[R]: 20 
09-46-33.940000,[R]: 10 
09-46-33.941000,[R]: 1 
09-46-33.941000,[R]: 50 
09-46-33.950000,[R]: 10 
09-46-33.951000,[R]: 2 
09-46-33.952000,[R]: 10 
09-46-33.954000,[R]: 1 
09-46-33.956000,[R]: 50 
09-46-33.957000,S 2 	RSSI: 45
09-46-33.962000,[R]: 10 
09-46-33.964000,[R]: 2 
09-46-33.965000,[R]: 20 
09-46-33.972000,[R]: 10 
09-46-33.973000,[R]: 1 
09-46-33.973000,[R]: 50 
09-46-33.974000,[R]: 10 
09-46-33.975000,[R]: 2 
09-46-33.987000,[R]: 10 
09-46-33.988000,[R]: 1 
09-46-33.989000,[R]: 50 
