22-04-56.525000,"""Program init""" 
22-08-43.079000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.082000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.085000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.090000,"""COUNT 1 1 1 1"
22-08-43.090000,[0] 58 68 75
22-08-43.091000,[1] 66 0
22-08-43.093000,[2] 0
22-08-43.094000,""""
22-08-43.095000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.100000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.102000,"""[RSP] Sensor: 4. RSSI: 80"""
22-08-43.105000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.110000,"""COUNT 1 1 1 1"
22-08-43.111000,[0] 58 67 75
22-08-43.111000,[1] 0 0
22-08-43.113000,[2] 71
22-08-43.114000,""""
22-08-43.116000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.119000,"""[RSP] Sensor: 4. RSSI: 80"""
22-08-43.125000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.131000,"""COUNT 0 1 1 1"
22-08-43.131000,[0] 0 67 75
22-08-43.133000,[1] 67 75
22-08-43.134000,[2] 72
22-08-43.134000,""""
22-08-43.137000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.139000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.142000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.146000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.149000,"""COUNT 1 0 2 1"
22-08-43.150000,[0] 0 68 0
22-08-43.150000,[1] 0 0
22-08-43.158000,[2] 72
22-08-43.158000,""""
22-08-43.159000,"""[RSP] Sensor: 4. RSSI: 80"""
22-08-43.160000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.161000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.164000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.167000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.171000,"""COUNT 1 1 1 2"
22-08-43.172000,[0] 58 0 0
22-08-43.173000,[1] 67 74
22-08-43.174000,[2] 72
22-08-43.174000,""""
22-08-43.176000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.179000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.182000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.185000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.189000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.192000,"""COUNT 2 1 1 1"
22-08-43.193000,[0] 58 67 0
22-08-43.194000,[1] 67 73
22-08-43.194000,[2] 71
22-08-43.195000,""""
22-08-43.198000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.200000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.204000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.210000,"""COUNT 1 1 1 0"
22-08-43.211000,[0] 58 67 0
22-08-43.211000,[1] 66 73
22-08-43.212000,[2] 71
22-08-43.213000,""""
22-08-43.215000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.218000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.222000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.225000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.230000,"""COUNT 1 1 1 1"
22-08-43.231000,[0] 58 68 77
22-08-43.232000,[1] 67 73
22-08-43.233000,[2] 0
22-08-43.234000,""""
22-08-43.237000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.239000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.243000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.245000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.250000,"""COUNT 1 1 1 1"
22-08-43.250000,[0] 0 67 75
22-08-43.251000,[1] 66 0
22-08-43.252000,[2] 71
22-08-43.253000,""""
22-08-43.255000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.259000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.262000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.264000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.270000,"""COUNT 1 1 1 1"
22-08-43.272000,[0] 58 0 75
22-08-43.272000,[1] 67 73
22-08-43.273000,[2] 72
22-08-43.274000,""""
22-08-43.278000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.279000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.282000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.284000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.287000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.291000,"""COUNT 1 1 2 1"
22-08-43.291000,[0] 0 0 75
22-08-43.292000,[1] 66 73
22-08-43.293000,[2] 71
22-08-43.294000,""""
22-08-43.296000,"""[RSP] Sensor: 4. RSSI: 80"""
22-08-43.298000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.302000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.306000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.312000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.314000,"""COUNT 1 1 1 2"
22-08-43.314000,[0] 58 0 0
22-08-43.315000,[1] 66 73
22-08-43.316000,[2] 72
22-08-43.317000,""""
22-08-43.318000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.320000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.323000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.326000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.328000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.331000,"""COUNT 2 1 1 1"
22-08-43.332000,[0] 58 67 75
22-08-43.333000,[1] 67 75
22-08-43.334000,[2] 71
22-08-43.335000,""""
22-08-43.338000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.340000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.343000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.346000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.350000,"""COUNT 1 1 1 1"
22-08-43.352000,[0] 0 68 75
22-08-43.353000,[1] 0 0
22-08-43.354000,[2] 72
22-08-43.355000,""""
22-08-43.356000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.359000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.362000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.365000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.370000,"""COUNT 1 1 1 1"
22-08-43.372000,[0] 58 67 75
22-08-43.372000,[1] 67 0
22-08-43.373000,[2] 71
22-08-43.374000,""""
22-08-43.376000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.379000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.383000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.385000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.390000,"""COUNT 1 1 1 1"
22-08-43.393000,[0] 0 68 75
22-08-43.394000,[1] 66 0
22-08-43.394000,[2] 73
22-08-43.395000,""""
22-08-43.396000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.400000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.401000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.405000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.410000,"""COUNT 1 1 1 1"
22-08-43.411000,[0] 0 0 75
22-08-43.411000,[1] 67 73
22-08-43.414000,[2] 71
22-08-43.415000,""""
22-08-43.416000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.419000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.422000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.425000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.428000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.431000,"""COUNT 1 1 2 1"
22-08-43.432000,[0] 58 68 0
22-08-43.435000,[1] 67 73
22-08-43.436000,[2] 71
22-08-43.437000,""""
22-08-43.438000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.440000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.443000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.446000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.449000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.450000,"""COUNT 1 1 1 2"
22-08-43.452000,[0] 58 0 0
22-08-43.455000,[1] 68 74
22-08-43.456000,[2] 71
22-08-43.456000,""""
22-08-43.457000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.460000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.462000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.466000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.468000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.471000,"""COUNT 2 1 1 1"
22-08-43.472000,[0] 58 68 75
22-08-43.474000,[1] 66 74
22-08-43.475000,[2] 72
22-08-43.476000,""""
22-08-43.478000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.479000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.490000,"""COUNT 0 0 1 1"
22-08-43.490000,[0] 0 67 75
22-08-43.491000,[1] 0 0
22-08-43.492000,[2] 72
22-08-43.494000,""""
22-08-43.496000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.499000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.503000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.508000,"""COUNT 0 1 1 1"
22-08-43.510000,[0] 0 0 0
22-08-43.511000,[1] 67 74
22-08-43.512000,[2] 71
22-08-43.514000,""""
22-08-43.528000,"""COUNT 0 0 0 0"
22-08-43.529000,[0] 0 0 0
22-08-43.529000,[1] 0 0
22-08-43.530000,[2] 0
22-08-43.531000,""""
22-08-43.537000,"""[RSP] Sensor: 3. RSSI: 70"""
22-08-43.548000,"""COUNT 0 0 1 0"
22-08-43.548000,[0] 0 0 0
22-08-43.550000,[1] 0 0
22-08-43.551000,[2] 0
22-08-43.551000,""""
22-08-43.567000,"""COUNT 0 0 0 0"
22-08-43.568000,[0] 0 0 0
22-08-43.569000,[1] 0 0
22-08-43.570000,[2] 0
22-08-43.571000,""""
22-08-43.576000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.588000,"""COUNT 0 1 0 0"
22-08-43.589000,[0] 0 0 0
22-08-43.590000,[1] 0 0
22-08-43.590000,[2] 0
22-08-43.590000,""""
22-08-43.594000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.602000,"""[RSP] Sensor: 3. RSSI: 70"""
22-08-43.608000,"""COUNT 0 1 1 0"
22-08-43.609000,[0] 0 0 0
22-08-43.610000,[1] 67 0
22-08-43.611000,[2] 0
22-08-43.611000,""""
22-08-43.618000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.628000,"""COUNT 0 0 1 0"
22-08-43.629000,[0] 0 0 0
22-08-43.629000,[1] 0 0
22-08-43.629000,[2] 0
22-08-43.630000,""""
22-08-43.634000,"""[RSP] Sensor: 2. RSSI: 61"""
22-08-43.638000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.642000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.647000,"""COUNT 1 1 1 0"
22-08-43.648000,[0] 0 0 0
22-08-43.649000,[1] 0 0
22-08-43.650000,[2] 71
22-08-43.651000,""""
22-08-43.653000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.656000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.659000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.663000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.669000,"""COUNT 1 1 1 1"
22-08-43.670000,[0] 58 67 75
22-08-43.671000,[1] 66 0
22-08-43.672000,[2] 72
22-08-43.673000,""""
22-08-43.676000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.678000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.682000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.685000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.689000,"""COUNT 1 1 1 1"
22-08-43.691000,[0] 58 68 0
22-08-43.692000,[1] 67 74
22-08-43.692000,[2] 71
22-08-43.693000,""""
22-08-43.696000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.698000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.702000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.704000,"""[RSP] Sensor: 1. RSSI: 58"""
22-08-43.707000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.710000,"""COUNT 1 2 1 1"
22-08-43.711000,[0] 58 0 75
22-08-43.712000,[1] 67 74
22-08-43.713000,[2] 71
22-08-43.713000,""""
22-08-43.716000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.719000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.724000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.725000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.728000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.731000,"""COUNT 1 1 2 1"
22-08-43.733000,[0] 58 67 0
22-08-43.733000,[1] 67 73
22-08-43.734000,[2] 71
22-08-43.735000,""""
22-08-43.737000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.740000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.743000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.745000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.749000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.750000,"""COUNT 1 1 1 2"
22-08-43.752000,[0] 58 68 0
22-08-43.753000,[1] 67 74
22-08-43.754000,[2] 71
22-08-43.755000,""""
22-08-43.757000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.759000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.763000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.766000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.768000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.771000,"""COUNT 2 1 1 1"
22-08-43.772000,[0] 58 68 0
22-08-43.773000,[1] 67 0
22-08-43.774000,[2] 0
22-08-43.775000,""""
22-08-43.777000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.780000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.781000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.790000,"""COUNT 1 1 1 0"
22-08-43.790000,[0] 58 67 0
22-08-43.791000,[1] 66 73
22-08-43.792000,[2] 71
22-08-43.793000,""""
22-08-43.795000,"""[RSP] Sensor: 1. RSSI: 58"""
22-08-43.798000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.801000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.804000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.809000,"""COUNT 1 1 1 1"
22-08-43.810000,[0] 58 67 75
22-08-43.811000,[1] 66 0
22-08-43.812000,[2] 0
22-08-43.812000,""""
22-08-43.815000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.818000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.820000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.825000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.830000,"""COUNT 1 1 1 1"
22-08-43.831000,[0] 0 0 0
22-08-43.832000,[1] 67 80
22-08-43.833000,[2] 72
22-08-43.833000,""""
22-08-43.837000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.838000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.840000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.849000,"""COUNT 0 1 1 1"
22-08-43.850000,[0] 0 68 75
22-08-43.851000,[1] 66 0
22-08-43.852000,[2] 73
22-08-43.853000,""""
22-08-43.855000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.858000,"""[RSP] Sensor: 4. RSSI: 78"""
22-08-43.860000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.864000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.866000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.869000,"""COUNT 1 1 2 1"
22-08-43.872000,[0] 58 67 0
22-08-43.873000,[1] 0 73
22-08-43.874000,[2] 71
22-08-43.874000,""""
22-08-43.876000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.879000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.882000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.885000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.888000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.889000,"""COUNT 1 1 1 2"
22-08-43.892000,[0] 58 67 0
22-08-43.892000,[1] 67 73
22-08-43.893000,[2] 0
22-08-43.894000,""""
22-08-43.897000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.898000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.902000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.905000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.908000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.911000,"""COUNT 2 1 1 1"
22-08-43.913000,[0] 58 67 0
22-08-43.914000,[1] 66 74
22-08-43.915000,[2] 72
22-08-43.915000,""""
22-08-43.917000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.920000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.923000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.926000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.931000,"""COUNT 1 1 1 1"
22-08-43.931000,[0] 58 67 75
22-08-43.932000,[1] 67 73
22-08-43.933000,[2] 72
22-08-43.934000,""""
22-08-43.936000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.940000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-43.942000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.945000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.951000,"""COUNT 1 1 1 1"
22-08-43.951000,[0] 58 67 75
22-08-43.952000,[1] 67 73
22-08-43.954000,[2] 71
22-08-43.954000,""""
22-08-43.957000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.959000,"""[RSP] Sensor: 2. RSSI: 61"""
22-08-43.964000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.968000,"""COUNT 1 1 1 0"
22-08-43.970000,[0] 0 0 0
22-08-43.971000,[1] 67 0
22-08-43.971000,[2] 72
22-08-43.972000,""""
22-08-43.975000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.978000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-43.981000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-43.989000,"""COUNT 1 0 1 1"
22-08-43.991000,[0] 0 67 75
22-08-43.991000,[1] 0 0
22-08-43.992000,[2] 71
22-08-43.992000,""""
22-08-43.995000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-43.998000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.001000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.006000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.010000,"""COUNT 1 0 2 1"
22-08-44.011000,[0] 0 67 75
22-08-44.012000,[1] 0 0
22-08-44.012000,[2] 71
22-08-44.013000,""""
22-08-44.014000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.017000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.021000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.026000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.029000,"""COUNT 1 0 1 2"
22-08-44.030000,[0] 0 67 75
22-08-44.031000,[1] 0 0
22-08-44.031000,[2] 71
22-08-44.032000,""""
22-08-44.035000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.038000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.043000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.046000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.049000,"""COUNT 2 0 1 1"
22-08-44.050000,[0] 0 67 75
22-08-44.051000,[1] 0 0
22-08-44.052000,[2] 73
22-08-44.053000,""""
22-08-44.056000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.059000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.061000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.064000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.070000,"""COUNT 1 1 1 1"
22-08-44.071000,[0] 58 68 75
22-08-44.072000,[1] 68 74
22-08-44.073000,[2] 71
22-08-44.074000,""""
22-08-44.077000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.079000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.083000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.089000,"""COUNT 1 0 1 1"
22-08-44.089000,[0] 0 67 75
22-08-44.090000,[1] 0 0
22-08-44.091000,[2] 71
22-08-44.093000,""""
22-08-44.095000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.098000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.100000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.104000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.108000,"""COUNT 1 1 1 1"
22-08-44.110000,[0] 0 0 0
22-08-44.111000,[1] 67 74
22-08-44.111000,[2] 71
22-08-44.113000,""""
22-08-44.114000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.117000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.120000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.123000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.126000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.130000,"""COUNT 1 2 1 1"
22-08-44.131000,[0] 58 67 75
22-08-44.132000,[1] 67 74
22-08-44.133000,[2] 71
22-08-44.135000,""""
22-08-44.137000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.140000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.143000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.146000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.148000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.150000,"""COUNT 1 1 2 1"
22-08-44.151000,[0] 58 67 0
22-08-44.152000,[1] 68 73
22-08-44.154000,[2] 71
22-08-44.154000,""""
22-08-44.157000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.160000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.163000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.166000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.169000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.171000,"""COUNT 1 1 1 2"
22-08-44.172000,[0] 58 67 0
22-08-44.173000,[1] 67 73
22-08-44.173000,[2] 71
22-08-44.174000,""""
22-08-44.177000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.180000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.183000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.186000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.189000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.191000,"""COUNT 2 1 1 1"
22-08-44.192000,[0] 58 69 0
22-08-44.193000,[1] 67 73
22-08-44.195000,[2] 72
22-08-44.195000,""""
22-08-44.198000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.199000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.202000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.209000,"""COUNT 1 1 0 1"
22-08-44.210000,[0] 58 0 75
22-08-44.211000,[1] 67 73
22-08-44.212000,[2] 0
22-08-44.212000,""""
22-08-44.215000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.217000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.220000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.224000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.229000,"""COUNT 1 1 1 1"
22-08-44.231000,[0] 58 67 75
22-08-44.232000,[1] 0 73
22-08-44.232000,[2] 72
22-08-44.233000,""""
22-08-44.235000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.238000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.241000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.244000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.249000,"""COUNT 1 1 1 1"
22-08-44.250000,[0] 0 0 0
22-08-44.251000,[1] 67 73
22-08-44.252000,[2] 71
22-08-44.252000,""""
22-08-44.255000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.257000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.260000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.264000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.266000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.270000,"""COUNT 1 2 1 1"
22-08-44.271000,[0] 58 67 75
22-08-44.272000,[1] 67 0
22-08-44.273000,[2] 0
22-08-44.273000,""""
22-08-44.275000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.278000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.281000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.285000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.288000,"""COUNT 1 1 2 0"
22-08-44.290000,[0] 58 67 0
22-08-44.291000,[1] 66 0
22-08-44.292000,[2] 0
22-08-44.292000,""""
22-08-44.294000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.297000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.300000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.303000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.306000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.309000,"""COUNT 1 1 1 2"
22-08-44.311000,[0] 58 0 0
22-08-44.312000,[1] 66 73
22-08-44.313000,[2] 73
22-08-44.313000,""""
22-08-44.315000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.318000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.321000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.324000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.327000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.331000,"""COUNT 2 1 1 1"
22-08-44.333000,[0] 58 67 0
22-08-44.334000,[1] 66 73
22-08-44.335000,[2] 72
22-08-44.335000,""""
22-08-44.337000,"""[RSP] Sensor: 1. RSSI: 59"""
22-08-44.340000,"""[RSP] Sensor: 2. RSSI: 60"""
22-08-44.343000,"""[RSP] Sensor: 3. RSSI: 71"""
22-08-44.346000,"""[RSP] Sensor: 4. RSSI: 79"""
22-08-44.351000,"""COUNT 1 1 1 1"
22-08-44.351000,[0] 58 67 75
22-08-44.354000,[1] 67 73
