22-04-56.525000,"""Program init"""
22-07-56.174000,"""COUNT 1 1 1 1"
22-07-56.176000,[0] 58 60 69
22-07-56.178000,[1] 44 58
22-07-56.179000,[2] 77
22-07-56.180000,""""
22-07-56.182000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.183000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.187000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.189000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.194000,"""COUNT 1 1 1 1"
22-07-56.195000,[0] 0 0 69
22-07-56.196000,[1] 45 58
22-07-56.197000,[2] 77
22-07-56.198000,""""
22-07-56.200000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.204000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.206000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.209000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.214000,"""COUNT 1 1 1 1"
22-07-56.215000,[0] 58 0 70
22-07-56.216000,[1] 44 58
22-07-56.217000,[2] 80
22-07-56.218000,""""
22-07-56.220000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.223000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.226000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.229000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.233000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.236000,"""COUNT 1 1 2 1"
22-07-56.237000,[0] 58 59 69
22-07-56.238000,[1] 44 58
22-07-56.238000,[2] 82
22-07-56.239000,""""
22-07-56.242000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.245000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.247000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.251000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.254000,"""COUNT 0 1 1 2"
22-07-56.256000,[0] 0 0 0
22-07-56.257000,[1] 44 58
22-07-56.257000,[2] 79
22-07-56.258000,""""
22-07-56.259000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.263000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.265000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.269000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.272000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.275000,"""COUNT 2 1 1 1"
22-07-56.276000,[0] 58 60 0
22-07-56.277000,[1] 44 58
22-07-56.278000,[2] 78
22-07-56.278000,""""
22-07-56.281000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.284000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.286000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.290000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.294000,"""COUNT 1 1 1 1"
22-07-56.299000,[0] 58 60 70
22-07-56.300000,[1] 44 58
22-07-56.301000,[2] 77
22-07-56.301000,""""
22-07-56.302000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.304000,"""[RSP] Sensor: 2. RSSI: 69"""
22-07-56.307000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.309000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.316000,"""COUNT 1 1 1 1"
22-07-56.316000,[0] 58 60 70
22-07-56.318000,[1] 44 58
22-07-56.319000,[2] 78
22-07-56.319000,""""
22-07-56.322000,"""[RSP] Sensor: 3. RSSI: 62"""
22-07-56.328000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.332000,"""COUNT 1 0 1 0"
22-07-56.333000,[0] 0 60 0
22-07-56.334000,[1] 0 0
22-07-56.335000,[2] 0
22-07-56.335000,""""
22-07-56.338000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.352000,"""COUNT 0 0 1 0"
22-07-56.353000,[0] 0 60 0
22-07-56.354000,[1] 0 0
22-07-56.355000,[2] 0
22-07-56.357000,""""
22-07-56.371000,"""COUNT 0 0 0 0"
22-07-56.372000,[0] 0 0 0
22-07-56.373000,[1] 0 0
22-07-56.374000,[2] 0
22-07-56.375000,""""
22-07-56.391000,"""COUNT 0 0 0 0"
22-07-56.392000,[0] 0 0 0
22-07-56.393000,[1] 0 0
22-07-56.394000,[2] 0
22-07-56.395000,""""
22-07-56.397000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.402000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.410000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.413000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.415000,"""COUNT 1 0 1 2"
22-07-56.416000,[0] 0 0 0
22-07-56.417000,[1] 0 0
22-07-56.418000,[2] 75
22-07-56.418000,""""
22-07-56.420000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.428000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.432000,"""COUNT 1 0 0 1"
22-07-56.433000,[0] 0 0 69
22-07-56.434000,[1] 0 60
22-07-56.435000,[2] 0
22-07-56.436000,""""
22-07-56.444000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.450000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.452000,"""COUNT 1 0 0 1"
22-07-56.454000,[0] 0 0 0
22-07-56.454000,[1] 0 58
22-07-56.456000,[2] 0
22-07-56.456000,""""
22-07-56.461000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.466000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.470000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.474000,"""COUNT 1 0 1 1"
22-07-56.476000,[0] 0 60 69
22-07-56.477000,[1] 0 59
22-07-56.477000,[2] 73
22-07-56.479000,""""
22-07-56.480000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.484000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.486000,"""[RSP] Sensor: 3. RSSI: 61"""
22-07-56.494000,"""COUNT 1 0 1 1"
22-07-56.495000,[0] 0 60 70
22-07-56.495000,[1] 0 59
22-07-56.496000,[2] 73
22-07-56.497000,""""
22-07-56.499000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.502000,"""[RSP] Sensor: 3. RSSI: 60"""
22-07-56.510000,"""[RSP] Sensor: 4. RSSI: 78"""
22-07-56.514000,"""COUNT 1 0 1 1"
22-07-56.515000,[0] 0 60 69
22-07-56.516000,[1] 0 61
22-07-56.517000,[2] 72
22-07-56.517000,""""
22-07-56.520000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.522000,"""[RSP] Sensor: 3. RSSI: 59"""
22-07-56.526000,"""[RSP] Sensor: 4. RSSI: 77"""
22-07-56.532000,"""[RSP] Sensor: 1. RSSI: 60"""
22-07-56.535000,"""COUNT 2 0 1 1"
22-07-56.536000,[0] 0 59 69
22-07-56.537000,[1] 0 59
22-07-56.537000,[2] 72
22-07-56.538000,""""
