23-20-43.624000,[R]: 1 
23-20-43.625000,[R]: 50 
23-20-43.626000,[R]: 2 
23-20-43.630000,[R]: 3 
23-20-43.651000,[R]: 4 
23-20-43.652000,[R]: 5 
23-20-43.652000,S 6 	RSSI: 53
23-20-43.653000,[R]: 6 
23-20-43.653000,[R]: 7 
23-20-43.655000,[R]: 8 
23-20-43.656000,[R]: 1 
23-20-43.681000,[R]: 50 
23-20-43.681000,[R]: 2 
23-20-43.683000,[R]: 3 
23-20-43.684000,[R]: 4 
23-20-43.685000,[R]: 5 
23-20-43.686000,S 6 	RSSI: 58
23-20-43.687000,[R]: 6 
23-20-43.692000,[R]: 7 
23-20-43.692000,[R]: 8 
23-20-43.693000,[R]: 1 
23-20-43.693000,[R]: 50 
23-20-43.694000,[R]: 2 
23-20-43.696000,[R]: 3 
23-20-43.697000,[R]: 4 
23-20-43.702000,[R]: 5 
23-20-43.703000,S 6 	RSSI: 54
23-20-43.705000,[R]: 6 
23-20-43.731000,[R]: 7 
23-20-43.731000,[R]: 8 
23-20-43.733000,[R]: 1 
23-20-43.738000,[R]: 50 
23-20-43.739000,S 7 	RSSI: 44
23-20-43.742000,[R]: 2 
23-20-43.743000,S 3 	RSSI: 53
23-20-43.744000,[R]: 3 
23-20-43.744000,[R]: 4 
23-20-43.745000,[R]: 5 
23-20-43.746000,[R]: 20 
23-20-43.756000,[R]: 1 
23-20-43.757000,[R]: 50 
23-20-43.757000,[R]: 2 
23-20-43.758000,[R]: 3 
23-20-43.758000,[R]: 4 
23-20-43.763000,S 7 	RSSI: 44
23-20-43.765000,S 8 	RSSI: 53
23-20-43.766000,[R]: 5 
23-20-43.766000,S 3 	RSSI: 54
23-20-43.767000,[R]: 6 
23-20-43.768000,[R]: 7 
23-20-43.769000,[R]: 8 
23-20-43.790000,[R]: 1 
23-20-43.791000,[R]: 50 
23-20-43.791000,[R]: 2 
23-20-43.792000,[R]: 3 
23-20-43.806000,[R]: 4 
23-20-43.806000,[R]: 5 
23-20-43.813000,[R]: 6 
23-20-43.813000,[R]: 7 
23-20-43.823000,[R]: 8 
23-20-43.823000,[R]: 1 
23-20-43.824000,[R]: 50 
23-20-43.825000,[R]: 2 
23-20-43.826000,[R]: 3 
23-20-43.827000,[R]: 20 
23-20-43.828000,[R]: 1 
23-20-43.828000,[R]: 50 
23-20-43.839000,[R]: 2 
23-20-43.840000,[R]: 3 
23-20-43.843000,[R]: 4 
23-20-43.844000,S 6 	RSSI: 54
23-20-43.844000,[R]: 5 
23-20-43.845000,[R]: 6 
23-20-43.845000,[R]: 7 
23-20-43.849000,[R]: 8 
23-20-43.850000,S 2 	RSSI: 45
23-20-43.855000,[R]: 1 
23-20-43.857000,[R]: 50 
