22-16-50.266000,"ÿ""Scanner enabled\r\n"""
22-17-02.696000,"""Sensor: 1. RSSI: 60"""
22-17-02.697000,"""COUNT 1 1"
22-17-02.697000,[0] 0 0
22-17-02.698000,""""
22-17-02.698000,"""Sensor: 2. RSSI: 67"""
22-17-02.699000,"""Sensor: 1. RSSI: 60"""
22-17-02.700000,"""Sensor: 2. RSSI: 67"""
22-17-02.700000,"""COUNT 1 2"
22-17-02.701000,[0] 0 0
22-17-02.701000,""""
22-17-02.706000,"""Sensor: 1. RSSI: 60"""
22-17-02.706000,"""Sensor: 2. RSSI: 67"""
22-17-02.707000,"""COUNT 1 1"
22-17-02.708000,[0] 0 63
22-17-02.708000,""""
22-17-02.709000,"""Sensor: 1. RSSI: 60"""
22-17-02.709000,"""Sensor: 2. RSSI: 66"""
22-17-02.710000,"""COUNT 1 1"
22-17-02.711000,[0] 0 0
22-17-02.711000,""""
22-17-02.712000,"""Sensor: 1. RSSI: 60"""
22-17-02.712000,"""Sensor: 2. RSSI: 67"""
22-17-02.713000,"""COUNT 1 1"
22-17-02.713000,[0] 0 0
22-17-02.717000,""""
22-17-02.717000,"""Sensor: 1. RSSI: 60"""
22-17-02.718000,"""Sensor: 2. RSSI: 67"""
22-17-02.718000,"""COUNT 1 1"
22-17-02.719000,[0] 0 65
22-17-02.719000,""""
22-17-02.719000,"""Sensor: 1. RSSI: 60"""
22-17-02.720000,"""COUNT 1 0"
22-17-02.720000,[0] 0 0
22-17-02.721000,""""
22-17-02.721000,"""Sensor: 2. RSSI: 68"""
22-17-02.722000,"""Sensor: 1. RSSI: 60"""
22-17-02.722000,"""COUNT 1 1"
22-17-02.723000,[0] 0 65
22-17-02.723000,""""
22-17-02.724000,"""Sensor: 2. RSSI: 68"""
22-17-02.724000,"""Sensor: 1. RSSI: 60"""
22-17-02.728000,"""Sensor: 2. RSSI: 68"""
22-17-02.728000,"""COUNT 1 2"
22-17-02.729000,[0] 0 0
22-17-02.729000,""""
22-17-02.729000,"""Sensor: 1. RSSI: 60"""
22-17-02.733000,"""Sensor: 2. RSSI: 68"""
22-17-02.736000,"""COUNT 1 1"
22-17-02.738000,[0] 0 0
22-17-02.738000,""""
22-17-02.739000,"""Sensor: 1. RSSI: 60"""
22-17-02.741000,"""Sensor: 2. RSSI: 68"""
22-17-02.746000,"""COUNT 1 1"
22-17-02.746000,[0] 0 0
22-17-02.748000,""""
22-17-02.752000,"""Sensor: 2. RSSI: 67"""
22-17-02.809000,"""Sensor: 1. RSSI: 60"""
22-17-02.809000,"""COUNT 1 1"
22-17-02.810000,[0] 0 0
22-17-02.810000,""""
22-17-02.811000,"""Sensor: 2. RSSI: 67"""
22-17-02.811000,"""Sensor: 1. RSSI: 60"""
22-17-02.812000,"""COUNT 1 1"
22-17-02.813000,[0] 0 0
22-17-02.815000,""""
22-17-02.816000,"""Sensor: 1. RSSI: 60"""
22-17-02.820000,"""Sensor: 2. RSSI: 66"""
22-17-02.821000,"""COUNT 1 1"
22-17-02.823000,[0] 0 0
22-17-02.824000,""""
22-17-02.825000,"""Sensor: 1. RSSI: 60"""
22-17-02.825000,"""Sensor: 2. RSSI: 67"""
22-17-02.826000,"""COUNT 1 1"
22-17-02.828000,[0] 0 64
22-17-02.829000,""""
22-17-02.829000,"""Sensor: 1. RSSI: 60"""
22-17-02.829000,"""Sensor: 2. RSSI: 67"""
22-17-02.831000,"""Sensor: 1. RSSI: 60"""
22-17-02.832000,"""COUNT 2 1"
22-17-02.834000,[0] 0 0
22-17-02.835000,""""
22-17-02.839000,"""Sensor: 1. RSSI: 60"""
22-17-02.839000,"""Sensor: 2. RSSI: 67"""
22-17-02.840000,"""COUNT 1 1"
22-17-02.840000,[0] 0 0
22-17-02.840000,""""
22-17-02.841000,"""Sensor: 1. RSSI: 60"""
22-17-02.842000,"""Sensor: 2. RSSI: 67"""
22-17-02.843000,"""COUNT 1 1"
22-17-02.845000,[0] 0 0
22-17-02.846000,""""
22-17-02.849000,"""Sensor: 1. RSSI: 60"""
22-17-02.850000,"""Sensor: 2. RSSI: 67"""
22-17-02.850000,"""COUNT 1 1"
22-17-02.851000,[0] 0 0
22-17-02.852000,""""
22-17-02.853000,"""Sensor: 1. RSSI: 60"""
22-17-02.856000,"""Sensor: 2. RSSI: 67"""
22-17-02.856000,"""COUNT 1 1"
22-17-02.857000,[0] 0 70
22-17-02.863000,""""
22-17-02.865000,"""Sensor: 2. RSSI: 67"""
22-17-02.866000,"""Sensor: 1. RSSI: 60"""
22-17-02.866000,"""COUNT 1 1"
22-17-02.867000,[0] 0 0
22-17-02.867000,""""
22-17-02.867000,"""Sensor: 2. RSSI: 67"""
22-17-02.868000,"""Sensor: 1. RSSI: 60"""
22-17-02.868000,"""COUNT 1 1"
22-17-02.869000,[0] 0 0
22-17-02.871000,""""
22-17-02.872000,"""Sensor: 2. RSSI: 67"""
22-17-02.873000,"""Sensor: 1. RSSI: 60"""
22-17-02.873000,"""Sensor: 2. RSSI: 67"""
22-17-02.873000,"""COUNT 1 2"
22-17-02.874000,[0] 0 0
22-17-02.875000,""""
22-17-02.875000,"""Sensor: 2. RSSI: 67"""
22-17-02.876000,"""COUNT 0 1"
22-17-02.876000,[0] 0 0
22-17-02.876000,""""
22-17-02.877000,"""Sensor: 1. RSSI: 60"""
22-17-02.885000,"""COUNT 1 0"
22-17-02.886000,[0] 0 0
22-17-02.886000,""""
22-17-02.889000,"""Sensor: 1. RSSI: 60"""
22-17-02.894000,"""Sensor: 2. RSSI: 67"""
22-17-02.896000,"""COUNT 1 1"
22-17-02.896000,[0] 0 0
22-17-02.897000,""""
22-17-02.898000,"""Sensor: 1. RSSI: 60"""
22-17-02.901000,"""Sensor: 2. RSSI: 68"""
22-17-02.906000,"""COUNT 1 1"
22-17-02.940000,[0] 0 64
22-17-02.940000,""""
22-17-02.941000,"""Sensor: 2. RSSI: 67"""
22-17-02.941000,"""Sensor: 1. RSSI: 60"""
22-17-02.942000,"""COUNT 1 1"
22-17-02.942000,[0] 0 0
22-17-02.942000,""""
22-17-02.943000,"""Sensor: 2. RSSI: 68"""
22-17-02.943000,"""Sensor: 1. RSSI: 60"""
22-17-02.956000,"""COUNT 1 1"
22-17-02.956000,[0] 0 0
22-17-02.957000,""""
22-17-02.957000,"""Sensor: 2. RSSI: 68"""
22-17-02.957000,"""Sensor: 1. RSSI: 60"""
22-17-02.958000,"""Sensor: 2. RSSI: 68"""
22-17-02.958000,"""COUNT 1 2"
22-17-02.959000,[0] 0 0
22-17-02.959000,""""
22-17-02.959000,"""Sensor: 1. RSSI: 60"""
22-17-02.962000,"""Sensor: 2. RSSI: 68"""
22-17-02.962000,"""COUNT 1 1"
22-17-02.963000,[0] 0 0
22-17-02.963000,""""
22-17-02.964000,"""Sensor: 1. RSSI: 60"""
22-17-02.964000,"""Sensor: 2. RSSI: 68"""
22-17-02.964000,"""COUNT 1 1"
22-17-02.965000,[0] 0 0
22-17-02.965000,""""
22-17-02.966000,"""Sensor: 1. RSSI: 60"""
22-17-02.966000,"""Sensor: 2. RSSI: 68"""
22-17-02.967000,"""COUNT 1 1"
22-17-02.967000,[0] 0 0
22-17-02.967000,""""
22-17-02.972000,"""Sensor: 2. RSSI: 69"""
22-17-02.977000,"""COUNT 0 1"
22-17-02.977000,[0] 0 0
22-17-02.977000,""""
22-17-02.979000,"""Sensor: 2. RSSI: 68"""
22-17-02.984000,"""Sensor: 1. RSSI: 60"""
22-17-02.986000,"""COUNT 1 1"
22-17-02.986000,[0] 0 0
22-17-02.987000,""""
22-17-02.988000,"""Sensor: 2. RSSI: 69"""
22-17-02.992000,"""Sensor: 1. RSSI: 60"""
22-17-02.995000,"""COUNT 1 1"
22-17-02.996000,[0] 0 0
22-17-02.996000,""""
22-17-03.000000,"""Sensor: 1. RSSI: 60"""
22-17-03.005000,"""Sensor: 2. RSSI: 69"""
22-17-03.006000,"""COUNT 1 1"
22-17-03.007000,[0] 0 64
22-17-03.007000,""""
22-17-03.008000,"""Sensor: 1. RSSI: 60"""
22-17-03.012000,"""Sensor: 2. RSSI: 68"""
22-17-03.016000,"""COUNT 1 1"
22-17-03.017000,[0] 0 65
22-17-03.017000,""""
22-17-03.018000,"""Sensor: 1. RSSI: 60"""
22-17-03.020000,"""Sensor: 2. RSSI: 69"""
22-17-03.026000,"""COUNT 1 1"
22-17-03.026000,[0] 0 0
22-17-03.027000,""""
22-17-03.029000,"""Sensor: 1. RSSI: 60"""
22-17-03.033000,"""Sensor: 2. RSSI: 68"""
22-17-03.035000,"""COUNT 1 1"
22-17-03.037000,[0] 0 0
22-17-03.037000,""""
22-17-03.038000,"""Sensor: 1. RSSI: 60"""
22-17-03.041000,"""Sensor: 2. RSSI: 68"""
22-17-03.046000,"""COUNT 1 1"
22-17-03.046000,[0] 0 65
22-17-03.047000,""""
22-17-03.049000,"""Sensor: 2. RSSI: 68"""
22-17-03.056000,"""COUNT 0 1"
22-17-03.057000,[0] 0 0
22-17-03.058000,""""
22-17-03.059000,"""Sensor: 2. RSSI: 69"""
22-17-03.062000,"""Sensor: 1. RSSI: 60"""
22-17-03.065000,"""COUNT 1 1"
22-17-03.066000,[0] 0 0
22-17-03.067000,""""
22-17-03.070000,"""Sensor: 1. RSSI: 60"""
22-17-03.075000,"""Sensor: 2. RSSI: 69"""
22-17-03.077000,"""COUNT 1 1"
22-17-03.077000,[0] 0 65
22-17-03.077000,""""
22-17-03.082000,"""Sensor: 2. RSSI: 69"""
22-17-03.085000,"""COUNT 0 1"
22-17-03.086000,[0] 0 0
22-17-03.087000,""""
22-17-03.087000,"""Sensor: 1. RSSI: 60"""
22-17-03.091000,"""Sensor: 2. RSSI: 68"""
22-17-03.096000,"""COUNT 1 1"
22-17-03.096000,[0] 0 0
22-17-03.096000,""""
22-17-03.099000,"""Sensor: 1. RSSI: 60"""
22-17-03.103000,"""Sensor: 2. RSSI: 69"""
22-17-03.106000,"""COUNT 1 1"
22-17-03.106000,[0] 0 0
22-17-03.107000,""""
22-17-03.107000,"""Sensor: 1. RSSI: 60"""
22-17-03.111000,"""Sensor: 2. RSSI: 68"""
22-17-03.116000,"""COUNT 1 1"
