20-54-07.920000,S 4 	RSSI: 44
20-54-07.924000,S 5 	RSSI: 44
20-54-08.328000,[R]: 51 
20-54-08.807000,[R]: 51 
20-54-08.865000,S 4 	RSSI: 44
20-54-09.285000,[R]: 51 
20-54-09.764000,[R]: 51 
20-54-10.243000,[R]: 51 
20-54-10.723000,[R]: 51 
20-54-11.200000,[R]: 51 
20-54-11.679000,[R]: 51 
20-54-12.158000,[R]: 51 
20-54-12.531000,[R]: 51 
20-54-12.555000,[R]: 51 
20-54-12.575000,[R]: 51 
20-54-12.596000,[R]: 51 
20-54-12.616000,[R]: 51 
20-54-12.622000,S 1 	RSSI: 56
20-54-12.636000,[R]: 51 
20-54-12.656000,[R]: 51 
20-54-12.677000,[R]: 51 
20-54-12.697000,[R]: 51 
20-54-12.718000,[R]: 51 
20-54-12.730000,[R]: 51 
20-54-12.750000,[R]: 51 
20-54-12.764000,S 1 	RSSI: 56
20-54-12.771000,[R]: 51 
20-54-12.776000,S 1 	RSSI: 56
20-54-12.779000,[R]: 51 
20-54-12.797000,S 1 	RSSI: 56
20-54-12.801000,S 1 	RSSI: 56
20-54-12.804000,[R]: 51 
20-54-12.821000,S 1 	RSSI: 56
20-54-12.824000,[R]: 51 
20-54-12.842000,S 1 	RSSI: 56
20-54-12.845000,[R]: 51 
20-54-12.865000,[R]: 51 
20-54-12.874000,S 1 	RSSI: 56
20-54-12.886000,[R]: 51 
20-54-12.895000,S 1 	RSSI: 57
20-54-12.907000,[R]: 51 
20-54-12.916000,S 1 	RSSI: 56
20-54-12.927000,[R]: 51 
20-54-12.948000,[R]: 51 
20-54-12.968000,[R]: 51 
20-54-12.978000,S 1 	RSSI: 56
20-54-12.981000,[R]: 51 
20-54-12.998000,S 1 	RSSI: 56
20-54-13.002000,S 1 	RSSI: 56
20-54-13.004000,[R]: 51 
20-54-13.022000,S 1 	RSSI: 56
20-54-13.026000,S 1 	RSSI: 56
20-54-13.029000,[R]: 51 
20-54-13.050000,[R]: 51 
20-54-13.070000,[R]: 51 
20-54-13.090000,[R]: 51 
20-54-13.112000,[R]: 51 
20-54-13.131000,[R]: 51 
20-54-13.152000,[R]: 51 
20-54-13.172000,[R]: 51 
20-54-13.193000,[R]: 51 
20-54-13.201000,S 1 	RSSI: 56
20-54-13.205000,[R]: 51 
20-54-13.222000,S 1 	RSSI: 56
20-54-13.227000,S 1 	RSSI: 56
20-54-13.230000,[R]: 51 
20-54-13.251000,S 1 	RSSI: 56
20-54-13.254000,[R]: 51 
20-54-13.275000,[R]: 51 
20-54-13.296000,[R]: 51 
20-54-13.316000,[R]: 51 
20-54-13.337000,[R]: 51 
20-54-13.357000,[R]: 51 
20-54-13.371000,S 1 	RSSI: 55
20-54-13.377000,[R]: 51 
20-54-13.397000,[R]: 51 
20-54-13.418000,[R]: 51 
20-54-13.430000,[R]: 51 
20-54-13.455000,[R]: 51 
20-54-13.479000,[R]: 51 
20-54-13.504000,[R]: 51 
20-54-13.522000,S 1 	RSSI: 55
20-54-13.593000,[R]: 51 
20-54-13.593000,S 1 	RSSI: 55
20-54-13.594000,S 5 	RSSI: 44
20-54-13.594000,[R]: 51 
20-54-13.595000,S 1 	RSSI: 55
20-54-13.599000,[R]: 51 
20-54-13.599000,S 3 	RSSI: 46
20-54-13.600000,S 4 	RSSI: 44
20-54-13.604000,S 5 	RSSI: 44
20-54-13.604000,S 1 	RSSI: 55
20-54-13.605000,S 1 	RSSI: 55
20-54-13.605000,[R]: 51 
20-54-13.606000,S 3 	RSSI: 46
20-54-13.606000,S 4 	RSSI: 44
20-54-13.606000,S 5 	RSSI: 44
20-54-13.607000,S 1 	RSSI: 55
20-54-13.607000,[R]: 51 
20-54-13.608000,S 1 	RSSI: 55
20-54-13.609000,S 3 	RSSI: 45
20-54-13.613000,S 4 	RSSI: 44
20-54-13.621000,[R]: 51 
20-54-13.622000,S 1 	RSSI: 55
20-54-13.626000,S 1 	RSSI: 55
20-54-13.630000,S 3 	RSSI: 45
20-54-13.634000,S 4 	RSSI: 44
20-54-13.641000,[R]: 51 
20-54-13.646000,S 1 	RSSI: 55
20-54-13.650000,S 3 	RSSI: 45
20-54-13.654000,S 4 	RSSI: 44
20-54-13.661000,[R]: 51 
20-54-13.667000,S 1 	RSSI: 55
20-54-13.670000,S 3 	RSSI: 45
20-54-13.674000,S 4 	RSSI: 44
20-54-13.682000,[R]: 51 
20-54-13.688000,S 1 	RSSI: 55
20-54-13.692000,S 3 	RSSI: 45
20-54-13.703000,[R]: 51 
20-54-13.708000,S 1 	RSSI: 55
20-54-13.724000,[R]: 51 
20-54-13.729000,S 1 	RSSI: 55
20-54-13.744000,[R]: 51 
20-54-13.750000,S 1 	RSSI: 56
20-54-13.764000,[R]: 51 
20-54-13.769000,S 1 	RSSI: 56
20-54-13.784000,[R]: 51 
20-54-13.790000,S 1 	RSSI: 58
20-54-13.805000,[R]: 51 
20-54-13.811000,S 1 	RSSI: 57
20-54-13.831000,[R]: 51 
20-54-13.832000,S 1 	RSSI: 57
20-54-13.852000,[R]: 51 
20-54-13.852000,S 1 	RSSI: 57
20-54-13.872000,[R]: 51 
20-54-13.873000,S 1 	RSSI: 57
20-54-13.893000,[R]: 51 
20-54-13.894000,S 1 	RSSI: 58
20-54-13.901000,S 1 	RSSI: 58
20-54-13.904000,[R]: 51 
20-54-13.925000,[R]: 51 
20-54-13.945000,[R]: 51 
20-54-13.965000,[R]: 51 
20-54-13.986000,[R]: 51 
20-54-14.011000,[R]: 51 
20-54-14.028000,[R]: 51 
20-54-14.029000,S 1 	RSSI: 59
20-54-14.049000,[R]: 51 
20-54-14.051000,S 1 	RSSI: 60
20-54-14.069000,[R]: 51 
20-54-14.081000,[R]: 51 
20-54-14.105000,[R]: 51 
20-54-14.115000,S 1 	RSSI: 60
20-54-14.126000,S 1 	RSSI: 59
20-54-14.129000,[R]: 51 
20-54-14.154000,[R]: 51 
20-54-14.174000,[R]: 51 
20-54-14.194000,[R]: 51 
20-54-14.212000,S 1 	RSSI: 58
20-54-14.215000,[R]: 51 
20-54-14.232000,S 1 	RSSI: 57
20-54-14.235000,[R]: 51 
20-54-14.253000,S 1 	RSSI: 57
20-54-14.256000,[R]: 51 
20-54-14.276000,[R]: 51 
20-54-14.297000,[R]: 51 
20-54-14.317000,[R]: 51 
20-54-14.327000,S 1 	RSSI: 59
20-54-14.330000,[R]: 51 
20-54-14.355000,[R]: 51 
20-54-14.379000,[R]: 51 
20-54-14.399000,[R]: 51 
20-54-14.413000,S 1 	RSSI: 64
20-54-14.421000,[R]: 51 
20-54-14.433000,S 1 	RSSI: 64
20-54-14.441000,[R]: 51 
20-54-14.461000,[R]: 51 
20-54-14.482000,[R]: 51 
20-54-14.501000,[R]: 51 
