09-47-54.672000,S 1 	RSSI: 59
09-47-54.675000,[R]: 51 
09-47-54.681000,S 1 	RSSI: 59
09-47-54.683000,[R]: 51 
09-47-54.697000,[R]: 51 
09-47-54.698000,S 1 	RSSI: 59
09-47-54.701000,S 1 	RSSI: 59
09-47-54.704000,[R]: 51 
09-47-54.709000,S 1 	RSSI: 59
09-47-54.712000,[R]: 51 
09-47-54.718000,S 1 	RSSI: 59
09-47-54.721000,[R]: 51 
09-47-54.726000,S 1 	RSSI: 59
09-47-54.729000,[R]: 51 
09-47-54.734000,S 1 	RSSI: 59
09-47-54.738000,[R]: 51 
09-47-54.743000,S 1 	RSSI: 59
09-47-54.745000,[R]: 51 
09-47-54.751000,S 1 	RSSI: 59
09-47-54.754000,[R]: 51 
09-47-54.767000,[R]: 51 
09-47-54.768000,S 1 	RSSI: 60
09-47-54.770000,S 1 	RSSI: 60
09-47-54.773000,[R]: 51 
09-47-54.779000,S 1 	RSSI: 60
09-47-54.782000,[R]: 51 
09-47-54.787000,S 1 	RSSI: 60
09-47-54.790000,[R]: 51 
09-47-54.795000,S 1 	RSSI: 60
09-47-54.834000,[R]: 51 
09-47-54.925000,S 1 	RSSI: 60
09-47-54.927000,[R]: 51 
09-47-54.928000,[R]: 51 
09-47-54.929000,S 1 	RSSI: 60
09-47-54.930000,[R]: 51 
09-47-54.935000,[R]: 51 
09-47-54.936000,[R]: 51 
09-47-54.936000,S 1 	RSSI: 60
09-47-54.936000,[R]: 51 
09-47-54.938000,S 1 	RSSI: 60
09-47-54.940000,S 1 	RSSI: 60
09-47-54.941000,[R]: 51 
09-47-54.945000,S 1 	RSSI: 60
09-47-54.945000,[R]: 51 
09-47-54.947000,S 1 	RSSI: 62
09-47-54.949000,[R]: 51 
09-47-54.949000,S 1 	RSSI: 59
09-47-54.950000,[R]: 51 
09-47-54.953000,S 1 	RSSI: 59
09-47-54.957000,[R]: 51 
09-47-54.960000,S 1 	RSSI: 59
09-47-55.012000,[R]: 51 
09-47-55.012000,[R]: 51 
09-47-55.013000,S 1 	RSSI: 60
09-47-55.013000,[R]: 51 
09-47-55.014000,S 1 	RSSI: 60
09-47-55.016000,S 1 	RSSI: 60
09-47-55.016000,[R]: 51 
09-47-55.016000,S 1 	RSSI: 60
09-47-55.017000,[R]: 51 
09-47-55.018000,S 1 	RSSI: 58
09-47-55.018000,[R]: 51 
09-47-55.019000,S 1 	RSSI: 60
09-47-55.019000,[R]: 51 
09-47-55.019000,S 1 	RSSI: 60
09-47-55.022000,[R]: 51 
